1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,819,651,1470,,,
104,"Basic Health Unit, Berote",Kahu Sharqi,22030910,,,,520,379,899,2,1,3
,,,,,,,520,379,899,,,
105,"Govt Boys Model Primary School,Tarmuthian",Kahu Sharqi,22030911,,,,451,373,824,1,1,2
,,,,,,,451,373,824,,,
106,"Govt Girls High School,Tarmuthian",Kahu Sharqi,22030912,,,,684,570,1254,2,1,3
,,,,,,,684,570,1254,,,
107,"Govt Girls Primary School,Sangrairy",Berote Khurd,22030301,,,,303,228,531,2,2,4
,,Berote Khurd,22030302,,,,497,391,888,,,
,,,,,,,800,619,1419,,,
108,"Govt Primary School, Bhan",Berote Khurd,22030303,,,,659,471,1130,2,1,3
,,,,,,,659,471,1130,,,
109,"Govt Primary School, NakkarMujwal (Male)",Berote Khurd,22030304,,,,1015,,1015,3,0,3
,,,,,,,,,,,,
110,"Govt Primary School, NakkarMujwal (Female)",Berote Khurd,22030304,,,,,834,834,0,2,2
,,,,,,,,,,,,
111,"Basic Health Unit, Mohra",Kahu Gharbi,22030305,,,,280,262,542,2,2,4
,,Kahu Gharbi,22030307,,,,526,377,903,,,
,,,,,,,806,639,1445,,,
112,"Govt Middle School, Lahoor",Kahu Gharbi,22030306,,,,917,675,1592,2,2,4
,,,,,,,917,675,1592,,,
113,"Govt Girls Primary School,Nakkar Qutbal",Kahu Gharbi,22030308,,,,236,180,416,1,1,2
,,,,,,,236,180,416,,,
114,"Govt Primary School, Jandala",Palak,22030406,,,,139,114,253,2,1,3
,,Palak,22030412,,,,561,472,1033,,,
,,,,,,,700,566,1241,,,
115,"Govt Girls High School, Palak",Palak,22030407,,,,179,163,342,1,1,2
,,Palak,22030408,,,,313,221,534,,,
,,Khaira Gali,22050106,,,,19,16,35,,,
,,,,,,,511,400,911,,,
116,"Govt Girls High School, Palak",Palak,22030411,,,,628,460,1088,2,1,3
,,,,,,,628,460,1088,,,
117,"Govt Primary School, Khushi kot",Palak,22030409,,,,435,341,776,1,1,2
,,,,,,,435,341,776,,,
118,"Govt Primary School, Ander Seri",Palak,22030410,,,,747,599,1346,2,2,4
,,,,,,,747,599,1346,,,
119,"Govt Girls Middle School,Darwaza",Darwaza,22030401,,,,325,210,535,2,1,3
,,Darwaza,22030402,,,,311,239,550,,,
,,,,,,,636,449,1085,,,
120,"Govt Girls Middle School,Darwaza",Darwaza,22030404,,,,420,333,753,2,1,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,510,391,901,,,
