"",,9020706,,,,314,212,526,,,,
34,"GHS, Opal (Combined) (T)**",Opal,9020801,,,,449,291,740,2,1,3
9020802,,,,635,425,1060,,,,,,
35,"GPS, Punyal  (Combined) (T)**",Punyal,9020803,,,,310,225,535,1,1,2
"",,,9020804,,,,299,250,549,,,
36,"GHS, Karora (Male) (T)**",Karora,9020805,,,,682,0,682,2,0,2
"",,,9020806,,,,591,0,591,,,
"",,,9020807,,,,268,0,268,,,
37,"Civil Hospital, Karora  (Female) (T)**",Karora,9020805,,,,0,471,471,0,2,2
"",,,9020806,,,,0,393,393,,,
"",,,9020807,,,,0,181,181,,,
38,"GHS, Gulibut  (Male) (T)**",Gulibut,9020808,,,,445,0,445,2,0,2
"",,,9020809,,,,518,0,518,,,
"",,,9020810,,,,363,0,363,,,
39,"GPS, Gulibut  (Female) (T)**",Gulibut,9020808,,,,0,320,320,0,2,2
"",,,9020809,,,,0,404,404,,,
"",,,9020810,,,,0,271,271,,,
40,"GPS, Brabrai  (Male) (T)**",Sunaila,10010101,,,,586,0,586,2,0,2
"",,,10010102,,,,313,0,313,,,
41,Civil Despenciry (Female) Barabrai,Sunaila,10010101,,,,0,514,514,0,1,1
"",,,10010102,,,,0,280,280,,,
42,GHS Dehrai (Combined) (T)**(Puran),Sunaila,10010103,,,,811,677,1488,2,1,3
43,GGHS Sunaila (Male) (T)**,Sunaila,10010104,,,,693,0,693,3,0,3
"",,,10010105,,,,537,0,537,,,
"",,,10010106,,,,447,0,447,,,
44,GGPS Sunaila (Female) (T)**,Sunaila,10010104,,,,0,572,572,0,2,2
"",,,10010105,,,,0,428,428,,,
"",,,10010106,,,,0,382,382,,,
45,GMSTowa (Male) (T)**,Sundavi,10010201,,,,354,0,354,3,0,3
"",,,10010202,,,,876,0,876,,,
"",,,10010203,,,,396,0,396,,,
46,GPS Towa (Female) (T)**,Sundavi,10010201,,,,0,315,315,0,2,2
"",,,10010202,,,,0,745,745,,,
"",,,10010203,,,,0,321,321,,,
47,GPS Faiza (Combined) (T)**,Sundavi,10010204,,,,412,386,798,2,1,3
"",,,10010205,,,,575,506,1081,,,
48,GGHS Sundavi (Combined) (P)*,Sundavi,10010206,,,,788,660,1448,2,1,3
"",,,10010207,,,,352,290,642,,,
49,GPS Gharai Kandaw (Male) (T)**,Benglai,10010301,,,,382,0,382,2,0,2
"",,,10010302,,,,703,0,703,,,
50,GGPS Garai Kandaw (Female) (T)**,Benglai,10010301,,,,0,317,317,0,2,2
"",,,10010302,,,,0,619,619,,,
51,GMS Baloo (Combined) (T)**,Benglai,10010303,,,,791,694,1485,2,1,3
52,GGPS Landai (Combined),Benglai,10010304,,,,521,467,988,1,1,2
53,"GPS School, Chagam",Chagam,10010308,,,,907,0,907,2,0,2
54,GPS  Chagum No.1 (Male) (T)**,Chagam,10010305,,,,388,0,388,2,0,2
10010307,,,,606,0,606,,,,,,
55,GGMS  Chagum (Female) (T)**,Chagam,10010305,,,,0,323,323,0,3,3
"",,,10010307,,,,0,478,478,,,
"",,,10010308,,,,0,793,793,,,
56,"GMS  Sur Kamar, (Combined) (T)**",Chagam,10010306,,,,528,432,960,1,1,2
57,GHS Kolalai (Combined) (T)**,Kolalai,10010401,,,,651,524,1175,1,1,2
58,GHS Dara Serai (Male) (T)**,Dara Serai,10010402,,,,523,0,523,2,0,2
"",,,10010403,,,,423,0,423,,,
59,GGPS Dara Serai (Famale) (T)**,Dara Serai,10010402,,,,0,427,427,0,2,2
"",,,10010403,,,,0,318,318,,,
60,GMS Kotkey (Male) (T)**,Kotkey,10010404,,,,1018,0,1018,2,0,2
"",,,10010405,,,,201,0,201,,,
61,GGMS Kotkey (Female) (T)**,Kotkey,10010404,,,,0,827,827,0,2,2
"",,,10010405,,,,0,166,166,,,
62,GHS Aloch (Puran) (Male) (P)*,Aloch,10010406,,,,627,0,627,3,0,3
"",,,10010407,,,,533,0,533,,,
"",,,10010408,,,,554,0,554,,,
63,GGPS  Aloch No.2 (Puran) (Female) (P)*,Aloch,10010406,,,,0,523,523,0,3,3
"",,,10010407,,,,0,465,465,,,
"",,,10010408,,,,0,421,421,,,
64,GMS Nim kalay (Male) (T)**,Nim Kaley,10010501,,,,758,0,758,2,0,2
"",,,10010508,,,,73,0,73,,,
"",,,10010502,,,,573,0,573,,,
65,GGPS Nim Kalay (Female) (T)**,Nim Kaley,10010501,,,,0,646,646,0,2,2
"",,,10010508,,,,0,80,80,,,
"",,,10010502,,,,0,452,452,,,
66,GGHS Gumbat Aloch (Male) (P)*,Nim Kaley,10010503,,,,481,0,481,2,0,2
"",,,10010504,,,,499,0,499,,,
"",,,10010505,,,,555,0,555,,,
67,GGPS Gumbat Aloch (Female) (P)*,Nim Kaley,10010503,,,,0,402,402,0,2,2
"",,,10010504,,,,0,430,430,,,
"",,,10010505,,,,0,435,435,,,
68,GPS Kuza Awarai (Combined) (T)**,Kadona,10010506,,,,968,776,1744,2,1,3
"",,,10010509,,,,305,221,526,,,
69,GHS Kadona (Combined) (T)**,Kadona,10010507,,,,618,432,1050,1,1,2
70,GPS Baina (Combined) (T)**,Baina,10010601,,,,440,314,754,2,1,3
"",,,10010602,,,,467,362,829,,,
71,GHS Chawga (Male) (P)*,Chawga,10010603,,,,523,0,523,3,0,3
"",,,10010604,,,,656,0,656,,,
"",,,10010605,,,,270,0,270,,,
"",,,10010606,,,,275,0,275,,,
72,GHSS Chawga (Female) (T)**,Chawga,10010603,,,,0,418,418,0,2,2
10010604,,,,0,536,536,,,,,,
10010605,,,,0,237,237,,,,,,
10010606,,,,0,241,241,,,,,,
73,GPS  Akral (Combined) (T)**,Chawga,10010607,,,,579,461,1040,1,1,2
