1,2,3,4,5,6,7,8,9,10,11,12,13
"1314",Government Primary School Kandoli,Chappargram,20010304,,,,338,242,580,1,1,2
,,,586,411,997,,,,,,,
,"Government Girls High School Gul MuhammadAbad",Chapargram,20010305,,,,586,411,997,1,1,2
,,,586,411,997,,,,,,,
15,Government Girls Primary School Jotyal,Chappargram,20010307,,,,333,234,567,1,1,2
,,,333,234,567,,,,,,,
16,Government Primary School Shor Bani,Chappargram,20010306,,,,506,316,822,1,1,2
,,,506,316,822,,,,,,,
17,Government Girls Primary School Tamai,Tamai,20010308,,,,0,380,380,0,1,1
,,Tamai,20010309,,,,0,234,234,,,
,,Tamai,20010310,,,,0,204,204,,,
,,,0,818,818,,,,,,,
18,Government Primary School Kass Gujjar Khan,Tamai,20010308,,,,541,0,541,3,0,3
,,Tamai,20010309,,,,354,0,354,,,
,,Tmai,20010310,,,,336,0,336,,,
,,,1231,0,1231,,,,,,,
19,Government Girls Primary School Arghashori,Arghashori,20010112,,,,305,260,565,1,1,2
,,Arghashori,20010113,,,,336,225,561,,,
,,,641,485,1126,,,,,,,
20,Government Primary School Kohani,Arghashori,20010114,,,,571,376,947,1,1,2
,,,571,376,947,,,,,,,
21,"Government Girls Primary School JehangeerAbad",Battagram Upper,20010101,,,,518,390,908,1,1,2
,,,518,390,908,,,,,,,
22,Government Middle School Batangi,Battagram Upper,20010108,,,,449,303,752,1,1,2
,,Battagram Upper,20010109,,,,224,143,367,,,
,,,673,446,1119,,,,,,,
23,"Government Primary School Dera JehangirKhan",Battagram Upper,20010110,,,,417,292,709,1,1,2
,,,417,292,709,,,,,,,
24,Govt. Girls Degree College Battagram P.S 1,Battagram Lower,20010102,,,,684,0,684,3,0,3
,,Battagram Lower,20010111,,,,615,0,615,,,
,,,1299,0,1299,,,,,,,
25,Govt. Girls Degree College Battagram P.S 2,Battagram Lower,20010103,,,,914,0,914,2,0,2
,,,914,0,914,,,,,,,
26,Govt. Girls Degree College Battagram P.S 3,Battagram Lower,20010102,,,,0,499,499,0,1,1
