1,2,3,4,5,6,7,8,9,10,11,12,13
94,Govt. Girls Primary School No.1 Kahi (F),Mala Khel Kahi,046011204,,,,,741,"1,072",0,2,2
"",,Mala Khel Kahi,046011205,,,,,331,,,,
95,Govt:High School Kahi(C),Kahi,046011206,,,,"1,332",851,"2,183",2,2,4
96,Govt:High School Khazina Kahi(C ),Khazina Kahi,046011201,,,,636,445,"1,693",3,1,4
"",,Khazina Kahi,046011209,,,,386,226,,,,
97,"Govt:Primary School No.1 Daroorhi Kahi(M )",Daroori Kahi,046011202,,,,694,,"1,675",3,0,3
"",,Daroori Kahi,046011203,,,,981,,,,,
98,"Govt: Girls Primary School Daroorhi Kahi(F)",Daroori Kahi,046011202,,,,,484,"1,198",0,2,2
"",,Daroori Kahi,046011203,,,,,714,,,,
99,Animal Husbendary Dispensary Kahi (C),Kacha Pacca Kahi,046011207,,,,440,296,"2,060",2,2,4
"",,Kacha Pacca Kahi,046011210,,,,791,533,,,,
100,Govt:Middle School Azimi Banda Kahi(C ),Azimi Banda Kahi,046011208,,,,672,523,"2,239",2,2,4
"",,Azimi Banda Kahi,046011211,,,,602,442,,,,
1,"Govt:Higher Secondary School,Doaba(M) PS-I",,,"Moh:Noorani, Doaba",047030101,,301,,"1,232",3,0,3
"",,,,"Moh:Noorani, Doaba",047030102,,455,,,,,
"",,,,"Karbogha Road, Doaba",047030103,,476,,,,,
2,"Govt:Higher Secondary School,Doaba(F) PS-II",,,"Moh:Noorani, Doaba",047030101,,,205,871,0,2,2
"",,,,"Moh:Noorani, Doaba",047030102,,,352,,,,
"",,,,"Karbogha Road, Doaba",047030103,,,314,,,,
3,"Govt. Girls Primary School Doaba (M) PSI",,,Moh:Parachgan Doaba,047030104,,679,,"1,422",3,0,3
"",,,,Usmani Masjid Doaba,047030105,,743,,,,,
4,"Govt. Girls Primary School Doaba (M) PSII",,,"Norani Masjid/RailwayRd.Doaba",047030106,,"1,113",,"1,299",2,0,2
"",,,,Qureshan Kha Khel Doaba,047030107,,186,,,,,
5,Govt:Primary School Sharqi Doaba(F),,,Moh:Parachgan Doaba,047030104,,,519,"1,976",0,4,4
"",,,,Usmani Masjid Doaba,047030105,,,513,,,,
"",,,,"Norani Masjid/RailwayRd:Doaba",047030106,,,826,,,,
"",,,,Qureshan Kha Khel Doaba,047030107,,,118,,,,
6,Govt:High School Sarozai (C ),ZARA MELLA SAROZAI,047010201,,,,707,466,"1,679",2,2,4
"",,HIGH SCHOOL SAROZAI,047010203,,,,285,221,,,,
7,Govt: Primary School No.2 Sarozai (M ),Main Road Qabristan Sarozai,047010202,,,,"1,173",,"2,441",4,0,4
"",,Ali Sher Khel Sarozai,047010204,,,,904,,,,,
"",,Ahmad Abad Sarozai,047010205,,,,364,,,,,
8,Govt:Girls Middle School Sarozai (F),Main Road Qabristan Sarozai,047010202,,,,,885,"1,749",0,3,3
"",,ALI SHER KHEL SAROZAI,047010204,,,,,634,,,,
"",,AHMED ABAD SAROZAI,047010205,,,,,230,,,,
9,Govt. Primary School Poongi Banda (C),POONGI BANDA SAROZAI,047010206,,,,833,650,"1,483",3,1,4
10,Govt:Middle School Chapri Naryab(C ),CHAPRI NARYAB,047010101,,,,683,502,"2,312",2,2,4
"",,CHAPRI NARYAB,047010112,,,,646,481,,,,
11,"Govt:Primary School Aziz abad, Naryab(C )",ZARGIRI NARYAB,047010103,,,,621,397,"1,475",2,1,3
"",,ZARGIRI NARYAB,047010104,,,,271,186,,,,
12,Govt:Primary School No.1 Zargeri C ),ZARGIRI NARYAB,047010105,,,,186,211,"1,455",2,1,3
"",,ZARGIRI NARYAB,047010106,,,,148,71,,,,
"",,ZARGIRI NARYAB,047010115,,,,287,196,,,,
"",,ZARGIRI NARYAB,047010116,,,,286,70,,,,
13,Govt:High School Shanawari Naryab(C ),SHNAWARI NARYAB,047010102,,,,449,374,"1,714",2,2,4
"",,SHNAWARI NARYAB,047010113,,,,506,352,,,,
"",,SHNAWARI NARYAB,047010114,,,,10,23,,,,
14,Govt:Girls Primary School Naryab(C ),HASSAN ZAI NARYAB,047010107,,,,625,414,"1,642",2,2,4
"",,HASSAN ZAI NARYAB,047010117,,,,319,284,,,,
15,Govt:Primary School Naryab  (M ),NARYAB,047010108,,,,981,,"2,211",4,0,4
"",,NARYAB,047010109,,,,442,,,,,
"",,NARYAB,047010118,,,,227,,,,,
"",,NARYAB,047010119,,,,544,,,,,
"",,NARYAB,047010120,,,,17,,,,,
16,"Union Council Office, Naryab(F)",Naryab,047010108,,,,,829,"1,702",0,3,3
