"",,,,,,,Umar Khan,,O,,062010704,,0,,112,,112,,,,,,,,,
"",,,,,,,Khyber,,,,062010705,,0,,125,,125,,,,,,,,,
"",64,,GPS Mamdu Galu,,گورنمنٹ پرائمری سکول ممدو گلو,,Ghazi,,S-,,062010801,,161,,0,,161,,1,,0,,1,,Male,
"",,,,,,,Mumdu Galu,,",",,062010802,,155,,0,,155,,,,,,,,,
"",65,,GGPS Mamdu Galu,,گورنمنٹ گرلز  پرائمری سکول ممدو گلو,,Ghazi,,S-,,062010801,,0,,114,,114,,0,,1,,1,,Female,
"",,,,,,,Mumdu Galu,,",",,062010802,,0,,114,,114,,,,,,,,,
"",66,,GPS Shah Alam,,گورنمنٹ پرائمری سکول شاه عالم,,Shah Alam,,,,062020501,,652,,452,,1104,,2,,2,,4,,Combined,
"",,,,,,,Thathi Mianwali,,,,062020502,,232,,186,,418,,,,,,,,,
"",67,,GPS Rodi Khel,,گورنمنٹ پرائمری سکول روڈی خيل,,Rodi Khel,,"'S0,#",,062020601,,744,,492,,1236,,2,,1,,3,,Combined,
"",68,,GPS No. 1 Kot Kat,,گورنمنٹ پرائمری سکول نمبر١ کوٹ کٹ,,Kot Kat,,M,,062020503,,0,,530,,530,,0,,2,,2,,Female,
"",,,,,,,Ashpari,,S,,062020504,,0,,160,,160,,,,,,,,,
"",,,,,,,Nalla Mullazai,,>-?,,062020505,,0,,0,,0,,,,,,,,,
"",,,,,,,Jafran,,,,062020602,,0,,47,,47,,,,,,,,,
"",69,,GMS Kot Kat,,گورنمنٹ مڈل سکول کوٹ کٹ,,Kot Kat,,M,,062020503,,674,,0,,674,,3,,0,,3,,Male,
"",,,,,,,Ashpari,,S,,062020504,,252,,0,,252,,,,,,,,,
"",,,,,,,Nalla Mullazai,,>-?,,062020505,,0,,0,,0,,,,,,,,,
"",,,,,,,Jafran,,,,062020602,,79,,0,,79,,,,,,,,,
"",70,,GPS Pirwana,,گورنمنٹ پرائمری سکول پيروانہ,,Pir Wana,,"L ,",,062020701,,302,,235,,537,,2,,1,,3,,Combined,
"",,,,,,,Gola Kurai,,> #M2,,062020702,,281,,210,,491,,,,,,,,,
"",71,,GMS Naurang,,گورنمنٹ مڈل سکول نورنگ,,Naurang,,"#",,062020901,,435,,377,,812,,1,,1,,2,,Combined,
"",72,,GGPS No.1 Kot Pathan,,گورنمنٹ گرلز پرائمری سکول نمبر١ کوٹ پٹھان,,Kot Pathan,,M,,062020605,,0,,270,,270,,0,,3,,3,,Female,
"",,,,,,,Kot Pathan,,M,,062020606,,0,,753,,753,,,,,,,,,
