89,Government Primary School Ambar Garhi,Ambar Garhi,522010307,,,,45,27,72,1,1,2
"",,Nasko Hassan Zai,522010618,,,,76,58,134,,,
"",,Nasko Hassan Zai,522010619,,,,114,81,195,,,
"",,,,,,,235,166,401,,,
90,Government Middle School Karor,Karor,522010801,,,,66,89,155,1,1,2
"",,Karor,522010802,,,,29,17,46,,,
"",,Karor,522010803,,,,98,80,178,,,
"",,Karor,522010804,,,,13,13,26,,,
"",,Karor,522010805,,,,161,145,306,,,
"",,,,,,,367,344,711,,,
91,Government  Primary School Karor,Karor,522010806,,,,108,112,220,1,1,2
"",,Karor,522010807,,,,105,92,197,,,
"",,Karor,522010808,,,,77,87,164,,,
"",,,,,,,290,291,581,,,
92,Government Primary School Manjakot,Manjakot,522010809,,,,294,226,520,1,1,2
"",,Manjakot,522010810,,,,47,48,95,,,
"",,Manjakot,522010811,,,,54,48,102,,,
"",,Manjakot,522010812,,,,60,41,101,,,
"",,Manjakot,522010813,,,,41,35,76,,,
"",,,,,,,496,398,894,,,
93,Government Girls Primary School Manjakot,Manjakot,522010814,,,,39,31,70,1,1,2
"",,Manjakot,522010815,,,,95,62,157,,,
"",,Manjakot,522010816,,,,62,49,111,,,
"",,Manjakot,522010817,,,,55,32,87,,,
"",,Manjakot,522010818,,,,57,43,100,,,
"",,,,,,,308,217,525,,,
94,Government Primary School Abu Mada Khail,Abu Mada Khail,522010819,,,,138,146,284,1,1,2
"",,,,,,,138,146,284,,,
95,Government Primary School Shanai,Abu Shani Bala Payee,522010908,,,,36,31,67,1,1,2
"",,Abu Shani Bala Payee,522010909,,,,111,125,236,,,
"",,Abu Shani Bala Payee,522010910,,,,60,80,140,,,
"",,,,,,,207,236,443,,,
96,Government Primary School Doba Bala,Doba,522010911,,,,106,81,187,1,1,2
"",,Doba,522010912,,,,71,76,147,,,
"",,Doba,522010913,,,,29,22,51,,,
"",,,,,,,206,179,385,,,
97,Government Primary School Dadum,Dadum Mada Khail,522010903,,,,43,34,77,1,1,2
"",,Dadum Mada Khail,522010904,,,,82,77,159,,,
"",,,,,,,125,111,236,,,
98,Government Primary School Sulamani,Sulamani,522010905,,,,58,56,114,1,1,2
"",,Sulamani,522010906,,,,34,33,67,,,
"",,Sulamani,522010907,,,,130,168,298,,,
"",,,,,,,222,257,479,,,
99,Government Middle School Chira Kot,Chira Kot,522011021,,,,186,140,326,1,1,2
"",,Chira Kot,522011022,,,,96,81,177,,,
"",,Chira Kot,522011023,,,,43,26,69,,,
"",,,,,,,325,247,572,,,
100,Government Primary School Sonia,Tarra,522010820,,,,46,42,88,1,1,2
"",,Sonia,522011117,,,,114,102,216,,,
"",,Sonia,522011118,,,,59,45,104,,,
"",,,,,,,219,189,408,,,
101,Government Primary School Kalsoona,Kalsoona,522010901,,,,101,80,181,1,1,2
"",,Kalsoona,522010902,,,,147,120,267,,,
"",,,,,,,248,200,448,,,
102,Government Middle School Chund,Chund,522011119,,,,82,62,144,1,1,2
"",,Chund,522011120,,,,199,139,338,,,
"",,Chund,522011121,,,,110,84,194,,,
"",,Chund,522011122,,,,73,56,129,,,
"",,,,,,,464,341,805,,,
103,Government Primary School Garhi Zareen (Garhi Mada Khail),Garhi Zareen,78010701,,,,133,94,227,1,1,2
"",,Garhi Zareen,78010702,,,,135,103,238,,,
"",,Garhi Zareen,78010703,,,,95,55,150,,,
"",,,,,,,363,252,615,,,
104,Government Primary School Maira Mada Khail,Maira Mada Khail,522011007,,,,109,79,188,1,1,2
"",,Maira Mada Khail,522011008,,,,39,33,72,,,
"",,Maira Mada Khail,522011009,,,,64,53,117,,,
"",,Maira Mada Khail,522011010,,,,63,54,117,,,
"",,Maira Mada Khail,522011011,,,,65,52,117,,,
"",,,,,,,340,271,611,,,
105,Government Higher Secondary School Maira Mada Khail (PS-I),Maira Mada Khail,522011012,,,,180,171,351,1,1,2
"",,Maira Mada Khail,522011013,,,,46,32,78,,,
"",,Maira Mada Khail,522011014,,,,127,113,240,,,
"",,Maira Mada Khail,522011015,,,,168,129,297,,,
"",,Maira Mada Khail,522011016,,,,76,53,129,,,
"",,,,,,,597,498,1095,,,
106,Government Higher Secondary School Maira Mada Khail (PS-II),Maira Mada Khail,522011017,,,,81,62,143,1,1,2
"",,Maira Mada Khail,522011018,,,,58,55,113,,,
