ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE NATIONALY ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency NA-72 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station",No. of Polling Booths,,,,,,
"",,"Name of Electoral RollsAreas.","CensusBlock Code.","Name of ElectoralRolls Areasassigned to the","CensusBlock CodeNumber",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
334,Government Girls Elementary School Jhulki. (P),KADIR ABAD,178041502,,,,207,156,363,,,
"",,DHELE,178041503,,,,522,411,933,,,
"",,,TOTAL:-,,,,729,567,1296,1,1,2
335,GovernmentBoys Primary School Jhulki. (P),JHULKI,178041504,,,,535,428,963,,,
"",,JHULKI,178041505,,,,397,299,696,,,
"",,,TOTAL:-,,,,932,727,1659,2,1,3
336,"Government Girls Primary School Gul BaharKhurd.(Male)(P)",GUL BAHAR KHURD,178041506,,,,523,,523,,,
"",,GUL BAHAR KHURD,178041507,,,,825,,825,,,
"",,,TOTAL:-,,,,1348,,1348,2,,2
337,"Government Girls Primary School Gul BaharKhurd.(Female)(P)",GUL BAHAR KHURD,178041506,,,,,368,368,,,
"",,GUL BAHAR KHURD,178041507,,,,,663,663,,,
"",,,TOTAL:-,,,,,1031,1031,,2,2
338,Government Girls High School Kamanwala. (P),KAMAN WALA,178041601,,,,439,531,970,,,
"",,KAMAN WALA,178041602,,,,408,395,803,,,
"",,,TOTAL:-,,,,847,926,1773,2,2,4
339,Government Girls Primary School Sidh.(P),SIDH,178041603,,,,393,281,674,,,
"",,SIDH,178041604,,,,609,546,1155,,,
"",,,TOTAL:-,,,,1002,827,1829,2,2,4
340,"Government Boys Elementary School Gul Bahar Kalan.(P)",JAHAI,178041605,,,,746,589,1335,,,
JAHAI,178041606,,,,154,121,275,,,,,
"",TOTAL:-,,,,900,710,1610,2,1,3,,
BAWARIANA,178041607,,,,744,,744,,,,,
"",,,TOTAL:-,,,,1700,,1700,3,,3
342,GovernmentBoys High School Kamanwala (Female). (P),BAWARIANA,178041607,,,,,559,559,,,
"",,BAWARIANA,178041608,,,,,747,747,,,
"",,,TOTAL:-,,,,,1306,1306,,2,2
343,GovernmentBoys High School Kamanwala. (Male)(P),BAWARIANA,178041609,,,,248,,248,,,
"",,BAWARIANA,178041610,,,,817,,817,,,
"",,,TOTAL:-,,,,1065,,1065,2,,2
344,Government Boys High School Kamanwala. (Female)(P),BAWARIANA,178041609,,,,,244,244,,,
"",,BAWARIANA,178041610,,,,,645,645,,,
"",,,TOTAL:-,,,,,889,889,,2,2
345,Union Council Office Headmarala.,NAND PUR,178050301,,,,615,452,1067,,,
"",,RANJAN MAHAL,178050312,,,,103,44,147,,,
"",,KOTLI RANJAN,178050313,,,,318,250,568,,,
"",,MAHAL HANJIAN,178050315,,,,0,0,0,,,
"",,,TOTAL:-,,,,1036,746,1782,2,2,4
346,GovernmentGirls Primary School Machrala.(Male)(P),MACHRALA,178050302,,,,758,,758,,,
"",,MACHRALA,178050303,,,,493,,493,,,
"",,CHAK BHOKAIAN,178050314,,,,183,,183,,,
"",,,TOTAL:-,,,,1434,,1434,2,,2
347,GovernmentGirls Primary School Machrala.(Female)(P),MACHRALA,178050302,,,,,507,507,,,
"",,MACHRALA,178050303,,,,,308,308,,,
"",,CHAK BHOKAIAN,178050314,,,,,120,120,,,
"",,,TOTAL:-,,,,,935,935,,2,2
348,Office Union Council Pindi Khokhran at Machrala. (P),MACHRALA,178050304,,,,580,426,1006,,,
"",,MACHRALA,178050305,,,,241,186,427,,,
"",,MACHRALA,178050306,,,,95,75,170,,,
"",,,TOTAL:-,,,,916,687,1603,2,1,3
349,Government Boys Primary School Chakrala.(Male)(P),CHAK RALA,178050307,,,,507,,507,,,
"",,CHAK RALA,178050308,,,,764,,764,,,
"",,,TOTAL:-,,,,1271,,1271,2,,2
350,Government Girls Elementry School Chakrala. (Female),CHAK RALA,178050307,,,,,367,367,,,
"",,CHAK RALA,178050308,,,,,558,558,,,
"",,,TOTAL:-,,,,,925,925,,2,2
351,Government Girls Primary School Bhahdar Pur. (P),KOTLI BAHADAR PUR,178050309,,,,319,222,541,,,
KOTLI BAHADAR PUR,178050310,,,,563,445,1008,,,,,
BAHADAR PUR (KOTLI M,P1A7L8050311,,,,94,90,184,,,,,
"",TOTAL:-,,,,976,757,1733,2,2,4,,
CHIBBER WALE,178050701,,,,96,68,164,,,,,
MUAZZAM ABAD,178050702,,,,195,149,344,,,,,
FAUJDAR GARH,178050704,,,,197,134,331,,,,,
"",,CHAK BAGA,178050706,,,,187,99,286,,,
"",,WADHAL,178050708,,,,208,142,350,,,
"",,,TOTAL:-,,,,961,646,1607,2,1,3
353,Government Girls High School Khannah. (P),KHANNA,178050703,,,,581,459,1040,,,
"",,KOT BAWA,178050707,,,,203,137,340,,,
"",,,TOTAL:-,,,,784,596,1380,1,1,2
354,Government Girls Primary School  Gagay wali.,GAGGE WALI,178050709,,,,472,366,838,,,
"",,,TOTAL:-,,,,472,366,838,1,1,2
355,GovernmentBoys Primary School Rahang.  (Male)(P),RAHANG,178050901,,,,844,,844,,,
"",,MAHUTA,178050903,,,,120,,120,,,
"",,JASTAR WAL,178050906,,,,54,,54,,,
"",,MAHAL CHAMBER,178050908,,,,17,,17,,,
"",,,TOTAL:-,,,,1035,,1035,2,,2
356,GovernmentBoys Primary School Rahang. (Female) (P),RAHANG,178050901,,,,,648,648,,,
"",,MAHUTA,178050903,,,,,74,74,,,
"",,JASTAR WAL,178050906,,,,,29,29,,,
"",,MAHAL CHAMBER,178050908,,,,,10,10,,,
"",,,TOTAL:-,,,,,761,761,,2,2
357,Govt Boys Primary School Kothay Pathanan (P),KHARANA,178050902,,,,117,82,199,,,
"",,KOTLI PATHANAN,178050904,,,,236,182,418,,,
"",,GHOGHAIT,178050907,,,,245,199,444,,,
"",,,TOTAL:-,,,,598,463,1061,1,1,2
358,Gvot. Model Primary School Lalian. (P),LALLI,178050905,,,,556,452,1008,,,
"",,,TOTAL:-,,,,556,452,1008,1,1,2
359,"GovernmentBoys Elementary School Daria Bidhar.(Male) (P)",DHOLU CHAHAN,178051301,,,,196,,196,,,
"",,DARYA BADAR,178051302,,,,462,,462,,,
"",,ACHRAN,178051303,,,,172,,172,,,
"",,CHAK HARU,178051304,,,,142,,142,,,
"",,WAZIRKE,178051307,,,,0,,0,,,
"",,,TOTAL:-,,,,1019,,1019,2,,2
360,"GovernmentBoys Elementary School Daria Bidhar.(Female) (P)",DHOLU CHAHAN,178051301,,,,,143,143,,,
DARYA BADAR,178051302,,,,,358,358,,,,,
ACHRAN,178051303,,,,,111,111,,,,,
CHAK HARU,178051304,,,,,124,124,,,,,
WAZIRKE,178051307,,,,,0,0,,,,,
"",TOTAL:-,,,,,765,765,,2,2,,
KOKAR,178051305,,,,42,34,76,,,,,
KHOKHAR,178051306,,,,0,0,0,,,,,
PIR SUBZ,178051308,,,,47,29,29,,,,,
RAWAAL,178051309,,,,190,162,352,,,,,
