ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE NATIONALY ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency NA-72 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station",No. of Polling Booths,,,,,,
"",,"Name of Electoral RollsAreas.","CensusBlock Code.","Name of ElectoralRolls Areasassigned to the","CensusBlock CodeNumber",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
78,Government Girls Primary School Bahera. (P),BAHERA,178050409,,,,575,455,1030,,,
"",,,TOTAL:-,,,,575,455,1030,1,1,2
79,Govt Boys Primary School Bhairi. (Male)(P),BHERI,178050410,,,,512,,512,,,
"",,BHERI,178050411,,,,505,,505,,,
"",,BHERI,178050412,,,,281,,281,,,
"",,,TOTAL:-,,,,1298,,1298,2,,2
80,Govt Boys Primary School Bhairi. (Female)(P),BHERI,178050410,,,,,429,429,,,
"",,BHERI,178050411,,,,,323,323,,,
"",,BHERI,178050412,,,,,199,199,,,
"",,,TOTAL:-,,,,,951,951,,2,2
81,GovernmentGirls Primary School Harnah. (P),HARNAH,178050501,,,,139,116,255,,,
"",,BADIAN,178051401,,,,106,75,181,,,
"",,SADHARI WALI,178051408,,,,117,89,206,,,
"",,DUNGAR PUR,178051606,,,,199,145,344,,,
"",,,TOTAL:-,,,,561,425,986,1,1,2
82,GovernmentGirls High School Turanwal. (P),CHAK CHOOR,178050502,,,,229,165,394,,,
"",,TURANWAL,178050807,,,,742,580,1322,,,
"",,,TOTAL:-,,,,971,745,1716,2,2,4
83,Government Boys High School Marala. (P),SAGRI PUR,178050503,,,,212,174,386,,,
MARALA,178050507,,,,402,329,731,,,,,
"",TOTAL:-,,,,614,503,1117,1,1,2,,
CHAK DUDH,178050504,,,,0,,0,,,,,
MAJWAL,178050506,,,,200,,200,,,,,
MUNWAR PUR,178050508,,,,277,,277,,,,,
PINDI LADOO,178050509,,,,706,,706,,,,,
85,Government Girls Primary School Pindi Lado.(Female)(P),CHAK DUDH,178050504,,,,,0,0,,,
"",,MAJWAL,178050506,,,,,144,144,,,
"",,MUNWAR PUR,178050508,,,,,205,205,,,
"",,PINDI LADOO,178050509,,,,,500,500,,,
"",,,TOTAL:-,,,,,849,849,,2,2
86,Government Boys Primary School Dhallewali (Male) (P),KULL,178050505,,,,94,,94,,,
"",,DHALE WALI,178050510,,,,570,,570,,,
"",,DHALE WALI,178050511,,,,138,,138,,,
"",,DHALE WALI,178050512,,,,201,,201,,,
"",,,TOTAL:-,,,,1003,,1003,2,,2
87,"Government Boys Primary School Dhallewali (Female)(P)",KULL,178050505,,,,,61,61,,,
"",,DHALE WALI,178050510,,,,,413,413,,,
"",,DHALE WALI,178050511,,,,,91,91,,,
"",,DHALE WALI,178050512,,,,,160,160,,,
"",,,TOTAL:-,,,,,725,725,,2,2
88,Government Girls Primary School Dhallewali.,DHALE WALI,178050513,,,,154,119,273,,,
"",,DHALE WALI,178050514,,,,519,388,907,,,
"",,,TOTAL:-,,,,673,507,1180,1,1,2
89,Government Boys Primary School Dhallewali (Male) (P),DHALE WALI,178050515,,,,234,,234,,,
"",,DHALE WALI,178050516,,,,1296,,1296,,,
"",,,TOTAL:-,,,,1530,,1530,2,,2
90,"Government Boys Primary School Dhallewali (Female)(P)",DHALE WALI,178050515,,,,,205,205,,,
"",,DHALE WALI,178050516,,,,,975,975,,,
"",,,TOTAL:-,,,,,1180,1180,,2,2
91,Government Girls Primary School Dhapai. (P),TOKAN,178050601,,,,149,133,282,,,
"",,DHAPAI,178050602,,,,496,425,921,,,
"",,,TOTAL:-,,,,645,558,1203,1,1,2
92,Government Model Primary School Bhulla. (Male) (P),BHULLO,178050603,,,,479,,479,,,
"",,BHULLO,178050604,,,,281,,281,,,
"",,BHULLO,178050605,,,,317,,317,,,
"",,,TOTAL:-,,,,1077,,1077,2,,2
93,Government Model Primary School Bhulla. (Female) (P),BHULLO,178050603,,,,,386,386,,,
"",,BHULLO,178050604,,,,,237,237,,,
"",,BHULLO,178050605,,,,,234,234,,,
"",,,TOTAL:-,,,,,857,857,,2,2
94,Government Girls Primary School Miani Pathanan. (P),AIMMA,178050801,,,,194,138,332,,,
MIANI AWAN,178050805,,,,198,138,336,,,,,
MIANI PATHANAN,178050806,,,,478,357,835,,,,,
GONDAL/Miani Awanan,178051507,,,,116,73,189,,,,,
"",TOTAL:-,,,,986,706,1692,2,1,3,,
95,Government Model Primary School Kotera.  (P),KOTEROA,178050803,,,,511,378,889,,,
"",,,TOTAL:-,,,,604,449,1053,1,1,2
96,Government Girls Primary School Matarhal Kalan (P),MATARHAL KHURD,178050804,,,,333,239,572,,,
"",,MATTAR HAL KALAN,178051801,,,,180,125,305,,,
"",,,TOTAL:-,,,,513,364,877,1,1,2
97,Government Girls Primary School Chaila. (P),CHAK SARWANI,178051001,,,,364,252,616,,,
"",,CHELA,178051002,,,,251,189,440,,,
"",,DAULATAN WALI,178051003,,,,199,121,320,,,
"",,KOTLI CHANDO,178051103,,,,212,147,359,,,
"",,,TOTAL:-,,,,1026,709,1735,2,2,4
98,Government Girls Elementary School Rattowal. (P),RATTOWAL,178051004,,,,467,382,849,,,
"",,,TOTAL:-,,,,467,382,849,1,1,2
99,GovernmentGirls Elementary School Punnuwal (P),ROLE WAL,178051005,,,,236,182,418,,,
"",,PANNOWAL,178051101,,,,641,487,1128,,,
"",,,TOTAL:-,,,,877,669,1546,1,1,2
100,Government Model Primary School Sheeni. (P),SHANI,178051006,,,,621,474,1095,,,
"",,,TOTAL:-,,,,621,474,1095,1,1,2
101,Government Girls Primary School Malhowal. (P),MALHOWAL,178051102,,,,354,294,648,,,
"",,KOT WARSAL PUR,178051104,,,,180,131,311,,,
"",,,TOTAL:-,,,,534,425,959,1,1,2
102,GovernmentGirls Primary School Waryam. (P),CHAK ROMALA,178051105,,,,134,96,230,,,
"",,WARYAM,178051106,,,,365,271,636,,,
"",,,TOTAL:-,,,,499,367,866,1,1,2
103,Government Girls Primary School Chak Amboo (P),CHAK AMBOO,178051201,,,,457,329,786,,,
