Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
248,"Govt Girls  Primary School, Bohar Langah.(P)",Bhobat pur,219020801,,,,419,314,733,2,2,4
"",,Bohar Langah,219020802,,548,425,973,,,,,
Total,,,,,,,967,739,1706,2,2,4
249,"Govt Boys Primary School, Bapper Wala.(P)",Bapper,219020803,,,,254,153,407,1,1,2
"",,Bapper,219020804,,377,252,629,,,,,
Total,,,,,,,631,405,1036,1,1,2
250,"Govt Girls  Primary School, Chak 1-4-M(P)",Chak No. 1- A/M,219021004,,,,491,274,765,1,1,2
"",,Chak No. 2-A/M,219021002,,125,84,209,,,,,
Total,,,,,,,616,358,974,1,1,2
251,"Govt Boys High School, Chak 3-M(P)",Chak No. 3/M,219021003,,,,540,443,983,1,1,2
Total,,,,,,,540,443,983,1,1,2
252,"Govt Girls  Primary School, Chak 223/WB(P)",Chak No. 223/WB,219021001,,,,649,438,1087,1,1,2
Total,,,,,,,649,438,1087,1,1,2
253,"Govt Boys Primary School, 23-M(P)",Chak No. 23/M,219041104,,,,647,400,1047,1,1,2
Total,,,,,,,647,400,1047,1,1,2
254,"Govt Girls  Primary School, Chak 5-M(P)",Chak No. 5/M,219041001,,,,602,483,1085,1,1,2
Total,,,,,,,602,483,1085,1,1,2
"",,Chak No. 7/M,219040904,,,,399,299,698,,,
Total,,,,,,,1008,737,1745,2,2,4
256,"Govt Boys Primary School, Chak 4-M(P)",Chak No. 8/M,219041003,,,,457,343,800,2,1,3
"",Chak No. 4/M,219040901,,415,326,741,,,,,,
Total,,,,,,,872,669,1541,2,1,3
257,"Govt Boys Middle School, Chak No.11-M(P)",Bahoopur,219040906,,,,90,45,135,2,1,3
"",Chak No. 11/M,219040905,,603,410,1013,,,,,,
Total,,,,,,,693,455,1148,2,1,3
258,"Govt Boys Primary School, Chak 235/WB Male(P)",Chak No. 235/WB,219040801,,,,629,0,629,3,0,3
"",Chak No. 235/WB,219040802,,461,0,461,,,,,,
Total,,,,,,,1090,0,1090,3,0,3
259,"Govt Girls  Primary School, Chak 235/WB Female(P)",Chak No. 235/WB,219040801,,,,0,457,457,0,2,2
"",Chak No. 235/WB,219040802,,0,382,382,,,,,,
Total,,,,,,,0,839,839,0,2,2
260,"Govt Boys Primary School, Chak 243/WB Male(P)",Chak No. 243/WB,219040803,,,,208,0,208,2,0,2
"",Chak No. 243/WB,219040804,,535,0,535,,,,,,
"",Chak No. 247/WB,219040806,,87,0,87,,,,,,
"",Chak No. 245/WB,219040805,,354,0,354,,,,,,
Total,,,,,,,1184,0,1184,2,0,2
261,"Govt Girls  Primary School, Chak 243/WB Female(P)",Chak No. 243/WB,219040803,,,,0,183,183,0,2,2
"",Chak No. 243/WB,219040804,,0,406,406,,,,,,
"",Chak No. 247/WB,219040806,,0,63,63,,,,,,
"",Chak No. 245/WB,219040805,,0,242,242,,,,,,
Total,,,,,,,0,894,894,0,2,2
262,"Govt Boys Primary School, 10-M(P)",Chak No. 10/M,219040701,,,,262,209,471,2,2,4
"",Chak No. 10/M,219040702,,172,103,275,,,,,,
"",Chak No. 10/M,219040703,,168,150,318,,,,,,
"",Chak No. 10/M,219040704,,338,234,572,,,,,,
Total,,,,,,,940,696,1636,2,2,4
263,"Govt Girls  Primary School, 12-M(P)",Chak No. 12/M,219040706,,,,476,352,828,2,1,3
"",Chak No. 12/M,219040707,,324,225,549,,,,,,
Total,,,,,,,800,577,1377,2,1,3
264,"Govt Boys Primary School, Chak 13-M(P)",Chak No. 13/M,219040708,,,,514,405,919,2,1,3
Naich,219040705,,243,148,391,,,,,,,
265,"Govt Girls  Primary School, Chak 14-M(P)",Chak No. 14/M,219040709,,,,753,578,1331,2,2,4
"",Chak No. 14/M,219040710,,329,197,526,,,,,,
Total,,,,,,,1082,775,1857,2,2,4
266,"Govt Girls  Primary School, Chak 15-M(P)",Chak No. 15/M,219040711,,,,175,121,296,1,1,2
"",Chak No. 15/M,219040712,,400,252,652,,,,,,
Total,,,,,,,575,373,948,1,1,2
267,"Govt Girls  Primary School, Chak 9-M(P)",Chak No. 9/M,219040902,,,,255,150,405,2,1,3
"",Chak No. 9/M,219040903,,497,347,844,,,,,,
Total,,,,,,,752,497,1249,2,1,3
268,"Govt Boys Primary School, Chak No.17-M Part-I (P)",Chak No. 17/M,219041101,,,,458,330,788,2,1,3
"",Chak No. 17/M,219041102,,440,250,690,,,,,,
Total,,,,,,,898,580,1478,2,1,3
269,"Govt Boys Primary School, Chak No.17-M Part-II (P)",Chak No. 18/M,219041103,,,,276,180,456,1,1,2
Total,,,,,,,276,180,456,1,1,2
270,"Govt Girls  Primary School, Chak No.25-M(P)",Chak No. 25/M,219040301,,,,417,298,715,2,2,4
"",Chak No. 25/M,219040302,,516,387,903,,,,,,
Total,,,,,,,933,685,1618,2,2,4
271,"Govt Girls Middle School, 26-M East  (P)",Chak No. 26/M (East ),219040305,,,,286,232,518,1,1,2
Total,,,,,,,286,232,518,1,1,2
272,"Govt. Boys Primary School, 26-M West Part-I (P)",Chak No. 26/M ( West ),219040303,,,,314,0,314,2,0,2
"",Chak No. 26/M ( West ),219040304,,818,0,818,,,,,,
Total,,,,,,,1132,0,1132,2,0,2
273,"Govt. Boys Primary School, 26-M West Part-II  (P)",Chak No. 26/M ( West ),219040303,,,,0,213,213,0,2,2
"",Chak No. 26/M ( West ),219040304,,0,682,682,,,,,,
Total,,,,,,,0,895,895,0,2,2
274,"Govt Girls  Primary School, Chak No. 28-M Part-I (P)",Chak No. 28/M,219041202,,,,459,354,813,1,1,2
Total,,,,,,,459,354,813,1,1,2
275,"Govt Girls  Primary School, Chak No. 28-M Part-II (P)",Chak No. 28/M,219041203,,,,670,522,1192,1,1,2
Total,,,,,,,670,522,1192,1,1,2
276,"Govt Girls  Primary School, Chak No. 27-M(P)",Chak No. 27/M,219041201,,,,575,497,1072,1,1,2
Total,,,,,,,575,497,1072,1,1,2
277,"Govt Boys High School, Chak No. 35-M Part-I (P)",Chak No. 35/M,219041204,,,,764,627,1391,1,1,3
Total,,,,,,,764,627,1391,0,1,3
278,"Govt Boys High School, Chak No. 35-M Part-II (P)",Chak No. 35/M,219041205,,,,367,288,655,1,1,2
Total,,,,,,,367,288,655,1,1,2
279,"Govt Girls  Primary School, Bohar Mailsi(P)",Bohar Mailsi,219040603,,,,562,449,1011,1,1,2
Total,,,,,,,562,449,1011,1,1,2
280,"Govt Boys Primary School, Fateh pur(P)",Fateh pur,219040601,,,,526,375,901,2,1,3
"",Fateh pur,219040602,,293,236,529,,,,,,
Total,,,,,,,819,611,1430,2,1,3
281,"Govt Boys Elementary School, 38-M(P)",Chak No. 38/M,219040306,,,,686,386,1072,1,1,2
Total,,,,,,,686,386,1072,1,1,2
282,"Govt Boys Primary School, Bhutta Wala ( Part-1)(P)",Dunyapur East,219010101,,,,745,586,1331,2,1,3
Total,,,,,,,745,586,1331,2,1,3
283,"Govt Boys Primary School, Bhutta Wala (Part-II)(P)",Dunyapur East,219010102,,,,410,310,720,2,1,3
Dunyapur East,219010103,,507,337,844,,,,,,,
284,"Govt Girls  Primary School, Sadiq Wala Part-I (P)",Dunyapur West,219010201,,,,455,265,720,1,1,2
"",Dunyapur West,219010203,,212,153,365,,,,,,
Total,,,,,,,667,418,1085,1,1,2
285,"Govt Girls  Primary School,  Sadiq Wala Part-II (P)",Dunyapur West,219010202,,,,567,447,1014,1,1,2
Total,,,,,,,567,447,1014,1,1,2
286,"Govt Boys Primary School, 24-M(P)",Chak No. 24/M,219010206,,,,422,326,748,1,1,2
"",Chak No. 24/M,219010207,,321,216,537,,,,,,
Total,,,,,,,743,542,1285,1,1,2
287,"Govt Girls Middle School, 16-M(P)",Chak No. 16/M,219010204,,,,549,353,902,1,1,2
"",Chak No. 16/M,219010205,,157,103,260,,,,,,
Total,,,,,,,706,456,1162,1,1,2
288,"Govt Boys Primary School , 327/WB(P)",Chak No. 327/WB,219010801,,,,381,297,678,2,2,4
"",Chak No. 327/WB,219010802,,536,433,969,,,,,,
Total,,,,,,,917,730,1647,2,2,4
289,"Govt Girls  Primary School, Chak No. 323/WB(P)",Chak No. 323/WB,219010803,,,,631,507,1138,2,2,4
"",Chak No. 325/WB,219010804,,350,225,575,,,,,,
Total,,,,,,,981,732,1713,2,2,4
290,"Govt Boys Primary School, Chak No. 329/WB(P)",Chak No. 329/WB,219010805,,,,90,67,157,1,1,2
"",Chak No. 329/WB,219010806,,434,334,768,,,,,,
Total,,,,,,,524,401,925,1,1,2
291,"Govt Girls High School, Chak No. 319/WB Part-I (P)",Chak No. 319/WB,219011104,,,,416,0,416,2,0,2
"",Chak No. 319/WB,219011105,,502,0,502,,,,,,
"",Chak No. 319/WB,219011106,,168,0,168,,,,,,
Total,,,,,,,1086,0,1086,2,0,2
292,"Govt Girls High School, Chak No. 319/WB Part-II (P)",Chak No. 319/WB,219011104,,,,0,354,354,0,3,3
"",Chak No. 319/WB,219011105,,0,492,492,,,,,,
"",Chak No. 319/WB,219011106,,0,171,171,,,,,,
Total,,,,,,,0,1017,1017,0,3,3
293,"Govt Girls  Primary School, Rukan Dinpur(P)",Rukan Din pur,219011101,,,,459,408,867,1,1,2
"",Kotal Hassan Khan,219011111,,101,79,180,,,,,,
Total,,,,,,,560,487,1047,1,1,2
294,"Govt Boys High School, Chak No. 321/WB Part-I (P)",Chak No. 321/WB,219011102,,,,528,442,970,1,1,2
Total,,,,,,,528,442,970,1,1,2
295,"Govt Boys High School, Chak No. 321/WB Part-II (P)",Chak No. 321/WB,219011103,,,,596,514,1110,0,1,2
Total,,,,,,,596,514,1110,0,1,2
296,"Govt Girls  Primary School, Chak No.. 305/WB(P)",Chak No. 305/WB,219010405,,,,249,146,395,1,1,2
"",Chak No. 305/WB,219010406,,253,166,419,,,,,,
Total,,,,,,,502,312,814,1,1,2
297,"Govt Girls  Middle School, Chak No. 313/WB(P)",Chak No. 313/WB,219010404,,,,593,447,1040,1,1,2
Total,,,,,,,593,447,1040,1,1,2
298,"Govt Boys Primary School, Chak No. 307/WB(P)",Chak No. 307/WB,219010403,,,,813,650,1463,2,2,4
Total,,,,,,,813,650,1463,2,2,4
299,"Govt Boys Primary School, Chak No. 315/WB(P)",Chak No. 315/WB,219010401,,,,608,457,1065,2,1,3
"",Chak No. 315/WB,219010402,,262,219,481,,,,,,
Total,,,,,,,870,676,1546,2,1,3
300,"Govt Boys High School, Qutabpur  Part-I (P)",Qutab Pur,219010304,,,,830,684,1514,2,1,3
Total,,,,,,,830,684,1514,2,1,3
Qutab Pur,219010306,,651,0,651,,,,,,,
"",,Qutab Pur,219010310,,,,379,0,379,,,
Total,,,,,,,1282,0,1282,2,0,2
302,"Govt Boys High School, Qutabpur Female Part-III (P)",Qutab Pur,219010306,,,,0,462,462,0,2,2
"",,Qutab Pur,219010307,,0,196,196,,,,,
"",,Qutab Pur,219010310,,,,0,337,337,,,
Total,,,,,,,0,995,995,0,2,2
303,"Govt Girls High School, Qutabpur Male Part-I (P)",Qutab Pur,219010308,,,,260,0,260,2,0,2
"",,Qutab Pur,219010309,,293,0,293,,,,,
Total,,,,,,,553,0,553,2,0,2
304,"Govt Girls High School, Qutabpur Female Part-II (P)",Qutab Pur,219010308,,,,0,237,237,0,1,1
"",,Qutab Pur,219010309,,0,275,275,,,,,
Total,,,,,,,0,512,512,0,1,1
305,Basic Health Unit Qutabpur Part-I (P),Qutab Pur,219010305,,,,1158,0,1158,2,0,2
Total,,,,,,,1158,0,1158,2,0,2
306,Basic Health Unit Qutabpur Part-II (P),Qutab Pur,219010305,,,,0,941,941,0,2,2
Total,,,,,,,0,941,941,0,2,2
307,"Govt Boys Primary School, Chak 337/WB(P)",Chak No. 337/WB,219010303,,,,610,432,1042,2,1,3
"",,Tibbi Lal Shah,219010302,,209,147,356,,,,,
Total,,,,,,,819,579,1398,2,1,3
308,"Govt Boys Primary School, Balail(P)",Balail,219010301,,,,575,468,1043,1,1,2
Total,,,,,,,575,468,1043,1,1,2
309,"Govt Girls  Primary School, Chak No. 349/WB Part-I (P)",Chak No. 349/WB,219010501,,,,744,627,1371,1,1,2
Total,,,,,,,744,627,1371,1,1,2
310,"Govt Girls  Primary School, Chak No. 349/WB Part-II (P)",Chak No. 347/WB,219010502,,,,435,335,770,1,1,2
Total,,,,,,,435,335,770,1,1,2
311,"Govt Boys High School, Mianpur(P)",Mianpur,219010503,,,,535,499,1034,1,1,2
"",,Mianpur,219010504,,132,112,244,,,,,
Total,,,,,,,667,611,1278,1,1,2
312,"Govt Boys Primary School, Chak 348/WB(P)",Chak No. 348/WB,219010602,,,,786,671,1457,2,1,3
Total,,,,,,,786,671,1457,2,1,3
313,"Govt Boys Primary School, Chak 350/WB(P)",Chak No. 350/WB,219010606,,,,387,325,712,2,1,3
"",,Chak No. 338/WB,219010601,,418,250,668,,,,,
Total,,,,,,,805,575,1380,2,1,3
314,"Govt. Bosy High School, Dola Arain(P)",Dola Arain,219010604,,,,502,423,925,1,1,2
Total,,,,,,,502,423,925,1,1,2
315,"Govt Girls Middle School, Dola Arain(P)",Dola Arain,219010605,,,,564,444,1008,2,1,3
"",,Jodha Ram,219010603,,220,144,364,,,,,
Total,,,,,,,784,588,1372,2,1,3
316,"Govt Boys Primary School, Chak 340/WB(P)",Chak No. 340/WB,219010907,,,,525,445,970,1,1,2
Total,,,,,,,525,445,970,1,1,2
317,"Govt Boys Primary School, 341/WB(P)",Chak No. 341/WB,219010906,,,,763,689,1452,1,1,2
Total,,,,,,,763,689,1452,1,1,2
318,"Govt Boys Primary School, Chak 342/WB  (Male) (P)",Chak No. 342/WB,219010901,,,,102,0,102,4,0,4
"",,Chak No. 342/WB,219010902,,942,0,942,,,,,
"",,Chak No. 342/WB,219010903,,50,0,50,,,,,
"",,Chak No. 342/WB,219010904,,443,0,443,,,,,
"",,Chak No. 342/WB,219010905,,208,0,208,,,,,
Total,,,,,,,1745,0,1745,4,0,4
319,"Govt Girls  Primary School, 342/WB (Female) (P)",Chak No. 342/WB,219010902,,,,0,738,738,0,3,3
"",Chak No. 342/WB,219010903,,0,27,27,,,,,,
"",Chak No. 342/WB,219010904,,0,312,312,,,,,,
"",Chak No. 342/WB,219010905,,0,155,155,,,,,,
Total,,,,,,,0,1300,1300,0,3,3
320,"Govt Boys High School, Chak No. 343/WB(P)",Chak No. 343/WB,219011001,,,,786,668,1454,2,2,4
"",Chak No. 343/WB,219011002,,171,134,305,,,,,,
Total,,,,,,,957,802,1759,2,2,4
321,"Govt Boys Elementary School, Chak 344/WB Male(P)",Chak No. 344/WB,219011003,,,,755,0,755,2,0,2
"",Chak No. 344/WB,219011004,,496,0,496,,,,,,
Total,,,,,,,1251,0,1251,2,0,2
322,"Govt Girls  Primary School, Chak 344/WB Female(P)",Chak No. 344/WB,219011003,,,,0,579,579,0,2,2
"",Chak No. 344/WB,219011004,,0,394,394,,,,,,
Total,,,,,,,0,973,973,0,2,2
323,"Govt Boys Primary School, Chak 357/WB(P)",Chak No. 357/WB,219011005,,,,26,10,36,2,1,3
Chak No. 357/WB,219011006,,65,38,103,,,,,,,
Chak No. 357/WB,219011007,,27,18,45,,,,,,,
Chak No. 357/WB,219011008,,710,552,1262,,,,,,,
324,"Govt Girls Middle School, Chak 357/WB(P)",Chak No. 357/WB,219011009,,,,522,389,911,2,2,4
"",,Chak No. 357/WB,219011010,,221,181,402,,,,,
"",,Chak No. 357/WB,219011011,,231,179,410,,,,,
Total,,,,,,,974,749,1723,2,2,4
325,"Govt Girls Middle School, Chak 339/WB(P)",Chak No. 339/WB,219010701,,,,744,606,1350,2,1,3
"",,Chak No. 339/WB,219010702,,,,155,112,267,,,
Total,,,,,,,899,718,1617,2,1,3
326,"Govt Middle School, 351/WB(P)",Chak No. 351/WB,219010709,,,,190,147,337,2,1,3
"",,Chak No. 351/WB,219010710,,642,576,1218,,,,,
Total,,,,,,,832,723,1555,2,1,3
327,"Govt Boys High School, 355/WB Part-I Male(P)",Chak No. 355/WB,219010703,,,,392,0,392,3,0,3
"",,Chak No. 355/WB,219010704,,340,0,340,,,,,
"",,Chak No. 355/WB,219010706,,251,0,251,,,,,
"",,Chak No. 355/WB,219010707,,309,0,309,,,,,
"",,Chak No. 355/WB,219010708,,189,0,189,,,,,
Total,,,,,,,1481,0,1481,3,0,3
328,"Govt Boys High School, 355/WB Part-II Female (P)",Chak No. 355/WB,219010703,,,,0,313,313,0,3,3
"",,Chak No. 355/WB,219010704,,0,331,331,,,,,
"",,Chak No. 355/WB,219010706,,0,215,215,,,,,
"",,Chak No. 355/WB,219010707,,0,222,222,,,,,
"",,Chak No. 355/WB,219010708,,0,146,146,,,,,
Total,,,,,,,0,1227,1227,0,3,3
329,"Govt Boys High School, 355/WB Part-III Comb.(P)",Chak No. 355/WB,219010705,,,,531,360,891,1,1,2
Total,,,,,,,531,360,891,1,1,2
330,"Govt Girls Middle School, 346/WB(P)",Chak No. 346/WB,219011109,,,,676,466,1142,2,1,3
"",,Chak No. 346/WB,219011110,,232,190,422,,,,,
Total,,,,,,,908,656,1564,2,1,3
331,"Govt Boys Primary School, Chak 345/WB(P)",Chak No. 345/WB,219011107,,,,522,385,907,2,1,3
Chak No. 345/WB,219011108,,234,131,365,,,,,,,
332,"Govt Boys Degree College, Dunyapur, Part-I Male(P)",,,"MunicipalCommittee,Dunyapur",219050101,,450,0,450,3,0,3
"",,,,"MunicipalCommittee,Dunyapur",219050106,,446,0,446,,,
"",,,,"MunicipalCommittee,Dunyapur",219050104,,185,0,185,,,
"",,,,"MunicipalCommittee,Dunyapur",219050105,,429,0,429,,,
Total,,,,,,,1510,0,1510,3,0,3
333,"Govt Boys Degree College, Dunyapur, Part-II Male(P)",,,"MunicipalCommittee,Dunyapur",219050108,,367,0,367,3,0,3
"",,,,"MunicipalCommittee,Dunyapur",219050301,,651,0,651,,,
"",,,,"MunicipalCommittee,Dunyapur",219050306,,244,0,244,,,
"",,,,"MunicipalCommittee,Dunyapur",219050309,,249,0,249,,,
Total,,,,,,,1511,0,1511,3,0,3
334,"Govt Boys Degree College, Dunyapur, Part-III Female(P)",,,"MunicipalCommittee,Dunyapur",219050101,,0,268,268,0,3,3
"",,,,"MunicipalCommittee,Dunyapur",219050106,,0,477,477,,,
"",,,,"MunicipalCommittee,Dunyapur",219050105,,0,374,374,,,
"",,,,"MunicipalCommittee,Dunyapur",219050108,,0,279,279,,,
Total,,,,,,,0,1398,1398,0,3,3
335,"Govt Boys Degree College, Dunyapur, Part- IVFemale(P)",,,"MunicipalCommittee,Dunyapur",219050104,,0,145,145,0,3,3
"",,,,"MunicipalCommittee,Dunyapur",219050301,,0,534,534,,,
"",,,,"MunicipalCommittee,Dunyapur",219050306,,0,228,228,,,
"",,,,"MunicipalCommittee,Dunyapur",219050309,,0,242,242,,,
Total,,,,,,,0,1149,1149,0,3,3
336,"Govt Boys Degree College, Dunyapur, Part-V Male(P)",,,"MunicipalCommittee,Dunyapur",219050307,,1445,0,1445,3,0,3
Total,,,,,,,1445,0,1445,3,0,3
337,"Govt Boys Degree College, Dunyapur, Part-VI Female(P)",,,"MunicipalCommittee,Dunyapur",219050307,,0,1181,1181,0,3,3
338,"Govt Girls Inter College Dunyapur, Male(P)",,,"MunicipalCommittee,Dunyapur",219050102,,356,0,356,2,0,2
"",,,,"MunicipalCommittee,Dunyapur",219050107,,595,0,595,,,
"",,,,"MunicipalCommittee,Dunyapur",219050103,,328,0,328,,,
Total,,,,,,,1279,0,1279,2,0,2
339,"Govt Girls Inter College Dunyapur, Female(P)",,,"MunicipalCommittee,Dunyapur",219050102,,0,288,288,0,2,2
"",,,,"MunicipalCommittee,Dunyapur",219050107,,0,502,502,,,
"",,,,"MunicipalCommittee,Dunyapur",219050103,,0,247,247,,,
Total,,,,,,,0,1037,1037,0,2,2
340,"Govt Boys Elementary School , Dunyapur, Female(P)Part I",,,"MunicipalCommittee,Dunyapur",219050201,,494,0,494,4,0,4
"",,,,"MunicipalCommittee,Dunyapur",219050202,,355,0,355,,,
"",,,,"MunicipalCommittee,Dunyapur",219050205,,333,0,333,,,
"",,,,"MunicipalCommittee,Dunyapur",219050402,,510,0,510,,,
Total,,,,,,,1692,0,1692,4,0,4
341,"Govt Boys Elementary School , Dunyapur, Female(P)Part II",,,"MunicipalCommittee,Dunyapur",219050201,,0,455,455,0,3,3
"",,,,"MunicipalCommittee,Dunyapur",219050202,,0,348,348,,,
"",,,,"MunicipalCommittee,Dunyapur",219050205,,0,289,289,,,
"",,,,"MunicipalCommittee,Dunyapur",219050402,,0,475,475,,,
Total,,,,,,,0,1567,1567,0,3,3
342,"Govt Girls  Primary School, Near old Hospital Dunyapur,(P)",,,"MunicipalCommittee,Dunyapur",219050203,,312,293,605,1,1,2
Total,,,,,,,312,293,605,1,1,2
343,"S.D.O. Office, Highway Dunyapur,Combined(P)",,,"MunicipalCommittee,Dunyapur",219050302,,385,315,700,1,1,2
"MunicipalCommittee,Dunyapur",219050303,,0,0,0,,,,,,,
"MunicipalCommittee,Dunyapur",219050405,,277,170,447,,,,,,,
344,"Govt Boys High School, Dunyapur Male Part-I(P)",,,"MunicipalCommittee,Dunyapur",219050304,,334,0,334,4,0,4
"",,,,"MunicipalCommittee,Dunyapur",219050308,,349,0,349,,,
"",,,,"MunicipalCommittee,Dunyapur",219050305,,294,0,294,,,
"",,,,"MunicipalCommittee,Dunyapur",219050401,,734,0,734,,,
Total,,,,,,,1711,0,1711,4,0,4
345,"Govt Boys High School, Dunyapur Female Part-II (P)",,,"MunicipalCommittee,Dunyapur",219050304,,0,265,265,0,4,4
"",,,,"MunicipalCommittee,Dunyapur",219050308,,0,275,275,,,
"",,,,"MunicipalCommittee,Dunyapur",219050305,,0,241,241,,,
"",,,,"MunicipalCommittee,Dunyapur",219050401,,0,593,593,,,
Total,,,,,,,0,1374,1374,0,4,4
346,"Govt Girls High School, Dunyapur Comb. Part-I(P)",,,"MunicipalCommittee,Dunyapur",219050204,,246,165,411,2,2,4
"",,,,"MunicipalCommittee,Dunyapur",219050206,,644,474,1118,,,
Total,,,,,,,890,639,1529,2,2,4
347,"Govt Girls High School, Dunyapur Female Part-II(P)",,,"MunicipalCommittee,Dunyapur",219050403,,0,582,582,0,2,2
"",,,,"MunicipalCommittee,Dunyapur",219050404,,0,421,421,,,
Total,,,,,,,0,1003,1003,0,2,2
348,"Govt Girls High School, Dunyapur Male Part-III(P)",,,"MunicipalCommittee,Dunyapur",219050403,,694,0,694,3,0,3
"",,,,"MunicipalCommittee,Dunyapur",219050404,,566,0,566,,,
Total,,,,,,,1260,0,1260,3,0,3
349,Govt.Girls Primary School Chak No. 29/M (Comb) (P),Chak No.29/M,219041301,,,NIL,408,334,742,1,1,2
Total,,,,,,,408,334,742,1,1,2
350,"Govt.Girls Community Model School Chak No. 31/M(Comb) (P)",Chak No.31/M,219041302,,,NIL,459,348,807,2,1,3
"",,Chak No.31/M,219041303,NIL,309,261,570,,,,,
Total,,,,,,,768,609,1377,2,1,3
351,"Govt Boys Primary School,Chak No. 32/M (Comb) (P)",Chak No.32/M,219040105,,,NIL,217,153,370,2,1,3
"",,Chak No.33/M,219040104,NIL,461,347,808,,,,,
Total,,,,,,,678,500,1178,2,1,3
352,"Govt Girls Primary School, Chak No.34/M (Comb) (P)",Chak No.34/M,219040103,,,NIL,487,388,875,1,1,2
Total,,,,,,,487,388,875,1,1,2
353,"Govt.Boys Middle School, Chak No. 37/M (Comb) (P)",Chak No.36/M,219040102,,,NIL,404,309,713,2,2,4
"",,Chak No.37/M,219040101,NIL,565,427,992,,,,,
Total,,,,,,,969,736,1705,2,2,4
Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin case",,,,,,,,
"",,"Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt.Boys Middle  School Railway Station Lodhran(Male )  (P)",,,M.C.Lodhran,217060501,,393,0,393,2,0,2
1,,,,M.C.Lodhran,217060502,,220,0,220,,,
1,,,,M.C.Lodhran,217060503,,527,0,527,,,
Total,,,,,,,1140,0,1140,2,0,2
2,"Govt.Boys Middle  School Railway Station Lodhran(Female )   (P)",,,M.C.Lodhran,217060501,,0,286,286,0,2,2
2,,,,M.C.Lodhran,217060502,,0,163,163,,,
2,,,,M.C.Lodhran,217060503,,0,452,452,,,
Total,,,,,,,0,901,901,0,2,2
3,Xen Railway Station Lodhran (Male) (P),,,M.C.Lodhran,217060401,,543,0,543,2,0,2
3,,,,M.C.Lodhran,217060403,,273,0,273,,,
3,,,,M.C.Lodhran,217060404,,413,0,413,,,
3,,,,M.C.Lodhran,217060405,,167,0,167,,,
Total,,,,,,,1396,0,1396,2,0,2
4,Xen Railway Station Lodhran  (Female) (P),,,M.C.Lodhran,217060401,,0,417,417,0,2,2
4,,,,M.C.Lodhran,217060403,,0,241,241,,,
4,,,,M.C.Lodhran,217060404,,0,350,350,,,
4,,,,M.C.Lodhran,217060405,,0,146,146,,,
Total,,,,,,,0,1154,1154,0,2,2
5,"Police Line Old DC Office Near Railway Station Part-I( Male ) (P)",,,M.C.Lodhran,217060402,,717,0,717,2,0,2
5,,,,M.C.Lodhran,217060303,,486,0,486,,,
Total,,,,,,,1203,0,1203,2,0,2
6,"Govt. Girls Primary School,Murad wala  (Female) (P)",,,M.C.Lodhran,217060402,,0,547,547,0,2,2
6,,,,M.C.Lodhran,217060303,,0,413,413,,,
Total,,,,,,,0,960,960,0,2,2
7,"Govt. Commerce College, Lodhran Part-I (Comb)  (P)",,,M.C.Lodhran,217060304,,404,325,729,2,1,3
7,,,,M.C.Lodhran,217060306,,280,222,502,,,
Total,,,,,,,684,547,1231,2,1,3
8,"Govt. Commerce College, Lodhran Part-II (Male) (P)",,,M.C.Lodhran,217060305,,745,0,745,3,0,3
8,,,,M.C.Lodhran,217070404,,718,0,718,,,
Total,,,,,,,1463,0,1463,3,0,3
9,"Govt. Commerce College, Lodhran Part-III (Female)(P)",,,M.C.Lodhran,217060305,,0,607,607,0,3,3
Total,,,,,,,0,1186,1186,0,3,3
10,"Govt. Boys Middle School, Faiz abad ,  ( Male ) (P)",,,M.C.Lodhran,217060205,,189,0,189,2,0,2
10,,,,M.C.Lodhran,217060301,,434,0,434,,,
10,,,,M.C.Lodhran,217060302,,463,0,463,,,
Total,,,,,,,1086,0,1086,2,0,2
11,"Govt. Boys Middle School, Faiz abad ,Part-II(Female)(P)",,,M.C.Lodhran,217060205,,0,147,147,0,2,2
11,,,,M.C.Lodhran,217060301,,0,383,383,,,
11,,,,M.C.Lodhran,217060302,,0,359,359,,,
Total,,,,,,,0,889,889,0,2,2
12,"Govt. Vocational Training Institute for women, M.C.Lodhran (Female ) (P)",,,M.C.Lodhran,217060105,,0,132,132,0,3,3
12,,,,M.C.Lodhran,217060107,,0,484,484,,,
12,,,,M.C.Lodhran,217060201,,0,484,484,,,
12,,,,M.C.Lodhran,217060206,,0,386,386,,,
Total,,,,,,,0,1486,1486,0,3,3
13,"TMO Office,Town Hall Lodhran ( Male ) (P)",,,M.C.Lodhran,217060105,,167,0,167,4,0,4
13,,,,M.C.Lodhran,217060107,,593,0,593,,,
13,,,,M.C.Lodhran,217060201,,537,0,537,,,
13,,,,M.C.Lodhran,217060206,,476,0,476,,,
Total,,,,,,,1773,0,1773,4,0,4
