Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
302,"Govt Model Primary School,361/WB  (West) (Comb) (P)",Chak No.361/WB (West),219030404,,,,510,413,923,1,1,2
Total,,,,,,,510,413,923,1,1,2
303,"Govt.Boys Middle School, Chak No. 358/W.B Part I(Comb) (P)",Chak No.358/WB,219030401,,,,832,749,1581,2,2,4
Total,,,,,,,832,749,1581,2,2,4
304,"Govt Boys Middle  School ,Chak No.358/WB Part II(Comb) (P)",Chak No.358/WB,219030402,,,,457,453,910,1,1,2
Total,,,,,,,457,453,910,1,1,2
305,"Govt. Islamia High School,Chak No. 359/WB Part I (Male ) (P)",Chak No.359/WB,219030405,,,,1073,0,1073,2,0,2
305,,Chak No.359/WB,219030406,,,,0,0,,,,
305,,Kamalpur,219030407,,,,22,0,22,,,
Total,,,,,,,1095,0,1095,2,0,2
306,"Govt. Islamia High School, Chak No.359/WB Part-II(Female) (P)",Chak No.359/WB,219030405,,,,0,839,839,0,2,2
306,,Chak No.359/WB,219030406,,,,0,18,18,,,
306,,Kamalpur,219030407,,,,0,18,18,,,
Total,,,,,,,0,875,875,0,2,2
307,"Govt.Boys Higher Secondary School, Makhdoom Aali(Male)(P)",Makhdoom Aali,219031001,,,,145,0,145,2,0,2
307,,Makhdoom Aali,219031002,,,,821,0,821,,,
307,,Makhdoom Aali,219031003,,,,,,,,,
Total,,,,,,,966,0,966,2,0,2
308,"Govt. Girls High School, Makhdoom Aali  (Female)(P)",Makhdoom Aali,219031001,,,,0,116,116,0,2,2
308,,Makhdoom Aali,219031002,,,,0,758,758,,,
308,,Makhdoom Aali,219031003,,,,,,,,,
Total,,,,,,,0,874,874,0,2,2
309,"Govt Boys Primary School,Chak No.366/WB (Comb)(P)",Chak No.366/WB,219031004,,,,711,626,1337,2,2,4
309,,Chak No.366/WB,219031005,,,,,,,,,
Total,,,,,,,711,626,1337,2,2,4
310,"Govt.Boys Higher Secondary School, Makhdoom Aali(Comb) (P)",Chak No.366/WB,219031006,,,,800,734,1534,2,2,4
310,,Chak No.366/WB,219031007,,,,,,,,,
Total,,,,,,,800,734,1534,2,2,4
311,"Govt Boys Middle  School,Chak No. 388/WB (Male )(P)",Chak No.388/WB,219031008,,,,548,0,548,3,0,3
311,,Chak No.388/WB,219031009,,,,643,0,643,,,
Total,,,,,,,1191,0,1191,3,0,3
312,"Govt Girls Community Model School, Chak No.388/WB(Female)(P)",Chak No.388/WB,219031008,,,,0,494,494,0,2,2
312,,Chak No.388/WB,219031009,,,,0,561,561,,,
Total,,,,,,,0,1055,1055,0,2,2
313,"Govt. Girls High School, Chak No. 363/WB (Comb) (P)",Chahan Gardhari Lal,219031010,,,,185,168,353,2,2,4
313,,Chak No.363/WB,219031011,,,,813,733,1546,,,
314,"Govt Model Primary School,Chak No. 390/WB (Comb)(P)",Chak No.390/WB,219031013,,,,543,414,957,2,1,3
Total,,,,,,,543,414,957,2,1,3
315,"Govt Model Primary School,Chak No. 367/WB (Comb)(P)",Chak No.367/WB,219031012,,,,652,610,1262,2,2,4
Total,,,,,,,652,610,1262,2,2,4
316,"Govt. Higher Secondary School, Jalla Arain Part-I(Comb) (P)",Jalla Arain,219031101,,,,596,430,1026,2,2,4
316,,Jalla Arain,219031102,,,,,,,,,
316,,Jalla Arain,219031106,,,,232,222,454,,,
Total,,,,,,,828,652,1480,2,2,4
317,"Govt. Higher Secondary School, Jalla Arain Part-II(Comb) (P)",Jalla Arain,219031103,,,,434,335,769,2,2,4
317,,Jalla Arain,219031104,,,,488,426,914,,,
Total,,,,,,,922,761,1683,2,2,4
318,"Basic Health Unit, Jalla Arain (Comb) (P)",Jalla Arain,219031107,,,,919,757,1676,2,2,4
318,,Jalla Arain,219031108,,,,,,,,,
Total,,,,,,,919,757,1676,2,2,4
319,"Govt.Girls Higher Secondary School,Jalla Arain Part-I(Comb) (P)",Jalla Arain,219031109,,,,804,694,1498,2,2,4
Total,,,,,,,804,694,1498,2,2,4
320,"Govt.Girls Higher Secondary School,Jalla Arain Part-II(Comb) (P)",Jalla Arain,219031105,,,,431,395,826,2,2,4
320,,Jalla Arain,219031110,,,,474,457,931,,,
320,,,219031111,,,,,,,,,
Total,,,,,,,905,852,1757,2,2,4
321,"Govt.Boys High School, Chak No. 384/WB (Comb) (P)",Chak No.384/WB,219030702,,,,561,476,1037,2,2,4
321,,Chak No.384/WB,219030703,,,,315,285,600,,,
Total,,,,,,,876,761,1637,2,2,4
322,"Govt Girls Middle School,Chak No. 383/WB (Comb) (P)",Chak No.385/WB,219030704,,,,277,214,491,2,2,4
322,,Chak Sardar Khan,219030705,,,,248,203,451,,,
322,,Chak No.383/WB,219030701,,,,290,255,545,,,
Total,,,,,,,815,672,1487,2,2,4
323,"Basic Health Unit, Chak No.1-4/MPR (Comb) (P)",Chak No.1-4/MPR,219040501,,,,832,656,1488,2,2,4
323,,Chak No.1-4/MPR,219040502,,,,,,,,,
Total,,,,,,,832,656,1488,2,2,4
324,"Govt. Boys Primary School, 1-4/MPR (Comb) (P)",Chak No.1-4/MPR,219040503,,,,263,207,470,1,1,2
324,,Chak No.5/MPR,219040504,,,,8,4,12,,,
324,,Chak No.6/MPR,219040505,بے چراغ,,,0,0,0,,,
324,,Chak No.7/MPR,219040506,بے چراغ,,,0,0,0,,,
324,,Chak No.8/MPR,219040507,بے چراغ,,,0,0,0,,,
Total,,,,,,,271,211,482,1,1,2
325,"Govt Center Primary School, Kotli Wajwah Part-I(Comb) (P)",Kotli Wahjwah,219040401,,,,704,521,1225,2,1,3
Total,,,,,,,704,521,1225,2,1,3
326,"Govt Center Primary School, Kotli Wajwah Part-II(Comb) (P)",Kotli Wahjwah,219040402,,,,617,463,1080,2,1,3
Total,,,,,,,617,463,1080,2,1,3
327,"Govt. Model Elementary School, Chak No.9/MPR(Comb) (P)",Chak No.9/MPR,219040404,,,,305,250,555,2,1,3
327,,Ismail Jhndir,219040403,,,,181,138,319,,,
327,,Chak No.10/MPR,219040405,,,,248,216,464,,,
Total,,,,,,,749,618,1367,2,1,3
328,"Govt Girls Primary School, Chak No.39/M (Comb) (P)",Chak No.39/M,219040201,,,,424,346,770,2,1,3
328,,Chak No.40/M,219040202,,,,268,188,456,,,
Total,,,,,,,692,534,1226,2,1,3
329,"Govt Boys Primary School, Chak No.41/M (Comb) (P)",Chak No.41/M,219040203,,,,355,266,621,1,1,2
329,,Chak No.41/M,219040204,,,,93,75,168,,,
Total,,,,,,,448,341,789,1,1,2
330,"Govt.Boys Middle School, Chak No. 44/M (Comb) (P)",Chak No.44/M,219040209,,,,731,561,1292,2,1,3
Total,,,,,,,731,561,1292,2,1,3
331,"Govt Girls Primary School No-2, Chak No.45/M(Comb) (P)",Chak No.45/M,219040210,,,,291,255,546,2,2,4
331,,Chak No.45/M,219040211,,,,472,390,862,,,
Total,,,,,,,763,645,1408,2,2,4
332,"Govt Boys Primary School, Chak No.46/M (Comb) (P)",Chak No.46/M,219040212,,,,775,604,1379,2,1,3
Total,,,,,,,775,604,1379,2,1,3
333,"Govt.Boys Middle School, Chak No. 42/M (Comb) (P)",Chak No.42/M,219040205,,,,269,188,457,2,1,3
333,,Chak No.42/M,219040206,,,,334,288,622,,,
Total,,,,,,,603,476,1079,2,1,3
334,"Govt Boys Primary School,Chak No. 43/M (Comb) (T)",Chak No.43/M,219040207,,,,226,160,386,2,2,4
334,,Chak No.43/M,219040208,,,,605,490,1095,,,
Total,,,,,,,831,650,1481,2,2,4
