"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
46 Total,,,,-,-,-,836,684,1520,2,2,4
217,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL, CHANDANA(MALE) (T)",CHANDNA,137010201,-,-,,737,0,737,3,0,3
"",,CHANDNA,137010202,-,-,,113,0,113,,,
"",,HIRRAI (GHAZI ABAD),137011403,-,-,,377,0,377,,,
47 Total,,,,-,-,-,1227,0,1227,3,0,3
218,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL, CHANDANA(FEMALE) (T)",CHANDNA,137010201,-,-,,0,636,636,0,2,2
"",,CHANDNA,137010202,-,-,,0,111,111,,,
"",,HIRRAI (GHAZI ABAD),137011403,-,-,,0,312,312,,,
48 Total,,,,-,-,-,0,1059,1059,0,2,2
LAKHI WAL,137011501,-,-,,496,0,496,,,,,
LAKHI WAL,137011502,-,-,,557,0,557,,,,,
LAKHI WAL,137011503,-,-,,362,0,362,,,,,
49 Total,,,,-,-,-,1440,0,1440,3,0,3
220,"GOVERNMENTGIRLS HIGH SCHOOLLAKHIWAL(FEMALE) (P)",LAKHI WAL,137011501,-,-,,0,409,409,0,3,3
"",,LAKHI WAL,137011502,-,-,,0,523,523,,,
"",,LAKHI WAL,137011503,-,-,,0,296,296,,,
"",,JAWAHAR PUR,137011504,-,-,,0,17,17,,,
50 Total,,,,-,-,-,0,1245,1245,0,3,3
221,"GOVERNMENT BOYS HIGH SCHOOLRETTRI  (MALE) (P)",RETRI,137011601,-,-,,463,0,463,2,0,2
"",,RETRI,137011602,-,-,,687,0,687,,,
51 Total,,,,-,-,-,1150,0,1150,2,0,2
222,"GOVERNMENTBOYS  HIGH SCHOOLRETTRI  (FEMALE) (P)",RETRI,137011601,-,-,,0,349,349,0,2,2
"",,RETRI,137011602,-,-,,0,589,589,,,
52 Total,,,,-,-,-,0,938,938,0,2,2
223,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL DOANA BALOCHAN(COMB) (T)",KHOR,137011306,-,-,,119,84,203,2,2,4
"",,DOANA BALO CHAN,137011505,-,-,,437,370,807,,,
"",,DINPUR JANUBI,137011603,-,-,,278,229,507,,,
"",,THATTI SHAHNI,137011604,-,-,,164,122,286,,,
"",,KANGRA KADHI,137011605,-,-,,89,63,152,,,
53 Total,,,,-,-,-,1087,868,1955,2,2,4
224,"GOVERNMENT GIRLS PRIMARYSCHOOL, DHEROSIAL  (COMB)  (T)",RAKH SAHIWAL,137011701,-,-,,101,95,196,2,1,3
"",,DHIRO SIAL,137011702,-,-,,66,50,116,,,
"",,DHIRO SIAL,137011703,-,-,,501,408,909,,,
54 Total,,,,-,-,-,668,553,1221,2,1,3
225,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL CHAK DHOOL  (COMB) (T)",DHOOL BALA,137011801,-,-,,423,352,775,2,2,4
"",,CHAK DHOOL,137011802,-,-,,411,308,719,,,
"",,KANWANWALI,137011804,-,-,,109,93,202,,,
55 Total,,,,-,-,-,943,753,1696,2,2,4
226,"GOVERNMENT BOYS MIDDLE SCHOOL,CHOHAL  (COMB) (P)",CHOHAL,137011901,-,-,,741,631,1372,2,2,4
"",,CHOHAL,137011902,-,-,,216,159,375,,,
56 Total,,,,-,-,-,957,790,1747,2,2,4
227,"(210) GOVERNMENT BOYS MIDDLESCHOOL, CHOHAL  (COMB) (P)",CHOHAL,137011903,-,-,,172,134,306,1,1,2
57 Total,,,,-,-,-,172,134,306,1,1,2
228,"GOVERNMENTGIRLS PRIMARYSCHOOL, MUBHARE KHAN  (COMB)",MUBHARE KHAN,137012001,-,-,,354,276,630,2,2,4
"",,MUBHARE KHAN,137012003,-,-,,627,475,1102,,,
58 Total,,,,-,-,-,981,751,1732,2,2,4
229,"GOVERNMENT BOYS HIGH SCHOOL,MUBHARE KHAN  (MALE) (T)",KOTLA MIRBAZ KHAN,137011904,-,-,,389,0,389,3,0,3
"",,MUBHARE KHAN,137012002,-,-,,256,0,256,,,
"",,MUBHARE KHAN,137012004,-,-,,289,0,289,,,
"",,MUBHARE KHAN,137012005,-,-,,309,0,309,,,
59 Total,,,,-,-,-,1243,0,1243,3,0,3
KOTLA MIRBAZ KHAN,137011904,-,-,,0,249,249,,,,,
MUBHARE KHAN,137012002,-,-,,0,173,173,,,,,
"",,MUBHARE KHAN,137012005,-,-,,0,228,228,,,
60 Total,,,,-,-,-,0,877,877,0,2,2
231,"GOVERNMENT BOYS PRIMARYSCHOOL, KAKRANI (MALE) (T)",JAROLA,137020101,-,-,,491,0,491,3,0,3
"",,KARANI,137020102,-,-,,365,0,365,,,
"",,KARANI,137020103,-,-,,509,0,509,,,
61 Total,,,,-,-,-,1365,0,1365,3,0,3
232,"GOVERNMENT GIRLS PRIMARYSCHOOL, KAKRANI (FEMALE) (T)",JAROLA,137020101,-,-,,0,427,427,0,3,3
"",,KARANI,137020102,-,-,,0,319,319,,,
"",,KARANI,137020103,-,-,,0,458,458,,,
62 Total,,,,-,-,-,0,1204,1204,0,3,3
233,"GOVERNMENT GIRLS MIDDLESCHOOL, KOT MOOSA KHAN (MALE)(P)","KOT MUSA KHAN(MACHER KHADI)",137020201,-,-,,957,0,957,3,0,3
"",,"KOT MUSA KHAN(MACHER KHADI)",137020202,-,-,,247,0,247,,,
63 Total,,,,-,-,-,1204,0,1204,3,0,3
234,"GOVERNMENT GIRLS MIDDLESCHOOL, KOT MOOSA KHAN (FEMALE)(P)","KOT MUSA KHAN(MACHER KHADI)",137020201,-,-,,0,769,769,0,2,2
"",,"KOT MUSA KHAN(MACHER KHADI)",137020202,-,-,,0,168,168,,,
64 Total,,,,-,-,-,0,937,937,0,2,2
235,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL, DILAWAR  (COMB)(T)",DILAWAR,137020203,-,-,,586,490,1076,1,1,2
65 Total,,,,-,-,-,586,490,1076,1,1,2
236,"GOVERNMENT GIRLS PRIMARYSCHOOL, ASLAT WALA  (COMB) (T)",ISALAT WALA,137020301,-,-,,339,276,615,1,1,2
"",,AZMATWALA,137020302,-,-,,269,244,513,,,
66 Total,,,,-,-,-,608,520,1128,1,1,2
237,"GOVERNMENT GIRLS COMMUNITYMODAL, SCHOOL SULKI (MALE) (P)",SULKI,137020303,-,-,,449,0,449,3,0,3
"",,SULKI,137020304,-,-,,795,0,795,,,
"",,SULKI,137020305,-,-,,285,0,285,,,
67 Total,,,,-,-,-,1529,0,1529,3,0,3
238,"GOVERNMENT GIRLS COMMUNITYMODAL, SCHOOL SULKI (FEMALE) (P)",SULKI,137020303,-,-,,0,325,325,0,3,3
"",,SULKI,137020304,-,-,,0,637,637,,,
"",,SULKI,137020305,-,-,,0,268,268,,,
68 Total,,,,-,-,-,0,1230,1230,0,3,3
239,"GOVERNMENT GIRLS PRIMARYSCHOOL, VEJHOKAA  (COMB) (T)",FAROOKA,137020401,-,-,,422,370,792,2,2,4
"",,MANGLA,137020402,-,-,,37,31,68,,,
"",,WIJHOKA,137020403,-,-,,508,359,867,,,
69 Total,,,,-,-,-,967,760,1727,2,2,4
240,"GOVERNMENT GIRLS  MODELPRIMARY SCHOOL, WADHUWALA(COMB) (T)",WADHU WALA,137020501,-,-,,438,340,778,2,2,4
"",,WADHU WALA,137020502,-,-,,333,243,576,,,
"",,LAGARI WALA,137020503,-,-,,252,130,382,,,
70 Total,,,,-,-,-,1023,713,1736,2,2,4
241,"SCHOOL, SAJOKA (MALE) (T)",SAJOKA,137020602,-,-,,355,0,355,3,0,3
"",,SAJOKA,137020603,-,-,,503,0,503,,,
71 Total,,,,-,-,-,1331,0,1331,3,0,3
242,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL, SAJOKA (FEMALE)(T)",SAJOKA,137020601,-,-,,0,404,404,0,2,2
"",,SAJOKA,137020602,-,-,,0,240,240,,,
"",,SAJOKA,137020603,-,-,,0,360,360,,,
72 Total,,,,-,-,-,0,1004,1004,0,2,2
243,"GOVERNMENT BOYS HIGH SCHOOLMIR AHMED SHER GARH  (COMB) (P)",MIR AHMAD SHER,137020604,-,-,,490,398,888,2,2,4
"",,MIR AHMAD SHER,137020605,-,-,,398,299,697,,,
"",,SADDIQ WALA,137020606,-,-,,107,87,194,,,
73 Total,,,,-,-,-,995,784,1779,2,2,4
244,"GOVERNMENT BOYS HIGH SCHOOL,KOT GUL  (COMB) (P)",KALYAR,137020701,-,-,,628,448,1076,2,2,4
"",,KALYAR,137020703,-,-,,79,58,137,,,
"",,KALYAR,137020704,-,-,,216,169,385,,,
74 Total,,,,-,-,-,923,675,1598,2,2,4
245,"GOVERNMENT BOYS HIGH SCHOOL,KOT GUL  (COMB) (P)",KALYAR,137020702,-,-,,329,0,329,2,0,2
"",,KALYAR,137020705,-,-,,475,0,475,,,
"",,KALYAR,137020706,-,-,,188,0,188,,,
"",,KALYAR,137020708,-,-,,129,0,129,,,
75 Total,,,,-,-,-,1121,0,1121,2,0,2
246,"(228) GOVERNMENT BOYS HIGHSCHOOL, KOT GUL  (COMB) (P)",KALYAR,137020702,-,-,,0,226,226,0,2,2
"",,KALYAR,137020705,-,-,,0,403,403,,,
"",,KALYAR,137020706,-,-,,0,156,156,,,
"",,KALYAR,137020708,-,-,,0,79,79,,,
76 Total,,,,-,-,-,0,864,864,0,2,2
247,"GOVERNMENT BOYS PRIMARYSCHOOL, ARRAR  (COMB) (T)",BALKA,137020404,-,-,,227,181,408,2,1,3
"",,ARAR,137020707,-,-,,463,341,804,,,
77 Total,,,,-,-,-,690,522,1212,2,1,3
248,"GOVERNMENT BOYS PRIMARYSCHOOL, SIAL DHOLKA  (COMB) (T)",SIAL DHOLKA,137020801,-,-,,407,334,741,2,2,4
"",,SIAL DHOLKA,137020802,-,-,,503,426,929,,,
78 Total,,,,-,-,-,910,760,1670,2,2,4
249,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL, CHITROOR  (COMB) (T)",CHATROR,137020901,-,-,,696,542,1238,2,1,3
79 Total,,,,-,-,-,696,542,1238,2,1,3
250,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL JARA  (COMB) (T)",JARA,137021001,-,-,,504,338,842,2,1,3
"",,JARA,137021002,-,-,,200,117,317,,,
"",,JARA,137021006,-,-,,214,180,394,,,
80 Total,,,,-,-,-,918,635,1553,2,1,3
251,"GOVERNMENT BOYS PRIMARYSCHOOL THATHA HAKEEMA  (COMB)(T)",SADIQ,137021003,-,-,,106,71,177,2,2,4
THATTA HAKIMAN,137021004,-,-,,336,263,599,,,,,
MOHD WALA,137021005,-,-,,175,131,306,,,,,
CHACHOKA,137021205,-,-,,317,249,566,,,,,
252,"GOVERNMENT BOYS HIGH  SCHOOLMUHAMMAD WALA (MALE) (P)",DERA,137021104,-,-,,528,0,528,3,0,3
"",,DERA,137021107,-,-,,715,0,715,,,
82 Total,,,,-,-,-,1243,0,1243,3,0,3
253,"(234) GOVERNMENT BOYS HIGHSCHOOL MUHAMMAD WALA (MALE)",DERA,137021105,-,-,,454,0,454,2,0,2
"",,DERA,137021106,-,-,,339,0,339,,,
83 Total,,,,-,-,-,793,0,793,2,0,2
254,"GOVERNMENT GIRLS HIGH  SCHOOL,MUHAMMAD WALA  (P) (FEMALE)",DERA,137021104,-,-,,0,463,463,0,4,4
"",,DERA,137021105,-,-,,0,432,432,,,
"",,DERA,137021106,-,-,,0,219,219,,,
"",,DERA,137021107,-,-,,0,551,551,,,
84 Total,,,,-,-,-,0,1665,1665,0,4,4
255,"GOVERNMENT BOYS PRIMARYSCHOOL DERA KADIM  (COMB) (T)",DERA,137021101,-,-,,59,30,89,1,1,2
"",,DERA,137021102,-,-,,211,173,384,,,
"",,DERA,137021103,-,-,,223,150,373,,,
85 Total,,,,-,-,-,493,353,846,1,1,2
256,"GOVERNMENT BOYS MODEL PRIMARYSchool    DERA JADEED  (COMB) (T)",DERA,137021108,-,-,,98,85,183,1,1,2
"",,DERA,137021109,-,-,,160,115,275,,,
"",,DERA,137021110,-,-,,18,14,32,,,
"",,BHAWAN SHAH,137021203,-,-,,139,93,232,,,
86 Total,,,,-,-,-,415,307,722,1,1,2
257,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL NOOR PUR KHUKHRAN(COMB) (T)","NOORPURKHOKHRAN(GIDARKHADHI)",137021201,-,-,,301,200,501,2,2,4
"",,"NOORPURKHOKHRAN(GIDARKHADHI)",137021202,-,-,,146,95,241,,,
"",,KHANJAR KHANWALA,137021204,-,-,,158,131,289,,,
"",,"NOORPURKHOKHRAN(GIDARKHADHI)",137021206,-,-,,275,234,509,,,
87 Total,,,,-,-,-,880,660,1540,2,2,4
258,"GOVERNMENT BOYS MODEL PRIMARYSchool     CHAK BANDI  (COMB) (T)",KOTLA WATNI,137021301,-,-,,303,203,506,2,1,3
"",,CHAK BANDI,137021302,-,-,,66,65,131,,,
"",,HAVELI WEERAN,137021305,-,-,,35,25,60,,,
"",,CHAK BANDI,137021306,-,-,,177,79,256,,,
"",,CHAK BANDI,137021307,-,-,,232,207,439,,,
88 Total,,,,-,-,-,813,579,1392,2,1,3
259,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL KAMALA  (COMB)",KAMALA,137021401,-,-,,321,275,596,2,1,3
"",,KAMALA,137021402,-,-,,450,359,809,,,
89 Total,,,,-,-,-,771,634,1405,2,1,3
260,"(240) GOVERNMENT BOYS PRIMARYSCHOOL KAMALA  (COMB) (T)",KANGRA,137021303,-,-,,259,172,431,1,1,2
"",,WIGHRA,137021304,-,-,,137,77,214,,,
90 Total,,,,-,-,-,396,249,645,1,1,2
"",SCHOOL PINDI WALA  (COMB) (T),JAISAK,137021603,-,-,,370,268,638,,,
91 Total,,,,-,-,-,741,569,1310,2,1,3
262,"GOVERNMENT GIRLS PRIMARYSCHOOL SHEIKH  (COMB) (T)",SHEIKH,137021502,-,-,,453,334,787,2,1,3
"",,DARA,137021503,-,-,,298,225,523,,,
92 Total,,,,-,-,-,751,559,1310,2,1,3
263,"GOVERNMENT GIRLS ELEMENTRYSCHOOL, SAHIBA BALOCHAN   (COMB)(P)",SAHIBA,137021601,-,-,,421,335,756,2,2,4
"",,SAHIBA,137021602,-,-,,359,315,674,,,
"",,SAHIBA,137021604,-,-,,309,227,536,,,
93 Total,,,,-,-,-,1089,877,1966,2,2,4
264,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL HINDWAN (MALE)  (COMB)(T)",HINDWAN,137030101,-,-,,166,0,166,3,0,3
"",,HINDWAN,137030102,-,-,,552,0,552,,,
"",,HINDWAN,137030103,-,-,,502,0,502,,,
94 Total,,,,-,-,-,1220,0,1220,3,0,3
265,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL HINDWAN (FEMALE)  (COMB)(T)",HINDWAN,137030101,-,-,,0,114,114,0,2,2
"",,HINDWAN,137030102,-,-,,0,491,491,,,
"",,HINDWAN,137030103,-,-,,0,458,458,,,
95 Total,,,,-,-,-,0,1063,1063,0,2,2
266,"GOVERNMENT GIRLS ELEMENTRYSCHOOL POOHLA  (COMB)  (P)",PUHLA,137030201,-,-,,339,294,633,2,2,4
"",,PUHLA,137030202,-,-,,364,346,710,,,
"",,PUHLA,137030207,-,-,,294,200,494,,,
96 Total,,,,-,-,-,997,840,1837,2,2,4
267,"GOVERNMENT BOYS PRIMARYSCHOOL KELA JAGIR  (COMB) (T)",KAILA JAGIR,137030104,-,-,,396,334,730,2,2,4
"",,THATTI YARO,137030203,-,-,,305,239,544,,,
"",,THATTI YARO,137030204,-,-,,264,224,488,,,
97 Total,,,,-,-,-,965,797,1762,2,2,4
268,"GOVERNMENT BOYS PRIMARYSCHOOL BOORA  (COMB) (T)",BOORA,137030205,-,-,,401,329,730,2,2,4
"",,LADHYAL,137030206,-,-,,185,140,325,,,
"",,BADAR BHON,137030401,-,-,,361,280,641,,,
98 Total,,,,-,-,-,947,749,1696,2,2,4
269,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL, BAGGEYBALOCHAN (MALE) (T)",CHANDI,137011803,-,-,,214,0,214,2,0,2
"",,BAGGEY,137030301,-,-,,588,0,588,,,
"",,THATHI SAID SHAMIR,137030302,-,-,,315,0,315,,,
99 Total,,,,-,-,-,1117,0,1117,2,0,2
270,"GOVERNMENT GIRLS PRIMARYSCHOOL, BAGGEY BALOCHAN(FEMALE) (T)",CHANDI,137011803,-,-,,0,189,189,0,2,2
"",,BAGGEY,137030301,-,-,,0,454,454,,,
"",,THATHI SAID SHAMIR,137030302,-,-,,0,288,288,,,
100 Total,,,,-,-,-,0,931,931,0,2,2
271,"GOVERNMENT GIRLS HIGH SCHOOLSIAL SHARIF   (COMB) (P)",SIAL,137030304,-,-,,667,638,1305,2,1,3
101 Total,,,,-,-,-,667,638,1305,2,1,3
102 Total,,,,-,-,-,633,538,1171,1,1,2
273,"GOVERNMENT BOYS HIGH SCHOOLMOHIB PUR  (COMB) (T)",TODERPUR,137030303,-,-,,37,33,70,2,1,3
"",,MOHIBPUR,137030306,-,-,,646,515,1161,,,
103 Total,,,,-,-,-,683,548,1231,2,1,3
274,"GOVERNMENT BOYS PRIMARYSCHOOL, HAVELI NATHOKA (MALE) (T)",BAGI,137030402,-,-,,251,0,251,3,0,3
"",,BAGI,137030403,-,-,,461,0,461,,,
"",,BAGI,137030404,-,-,,71,0,71,,,
"",,BAGI,137030405,-,-,,341,0,341,,,
"",,BAGI,137030408,-,-,,118,0,118,,,
104 Total,,,,-,-,-,1242,0,1242,3,0,3
275,"GOVERNMENT BOYS PRIMARYSCHOOL, HAVELI NATHOKA (FEMALE)(T)",BAGI,137030402,-,-,,0,150,150,0,2,2
"",,BAGI,137030403,-,-,,0,419,419,,,
"",,BAGI,137030404,-,-,,0,55,55,,,
"",,BAGI,137030405,-,-,,0,269,269,,,
"",,BAGI,137030408,-,-,,0,176,176,,,
105 Total,,,,-,-,-,0,1069,1069,0,2,2
276,"GOVERNMENT GIRLS MIDDLESCHOOL, SALEEKA  (COMB)  (P)",SALIKA,137030406,-,-,,384,284,668,2,2,4
"",,SALIKA,137030407,-,-,,267,239,506,,,
"",,SALIKA,137030409,-,-,,289,270,559,,,
"",,THATTI SAHIB ZADA,137031603,-,-,,95,91,186,,,
106 Total,,,,-,-,-,1035,884,1919,2,2,4
277,"GOVERNMENT GIRLS  PRIMARYSCHOOL, SHEIKH JALIL  (COMB) (T)",SHEIKH JALIL,137030501,-,-,,244,166,410,2,1,3
"",,SHEIKH JALIL,137030502,-,-,,290,166,456,,,
"",,SHEIKH JALIL,137030506,-,-,,194,229,423,,,
107 Total,,,,-,-,-,728,561,1289,2,1,3
278,"GOVERNMENT BOYS PRIMARYSCHOOL, AHLI  KAMBOH  (COMB) (T)",AHLI KAMBOH,137030503,-,-,,441,327,768,2,2,4
"",,AHLI KAMBOH,137030504,-,-,,462,335,797,,,
"",,AHLI KAMBOH,137030507,-,-,,210,184,394,,,
108 Total,,,,-,-,-,1113,846,1959,2,2,4
279,"GOVERNMENTGIRLS HIGHERSECONDARY  SCHOOL NEHANG",NEHANG,137030601,-,-,,817,0,817,2,0,2
"",,NEHANG,137030602,-,-,,205,0,205,,,
109 Total,,,,-,-,-,1022,0,1022,2,0,2
280,"(259) GOVERNMENTGIRLS HIGHERSECONDARY  SCHOOL NEHANG",NEHANG,137030603,-,-,,357,0,357,2,0,2
"",,NEHANG,137030604,-,-,,714,0,714,,,
110 Total,,,,-,-,-,1071,0,1071,2,0,2
281,"GOVERNMENTGIRLS HIGHERSECONDARY  SCHOOL NEHANG(FEMALE)  (P)",NEHANG,137030601,-,-,,0,696,696,0,4,4
"",,NEHANG,137030602,-,-,,0,160,160,,,
"",,NEHANG,137030603,-,-,,0,309,309,,,
"",,NEHANG,137030604,-,-,,0,583,583,,,
111 Total,,,,-,-,-,0,1748,1748,0,4,4
282,"GOVERNMENT BOYS HIGHIERSECONDERY SCHOOL  NEHANG (MALE)",PANJPEER,137030605,-,-,,755,0,755,3,0,3
"",,PANJPEER,137030606,-,-,,590,0,590,,,
112 Total,,,,-,-,-,1345,0,1345,3,0,3
"",SECONDERY SCHOOL  NEHANG,PANJPEER,137030606,-,-,,0,430,430,,,
113 Total,,,,-,-,-,0,1071,1071,0,2,2
284,"GOVERNMENT BOYS PRIMARYSCHOOL, FATEH WALA  (COMB) (T)",FATEH WALA,137030608,-,-,,700,565,1265,2,1,3
114 Total,,,,-,-,-,700,565,1265,2,1,3
285,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL, AUKI  (COMB) (T)",AOKI,137030505,-,-,,322,274,596,1,1,2
115 Total,,,,-,-,-,322,274,596,1,1,2
286,"GOVERNMENT BOYS HIGH SCHOOL,JAHANIAN SHAH (MALE) (P)",RAKH FATEH WALA,137030607,-,-,,441,0,441,4,0,4
"",,JAHANIAN SHAH,137030701,-,-,,421,0,421,,,
"",,JAHANIAN SHAH,137030702,-,-,,487,0,487,,,
"",,JAHANIAN SHAH,137030703,-,-,,302,0,302,,,
"",,JAHANIAN SHAH,137030704,-,-,,170,0,170,,,
116 Total,,,,-,-,-,1821,0,1821,4,0,4
287,"GOVERNMENT BOYS HIGH SCHOOL,JAHANIAN SHAH (FEMALE)  (P)",RAKH FATEH WALA,137030607,-,-,,0,309,309,0,3,3
"",,JAHANIAN SHAH,137030701,-,-,,0,331,331,,,
"",,JAHANIAN SHAH,137030702,-,-,,0,392,392,,,
"",,JAHANIAN SHAH,137030703,-,-,,0,230,230,,,
"",,JAHANIAN SHAH,137030704,-,-,,0,88,88,,,
117 Total,,,,-,-,-,0,1350,1350,0,3,3
288,"GOVERNMENT BOYS PRIMARYSCHOOL, CHAWEKA  (COMB) (T)",CHAWEKA,137030801,-,-,,760,601,1361,2,1,3
118 Total,,,,-,-,-,760,601,1361,2,1,3
289,"GOVERNMENT GIRLS PRIMARYSCHOOL SHAHPUR KANJU  (COMB) (T)",DOWANA KANJU,137030802,-,-,,365,274,639,2,2,4
"",,SHAHPUR KANJU,137030803,-,-,,328,264,592,,,
"",,KOTLA RAHMAN,137030804,-,-,,272,246,518,,,
119 Total,,,,-,-,-,965,784,1749,2,2,4
290,"Govt. Girls Elementary School, HavaliMajooka (MALE) (T)",MAJOKA,137030805,-,-,,276,0,276,4,0,4
"",,MAJOKA,137030806,-,-,,961,0,961,,,
"",,HAWALI MAJOKA,137030807,-,-,,563,0,563,,,
120 Total,,,,-,-,-,1800,0,1800,4,0,4
291,"GOVERNMENT BOYS  HIGH SCHOOLHAVELI MAJOKA (FEMALE) (T)",MAJOKA,137030805,-,-,,0,238,238,0,3,3
"",,MAJOKA,137030806,-,-,,0,848,848,,,
"",,HAWALI MAJOKA,137030807,-,-,,0,522,522,,,
121 Total,,,,-,-,-,0,1608,1608,0,3,3
292,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL GULBANA  (COMB)",GULBANA,137030901,-,-,,479,370,849,2,1,3
"",,GULBANA,137030902,-,-,,223,193,416,,,
122 Total,,,,-,-,-,702,563,1265,2,1,3
293,"GOVERNMENT GIRLS MIDDLE SCHOOLNOOREWALA  (COMB) (P)",THATTI LANG,137030903,-,-,,717,538,1255,2,2,4
THATTI LANG,137030904,-,-,,254,191,445,,,,,
294,"CANAL REST HOUSE, MANGUWALI(COMB) (T)",SANDRANA,137030905,-,-,,310,213,523,2,1,3
"",,MANGUWALI,137031001,-,-,,382,235,617,,,
124 Total,,,,-,-,-,692,448,1140,2,1,3
295,"GOVERNMENT BOYS HIGH SCHOOLTHATHI JALAL (MALE) (P)",THATTI JALAL,137031101,-,-,,375,0,375,2,0,2
"",,THATTI JALAL,137031102,-,-,,614,0,614,,,
125 Total,,,,-,-,-,989,0,989,2,0,2
296,"GOVERNMENT BOYS HIGH SCHOOLTHATHI JALAL (FEMALE) (P)",THATTI JALAL,137031101,-,-,,0,292,292,0,2,2
"",,THATTI JALAL,137031102,-,-,,0,401,401,,,
126 Total,,,,-,-,-,0,693,693,0,2,2
297,"GOVERNMENT BOYS PRIMARYSCHOOL, MURAD WALA  (COMB) (T)",NORANGWALA,137031103,-,-,,358,282,640,2,2,4
"",,MURADWALA,137031104,-,-,,186,105,291,,,
"",,THATA JOIA,137031303,-,-,,387,276,663,,,
127 Total,,,,-,-,-,931,663,1594,2,2,4
298,"GOVERNMENT BOYS PRIMARYSCHOOL THATHA MUHAMMAD",THATTA MOHD PANAH,137031202,-,-,,398,348,746,1,1,2
"",,KHICHI AADA,137031203,-,-,,243,198,441,,,
128 Total,,,,-,-,-,641,546,1187,1,1,2
299,"GOVERNMENT BOYS PRIMARYSCHOOL RABANA  (COMB) (T)",RABANA,137031301,-,-,,579,467,1046,2,2,4
"",,RABANA,137031302,-,-,,421,328,749,,,
129 Total,,,,-,-,-,1000,795,1795,2,2,4
300,"GOVERNMENT BOYS PRIMARYSCHOOL BARAN  (COMB) (T)",BARAN,137031401,-,-,,570,435,1005,2,2,4
"",,BARAN,137031402,-,-,,425,300,725,,,
130 Total,,,,-,-,-,995,735,1730,2,2,4
301,"GOVERNMENT GIRLS MODELPRIMARY SCHOOL NOSHEHRA",NAUSHERA,137031201,-,-,,555,492,1047,2,1,3
"",,SHADIWALA,137031403,-,-,,129,77,206,,,
131 Total,,,,-,-,-,684,569,1253,2,1,3
302,"GOVERNMENT GIRLS MIDDLESCHOOL, TARKHANWALA (MALE)  (P)",TARKHAN WALA,137031501,-,-,,496,0,496,3,0,3
"",,TARKHAN WALA,137031502,-,-,,368,0,368,,,
"",,TARKHAN WALA,137031503,-,-,,414,0,414,,,
132 Total,,,,-,-,-,1278,0,1278,3,0,3
303,"GOVERNMENT GIRLS MIDDLESCHOOL, TARKHANWALA (FEMALE)(P)",TARKHAN WALA,137031501,-,-,,0,389,389,0,2,2
"",,TARKHAN WALA,137031502,-,-,,0,279,279,,,
"",,TARKHAN WALA,137031503,-,-,,0,283,283,,,
133 Total,,,,-,-,-,0,951,951,0,2,2
304,"GOVERNMENT BOYS MODEL PRIMARYSCHOOL WALLAH  (COMB) (T)",MADZA WALLAH,137031504,-,-,,318,244,562,2,1,3
"",,OKANWALA,137031505,-,-,,358,231,589,,,
134 Total,,,,-,-,-,676,475,1151,2,1,3
305,"GOVERNMENT BOYS MIDDLE SCHOOL,MUHAMMAD ALI WALA  (COMB) (T)",MOHD ALI WALA,137031601,-,-,,660,525,1185,2,2,4
"",,GAZANI,137031602,-,-,,331,261,592,,,
135 Total,,,,-,-,-,991,786,1777,2,2,4
306,"GOVERNMENT GIRLS PRIMARYSCHOOL, NO.1 NAWAN LOK  (COMB)",SAHIWAL M.C.,137040101,-,-,,317,251,568,2,2,4
"",,SAHIWAL M.C.,137040102,-,-,,546,432,978,,,
136 Total,,,,-,-,-,863,683,1546,2,2,4
SAHIWAL M.C.,137040103,-,-,,430,0,430,,,,,
"",Kumharanwala (MALE) (T),SAHIWAL M.C.,137040105,-,-,,402,0,402,,,
137 Total,,,,-,-,-,1082,0,1082,2,0,2
308,"GOVERNMENT GIRLS PRIMARYSCHOOL No.4 MohallahKumharanwala (FEMALE) (T)",SAHIWAL M.C.,137040103,-,-,,0,394,394,0,2,2
"",,SAHIWAL M.C.,137040104,-,-,,0,200,200,,,
"",,SAHIWAL M.C.,137040105,-,-,,0,350,350,,,
138 Total,,,,-,-,-,0,944,944,0,2,2
309,"GOVERNMENT BOYS PRIMARYSCHOOOL No.4 MOHALLAH HUSSAINABAD (MALE) (T)",SAHIWAL M.C.,137040201,-,-,,308,0,308,4,0,4
"",,SAHIWAL M.C.,137040202,-,-,,615,0,615,,,
