"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,TOTAL,,,640,532,1172,,,,,
303,"Boys High School Zaheer AbadShaheed (Male)(P)","Zaheer AbadShaheed",207090902,,,,291,0,291,2,,2
"",,207090903,,,304,0,304,,,,,
"",,207090906,,,386,0,386,,,,,
"",,TOTAL,,,981,0,981,,,,,
304,"Boys High School Zaheer AbadShaheed (Male)(P)","Zaheer AbadShaheed",207090904,,,,673,513,1186,1,1,2
"",207090905,,,190,152,342,,,,,,
"",TOTAL,,,863,665,1528,,,,,,
"Zaheer AbadShaheed",207090902,,,0,251,251,,,,,,
"",207090903,,,0,228,228,,,,,,
"",207090906,,,0,304,304,,,,,,
"",,,,TOTAL,,,,0,783,783,,,
"",306,"Govt Middle School, 108/WB(P)",108/WB,207090901,,,,412,283,695,1,1,2
"",,,,TOTAL,,,412,283,695,,,,
"",307,"Boys High School Zaheer AbadShaheed (Male)(P)","Zaheer AbadShaheed",207090907,,,,361,260,621,1,1,2
"",,,,207090908,,,404,261,665,,,,
"",,,,TOTAL,,,765,521,1286,,,,
"",308,"Boys High School Zaheer AbadShaheed (Male)(P)",,207090909,,,,462,387,849,1,1,2
"",,,,TOTAL,,,462,387,849,,,,
"",309,Boys Pry. School 92/WB(P),92/WB,207090910,,,,345,315,660,1,1,2
"",207090911,,,118,96,214,,,,,,,
"",TOTAL,,,463,411,874,,,,,,,
102/WB,207090912,,,397,323,720,,,,,,,
"",207090914,,,411,312,723,,,,,,,
"",311,"Boys Pry. School Chak No.102/WB(P)",,207090913,,,,448,396,844,1,1,2
"",,,,TOTAL,,,448,396,844,,,,
"",312,Boys Pry. School 118/WB(P),118//WB,207090404,,,,509,430,939,1,1,2
"",,,118//WB,207090405,,,178,141,319,,,,
"",,,,207090406,,,136,101,237,,,,
"",,,,TOTAL,,,823,672,1495,,,,
"",313,Boys Pry. School 120/WB(P),120/WB,207090408,,,,526,391,917,1,1,2
"",,,,TOTAL,,,526,391,917,,,,
"",314,Govt Boys Pry School Kot Sawan,Kot Sawan,207090407,,,,283,230,513,1,1,2
"",TOTAL,,,283,230,513,,,,,,,
136/WB,207090401,,,508,0,508,,,,,,,
"",207090402,,,325,0,325,,,,,,,
Chak Bhada,207090403,,,89,0,89,,,,,,,
316,"Girls Middle School136/WB(P)(Female)",136/WB,207090401,,,,0,389,389,0,1,1
"",,,207090402,,,0,247,247,,,,
"",,Chak Bhada,207090403,,,0,81,81,,,,
"",,,TOTAL,,,0,717,717,,,,
317,Boys High School 110/WB(P),110/WB,207090301,,,,714,561,1275,1,1,2
"",,,TOTAL,,,714,561,1275,,,,
318,"Boys Pry. School RathMummar(P)(Male)",Rath Mummar,207090502,,,,463,0,463,2,0,2
"",,Rath Mummar,207090503,,,752,0,752,,,,
"",,,TOTAL,,,1215,0,1215,,,,
319,"Boys Pry. School RathMummar(P)(Female)",,207090502,,,,0,295,295,0,1,1
"",207090503,,,0,600,600,,,,,,
"",TOTAL,,,0,895,895,,,,,,
116//WB,207090409,,,872,0,872,,,,,,
116//WB,207090410,,,230,0,230,,,,,,
"",,,TOTAL,,,,1102,0,1102,,,
321,"Boys Middle School116/WB(P)(Female)",,207090409,,,,0,710,710,0,1,1
"",,,207090410,,,0,185,185,,,,
"",,,TOTAL,,,0,895,895,,,,
322,"Girls Elementary  School114/WB(P)(Male)",114//WB,207090304,,,,535,0,535,2,0,2
"",,,207090305,,,472,0,472,,,,
"",,,TOTAL,,,1007,0,1007,,,,
323,"Girls Elementary  School114/WB(P)(Male)",114//WB,207090304,,,,0,463,463,0,1,1
"",,,207090305,,,0,368,368,,,,
"",,,TOTAL,,,0,831,831,,,,
324,Boys Pry. School 112/WB(P),112//WB,207090302,,,,872,667,1539,2,1,3
"",TOTAL,,,872,667,1539,,,,,,
106//WB,207090303,,,828,568,1396,,,,,,
326,Boys Pry. School 128/WB(P),128//WB,207090504,,,,472,386,858,1,1,2
"",207090505,,,346,280,626,,,,,,
"",TOTAL,,,818,666,1484,,,,,,
130/WB,207090501,,,16,10,26,,,,,,
126/WB,207090506,,,539,412,951,,,,,,
"",207090507,,,206,162,368,,,,,,
S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,
"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
jahan pur,207020305,,,,390,295,685,,
jahan pur,207020306,,,,488,356,844,,
"",2,Govt Boys High School Juhni(P),Juhni,207020203,,,,376,353,729,1,1,2
"",,,Mangai Shah,207020204,,,,280,214,494,,,
"",,,Noor Pur,207020205,,,,43,34,77,,,
"",,,Kot Khan,207020302,,,,83,67,150,,,
"",,,,TOTAL,,,,782,668,1450,,,
"",3,Govt Girls Pre. School Marali,Mirali,207020301,,,,394,309,703,1,1,2
"",,,,TOTAL,,,,394,309,703,,,
"",4,Govt Girls pry School Aadoo Wala,Rahola,207020303,,,,427,382,809,1,1,2
"",,,Rahola,207020304,,,,271,204,475,,,
"",,,,TOTAL,,,,698,586,1284,,,
"",5,"Govt Pry. School Haleem Khichi (Male)(P)",Haleem Khichi,207020201,,,,607,0,607,2,0,2
Haleem Khichi,207020202,,,,754,0,754,,,,,,
"",TOTAL,,,,1361,0,1361,,,,,,
Haleem Khichi,207020201,,,,0,413,413,,,,,,
"",6,"Govt Girls Pry School Haleem Khichi(Female)(P)",Haleem Khichi,207020202,,,,0,502,502,0,2,2
"",,,,TOTAL,,,,0,915,915,,,
"",7,"Govt. Model Pry  School Sandhal(Male)(P)",Sandhal,207020601,,,,187,0,187,2,0,2
"",,,Sandhal,207020602,,,,580,0,580,,,
"",,,Sandhal,207020603,,,,467,0,467,,,
"",,,Sandhal,207020604,,,,227,0,227,,,
"",,,,TOTAL,,,,1461,0,1461,,,
"",8,"Govt. Model Pry  School Sandhal(Female)(P)",Sandhal,207020601,,,,0,115,115,0,1,1
Sandhal,207020602,,,,0,409,409,,,,,,
Sandhal,207020603,,,,0,281,281,,,,,,
Sandhal,207020604,,,,0,140,140,,,,,,
"",TOTAL,,,,0,945,945,,,,,,
Malkoo,207020401,,,,584,356,940,,,,,,
"",10,Boys Pry. School Tarki(P),Tarki,207020402,,,,395,283,678,1,1,2
"",,,Tarki,207020403,,,,448,304,752,,,
"",,,,TOTAL,,,,843,587,1430,,,
"",11,"Govt. Model  Pry. School PehlwanArain(P)",Pehlwan Ariyen,207070703,,,,313,232,545,1,1,2
"",,,Pehlwan Ariyen,207070705,,,,403,296,699,,,
"",,,,TOTAL,,,,716,528,1244,,,
"",12,"Govt. Model  Pry. School PehlwanArain(P)",Pehlwan Ariyen,207070704,,,,491,421,912,1,1,2
"",,,,TOTAL,,,,491,421,912,,,
"",13,Boys Pry School 139/WB(P),139/WB,207070801,,,,339,269,608,1,1,2
"",,,139/WB,207070802,,,,303,246,549,,,
"",,,,TOTAL,,,,642,515,1157,,,
"",14,Boys Pry School 193/WB(P),193/WB,207070803,,,,561,438,999,1,1,2
"",TOTAL,,,,561,438,999,,,,,,
Lali Pur,207070804,,,,273,238,511,,,,,,
"",15,Boys Pry School Malik Pur(P),Lali Pur,207070806,,,,339,270,609,1,1,2
"",,,,TOTAL,,,,612,508,1120,,,
"",16,Boys Pry School Malik Pur(P),Lali Pur,207070805,,,,620,432,1052,1,1,2
"",,,,TOTAL,,,,620,432,1052,,,
"",17,Boys Pry. School Rath Sai(P),Rath Sai,207070701,,,,454,272,726,1,1,2
"",,,Bhada,207070702,,,,311,236,547,,,
"",,,,TOTAL,,,,765,508,1273,,,
"",18,"Boys Pry. School Mari Mittru (East)(Male)(P)",Mari Mittro,207070905,,,,503,0,503,2,0,2
Mari Mittro,207070906,,,,666,0,666,,,,,,
Mari Mittro,207070907,,,,404,0,404,,,,,,
"",TOTAL,,,,1573,0,1573,,,,,,
Mari Mittro,207070905,,,,0,346,346,,,,,,
Mari Mittro,207070906,,,,0,470,470,,,,,,
"",,,,TOTAL,,,,0,1055,1055,,,
"",20,Girls Pry. School Siprah(P),Lakhokha,207070904,,,,184,127,311,1,1,2
"",,,Siprah,207070908,,,,483,317,800,,,
"",,,,TOTAL,,,,667,444,1111,,,
"",21,Boys Middle School Ghallo (Male)(P),Ghallo,207070901,,,,668,0,668,2,0,2
"",,,Ghallo,207070902,,,,411,0,411,,,
"",,,Ghallo,207070903,,,,508,0,508,,,
"",,,,TOTAL,,,,1587,0,1587,,,
"",22,Girls Pry. School Ghallo (Female)(P),Ghallo,207070901,,,,0,572,572,0,2,2
Ghallo,207070902,,,,0,303,303,,,,,,
Ghallo,207070903,,,,0,373,373,,,,,,
"",TOTAL,,,,0,1248,1248,,,,,,
Makhdum Pur,207060901,,,,117,0,117,,,,,,
"",,,151/WB,207060906,,,,246,0,246,,,
"",,,,TOTAL,,,,1110,0,1110,,,
"",24,Boys High School 151/WB(P)(Female),Makhdum Pur,207060901,,,,0,86,86,0,2,2
"",,,151/WB,207060905,,,,0,593,593,,,
"",,,151/WB,207060906,,,,0,200,200,,,
"",,,,TOTAL,,,,0,879,879,,,
"",25,Boys Pry. School 149/WB(P),149/WB,207061002,,,,440,308,748,1,1,2
"",,,Toot Kot Malik,207061003,,,,344,216,560,,,
"",,,,TOTAL,,,,784,524,1308,,,
"",26,Boys Pry. Scool 1/M (East),Chak no. 1M,207061104,,,,156,105,261,1,1,2
Chak no. 1M,207061106,,,,221,166,387,,,,,,
"",TOTAL,,,,377,271,648,,,,,,
Chak no. 1M,207061103,,,,98,78,176,,,,,,
"",,,Chak no. 1M,207061107,,,,322,180,502,,,
"",,,,TOTAL,,,,975,631,1606,,,
"",28,Boys High School Lalo(P)(Male),Kasi Sadiq Wah,207061001,,,,448,0,448,2,0,2
"",,,Lalo,207061101,,,,526,0,526,,,
"",,,Lalo,207061102,,,,321,0,321,,,
"",,,,TOTAL,,,,1295,0,1295,,,
"",29,Boys High School Lalo(P)(Female),Kasi Sadiq Wah,207061001,,,,448,0,448,2,0,2
"",,,Lalo,207061101,,,,526,0,526,,,
"",,,Lalo,207061102,,,,321,0,321,,,
"",,,,TOTAL,,,,1295,0,1295,,,
"",30,Girls High School 213/WB(P),213/WB,207060801,,,,501,407,908,1,1,2
213/WB,207060802,,,,94,77,171,,,,,,
"",TOTAL,,,,595,484,1079,,,,,,
"",31,Girls Pry. School 215/WB(P),215/WB,207060804,,,,582,419,1001,2,1,3
"",,,,TOTAL,,,,1030,674,1704,,,
"",32,"Boys High School 211/WB MiddlePortion (Male)(P)",211/WB,207060805,,,,570,0,570,2,0,2
"",,,211/WB,207060806,,,,859,0,859,,,
"",,,,TOTAL,,,,1429,0,1429,,,
"",33,"Boys High School High Portion211/WB (Female)(P)",211/WB,207060805,,,,0,419,419,0,2,2
"",,,211/WB,207060806,,,,0,626,626,,,
"",,,,TOTAL,,,,0,1045,1045,,,
"",34,Govt Pry. School Abbas Nagar,"205/WB AbbasNagar",207060902,,,,817,699,1516,2,1,3
"",,,"205/WB AbbasNagar",207060903,,,,116,87,203,,,
"",,,,TOTAL,,,,933,786,1719,,,
"",35,Girls Pry. School 205/WB(P),205/WB,207060904,,,,607,402,1009,1,1,2
"",TOTAL,,,,607,402,1009,,,,,,
"",36,"Govt Pry. School Bangla Wan Wala177/WB",Chahan Pir Shah,207070603,,,,26,13,39,1,1,2
"",,,Hussain Pur,207070604,,,,156,122,278,,,
"",,,,TOTAL,,,,772,604,1376,,,
"",37,Boys Pry. School Burkhurdar,Barkhudar,207070601,,,,633,466,1099,1,1,2
"",,,,TOTAL,,,,633,466,1099,,,
"",38,Canal Rest House Lal Saggu(P),Lal Saggu,207060101,,,,310,193,503,1,1,2
Lal Saggu,207060107,,,,365,269,634,,,,,,
"",TOTAL,,,,310,193,503,,,,,,
Lal Saggu,207060102,,,,195,0,195,,,,,,
Lal Saggu,207060103,,,,80,0,80,,,,,,
Lal Saggu,207060104,,,,661,0,661,,,,,,
Lal Saggu,207060105,,,,352,0,352,,,,,,
Lal Saggu,207060106,,,,337,0,337,,,,,,
"",40,"Girls Pry. School Lal Sagu(Female)(P)Closed the School",Lal Saggu,207060102,,,,0,138,138,0,2,2
"",,,Lal Saggu,207060103,,,,0,70,70,,,
"",,,Lal Saggu,207060104,,,,0,399,399,,,
"",,,Lal Saggu,207060105,,,,0,284,284,,,
"",,,Lal Saggu,207060106,,,,0,260,260,,,
"",,,,TOTAL,,,,0,1151,1151,,,
"",41,Boys High School Dokota(P),Kot Malik,207060208,,,,501,387,888,1,1,2
"",,,Kot Malik,207060210,,,,376,294,670,,,
"",,,,TOTAL,,,,877,681,1558,,,
"",42,Boys High School Dokota(P),Kot Malik,207060209,,,,655,483,1138,1,1,2
"",TOTAL,,,,655,483,1138,,,,,,
147/WB,207060201,,,,228,0,228,,,,,,
145/WB,207060202,,,,536,0,536,,,,,,
145/WB,207060203,,,,431,0,431,,,,,,
"",,,145/WB,207060204,,,,409,0,409,,,
"",,,,TOTAL,,,,1604,0,1604,,,
"",44,"Boys Middle School 143/WB(Female)(P)",147/WB,207060201,,,,0,155,155,0,2,2
"",,,145/WB,207060202,,,,0,341,341,,,
"",,,145/WB,207060203,,,,0,307,307,,,
"",,,145/WB,207060204,,,,0,271,271,,,
"",,,,TOTAL,,,,0,1074,1074,,,
"",45,"Boys Pry. School 195/WBMale(P)",Mouza Mani,207060304,,,,285,0,285,2,0,2
"",,,195/WB,207060308,,,,463,0,463,,,
"",,,195/WB,207060309,,,,527,0,527,,,
"",,,,TOTAL,,,,1275,0,1275,,,
"",46,"Boys Pry. School 195/WBCombined(P)",195/WB,207060307,,,,546,475,1021,1,1,2
"",TOTAL,,,,546,475,1021,,,,,,
"",47,Girls High. School 195/WB Female(P),195/WB,207060308,,,,0,336,336,0,2,2
"",,,195/WB,207060309,,,,0,353,353,,,
"",,,,TOTAL,,,,0,907,907,,,
"",48,Boys Pry. School Bahawal(P),Bahawal Wah,207060301,,,,620,447,1067,1,1,2
"",,,,TOTAL,,,,620,447,1067,,,
"",49,Govt Girls Pry. School Ojla(P),Ojla,207060302,,,,217,168,385,1,1,2
"",,,Ojla,207060303,,,,393,304,697,,,
"",,,,TOTAL,,,,610,472,1082,,,
"",50,Boys Pry. School 183/WB(P),183/WB,207060305,,,,554,395,949,1,1,2
"",,,,TOTAL,,,,554,395,949,,,
"",51,Boys Pry. School 183/WB(P),183/WB,207060306,,,,709,512,1221,1,1,2
"",TOTAL,,,,709,512,1221,,,,,,
143/WB,207060205,,,,512,374,886,,,,,,
"",,,143/WB,207060207,,,,353,274,627,,,
"",,,,TOTAL,,,,1016,726,1742,,,
"",53,Boys Pry. School Kharala,Kharala,207060503,,,,520,397,917,2,1,3
"",,,Kharala,207060504,,,,293,231,524,,,
"",,,Kasi Makhdum,207060701,,,,9,3,12,,,
"",,,Kot Qazi Wah,207060702,,,,11,5,16,,,
"",,,Din Wah,207060703,,,,167,116,283,,,
"",,,Chak Sarla,207060704,,,,0,0,0,,,
"",,,,TOTAL,,,,1000,752,1752,,,
"",54,Boys Pry. School Dur Pur,Atta Ullah,207060401,,,,199,170,369,1,1,2
Noor Pur,207060403,,,,178,160,338,,,,,,
Dur Pur,207060601,,,,275,159,434,,,,,,
"",TOTAL,,,,652,489,1141,,,,,,
"",,,,TOTAL,,,,524,407,931,,,
"",56,Boys High School 187/WB (Male)(P),187/WB,207060404,,,,429,0,429,2,0,2
"",,,187/WB,207060405,,,,825,0,825,,,
"",,,187/WB,207060406,,,,210,0,210,,,
"",,,,TOTAL,,,,1464,0,1464,,,
"",57,"Girls Middle School 187/WB(Female)(P)",187/WB,207060404,,,,0,293,293,0,2,2
"",,,187/WB,207060405,,,,0,653,653,,,
"",,,187/WB,207060406,,,,0,143,143,,,
"",,,,TOTAL,,,,0,1089,1089,,,
"",58,Boys Middle School 261/WB (P),261/WB,207060604,,,,778,644,1422,1,1,2
261/WB,207060605,,,,70,49,119,,,,,,
"",TOTAL,,,,848,693,1541,,,,,,
Jadan Wala,207060501,,,,147,123,270,,,,,,
"",,,,TOTAL,,,,664,502,1166,,,
"",60,Boys Pry. School 259/WB(P),259/WB,207060602,,,,497,373,870,1,1,2
"",,,259/WB,207060603,,,,274,197,471,,,
"",,,,TOTAL,,,,771,570,1341,,,
"",61,Girls Pry. School 263/WB Basti Ibrahim,263/WB,207060606,,,,528,426,954,1,1,2
"",,,,TOTAL,,,,528,426,954,,,
"",62,Girls Pry. School 265/WB(P),265/WB,207060607,,,,542,401,943,1,1,2
"",,,,TOTAL,,,,542,401,943,,,
"",69,Maktab School Chak Mughal (Male)(P),Chak Mughal,207060706,,,,448,0,448,2,0,2
Chak Mughal,207060707,,,,404,0,404,,,,,,
Chak Mughal,207060708,,,,466,0,466,,,,,,
"",TOTAL,,,,1318,0,1318,,,,,,
Chak Mughal,207060706,,,,0,334,,,,,,,
"",,,,(Female)(P),,Chak Mughal,,207060708,,,,,,,,0,,351,,351,,,,,,
"",,,,,,,,TOTAL,,,,,,,,0,,1020,,1020,,,,,,
"",,65,,"Boys Pry. School Basti Dal (ChakMughal) (P)",,Chak Mughal,,207060705,,,,,,,,561,,442,,1003,,1,,1,,2
"",,,,,,,,TOTAL,,,,,,,,561,,442,,1003,,,,,,
"",,66,,"Boys High School Tibba Sultan Pur (Female)(P)",,,,,,وارڈ نم رب8-7-6,,207140201,,,,0,,551,,551,,0,,2,,2
"",,,,,,,,,,وارڈ نم رب6,,207140203,,,,0,,389,,389,,,,,,
"",,,,,,,,,,وارڈ نم رب7-8-,,207140204,,,,0,,406,,406,,,,,,
"",,,,,,,,,,,,TOTAL,,,,0,,1346,,1346,,,,,,
"",,67,,"Boys High School Tibba Sultan Pur (Male)(P)",,,,,,وارڈ نم رب8-7-6,,207140201,,,,611,,0,,611,,2,,0,,2
"",,,,,وارڈ نم رب6,,207140203,,,,494,,0,,494,,,,,,,,,,,
"",,,,,وارڈ نم رب7-8-,,207140204,,,,457,,0,,457,,,,,,,,,,,
"",,,,,,,TOTAL,,,,1562,,0,,1562,,,,,,,,,,,
"",,,,,وارڈ نم رب3,,207140101,,,,530,,0,,530,,,,,,,,,,,
"",,,,Pur ( Male)(P),,,,,,ن آبادی وارڈ5-ی,,207140103,,,,591,,0,,591,,,,,,
"",,,,,,,,,,,,TOTAL,,,,1837,,0,,1837,,,,,,
"",,69,,"Girls Pry. School W.No.7 Tibba   (Female)(P)",,,,,,وارڈ نم رب3,,207140101,,,,0,,474,,474,,0,,2,,2
"",,,,,,,,,,وارڈ نم رب4-5-,,207140102,,,,0,,517,,517,,,,,,
"",,,,,,,,,,ن آبادی وارڈ5-ی,,207140103,,,,0,,513,,513,,,,,,
"",,,,,,,,,,53,,TOTAL,,,,0,,1504,,1504,,,,,,
"",,70,,"Boys Pry. School .No.1 Tibba       (Male)(P)",,,,,,وارڈ نم رب2,,207140202,,,,265,,0,,265,,1,,0,,1
"",,,,,وارڈ نم رب9,,207140205,,,,280,,0,,280,,,,,,,,,,,
"",,,,,وارڈ نم رب6,,207140206,,,,727,,0,,727,,,,,,,,,,,
"",,,,,,,TOTAL,,,,545,,0,,545,,,,,,,,,,,
"",,,,,وارڈ نم رب2,,207140202,,,,0,,236,,236,,,,,,,,,,,
"",,,,,وارڈ نم رب9,,207140205,,,,0,,255,,255,,,,,,,,,,,
"",,,,,وارڈ نم رب6,,207140206,,,,0,,557,,557,,,,,,,,,,,
"",72,Office Complax Tibba Sultan Pur (P),Tibba Sultan Pur,207080107,,,,253,201,454,1,1,2
"",,,Tibba Sultan Pur,207080108,,,,313,283,596,,,
"",,,,TOTAL,,,,566,484,1050,,,
"",73,Office Complax Tibba Sultan Pur (P),Tibba Sultan Pur,207080109,,,,294,264,558,1,1,2
"",,,Tibba Sultan Pur,207080111,,,,296,211,507,,,
"",,,,TOTAL,,,,590,475,1065,,,
"",74,T.M.A Sub Office Tibba Sultan Pur (P),Tibba Sultan Pur,207080110,,,,767,586,1353,1,1,2
"",,,,TOTAL,,,,767,586,1353,,,
"",75,"Girls Pry School Chak Azeem        (Chak 204/WB)(P)",204/WB,207080104,,,,297,235,532,1,1,2
"",,,204/WB,207080106,,,,264,218,482,,,
"",,,,TOTAL,,,,561,453,1014,,,
"",76,"Girls Pry School Chak Azeem        (Chak 204/WB)(P)",204/WB,207080105,,,,552,498,1050,1,1,2
"",TOTAL,,,,552,498,1050,,,,,,
Chak Azeem,207080102,,,,352,265,617,,,,,,
"",,,,TOTAL,,,,352,265,617,,,
"",78,Boys Pry. School 156/WB(P),156/WB,207080103,,,,580,419,999,1,1,2
"",,,,TOTAL,,,,580,419,999,,,
"",79,"Girls Pry. School Chak No.330/WB(P)(Male)",330/WB,207080704,,,,152,0,152,2,0,2
"",,,330/WB,207080705,,,,892,0,892,,,
"",,,330/WB,207080706,,,,69,0,69,,,
"",,,,TOTAL,,,,1113,0,1113,,,
"",80,"Girls Pry. School Chak No.330/WB(P)(Female)",330/WB,207080704,,,,0,108,108,0,1,1
"",,,330/WB,207080705,,,,0,646,646,,,
"",,,330/WB,207080706,,,,0,45,45,,,
"",,,,TOTAL,,,,0,799,799,,,
"",81,Boys Pry. School  331/WB(P),331/WB,207080101,,,,388,283,671,1,1,2
"",TOTAL,,,,388,283,671,,,,,,
"",82,Boys High. School  335/WB(P)(Male),335/WB,207080504,,,,11,0,11,2,0,2
"",,,335/WB,207080505,,,,163,0,163,,,
"",,,,TOTAL,,,,1127,0,1127,,,
"",83,Boys High. School  335/WB(P)(Female),335/WB,207080503,,,,953,0,953,2,0,2
"",,,335/WB,207080504,,,,11,0,11,,,
"",,,335/WB,207080505,,,,163,0,163,,,
"",,,,TOTAL,,,,1127,0,1127,,,
"",84,Boys Pry. School  334/WB(P),334/WB,207080501,,,,667,482,1149,2,1,3
"",,,334/WB,207080502,,,,312,237,549,,,
"",,,,TOTAL,,,,979,719,1698,,,
"",85,Boys Pry. School Qadir Pur(P),Qadir Pur,207080506,,,,209,180,389,1,1,2
Qadir Pur,207080507,,,,489,386,875,,,,,,
"",TOTAL,,,,698,566,1264,,,,,,
"",,,,TOTAL,,,,349,269,618,,,
"",87,Boys Pry. School Maqsooda(P),Maqsooda,207080402,,,,433,358,791,1,1,2
"",,,,TOTAL,,,,433,358,791,,,
"",88,Boys High. School  160/WB(P),160/WB,207080405,,,,685,582,1267,2,1,3
"",,,160/WB,207080406,,,,286,206,492,,,
"",,,,TOTAL,,,,971,788,1759,,,
"",89,Boys High. School  160/WB(P),160/WB,207080407,,,,361,247,608,2,1,3
"",,,,TOTAL,,,,361,247,608,,,
"",90,Girls Pry. School  170/WB(P),170/WB,207080403,,,,563,434,997,1,1,2
170/WB,207080404,,,,284,197,481,,,,,,
"",TOTAL,,,,847,631,1478,,,,,,
168/WB,207080302,,,,418,306,724,,,,,,
168/WB,207080303,,,,399,352,751,,,,,,
"",92,Boys Pry. School  158/WB  (P) Male,158/WB,207080202,,,,312,0,312,2,0,2
"",,,158/WB,207080203,,,,184,0,184,,,
"",,,158/WB,207080204,,,,377,0,377,,,
"",,,158/WB,207080205,,,,332,0,332,,,
"",,,,TOTAL,,,,1205,0,1205,,,
"",93,Boys Pry. School  158/WB  (P) Male,158/WB,207080206,,,,210,0,210,1,0,1
"",,,158/WB,207080207,,,,299,0,299,,,
"",,,158/WB,207080208,,,,296,0,296,,,
"",,,Hussain Pur,207080201,,,,24,0,24,,,
"",,,,TOTAL,,,,829,0,829,,,
"",94,"Govt Girl Pry School Chak Langah(Chowk Maitla)",Chak Langah,207080301,,,,548,353,901,1,1,2
"",TOTAL,,,,548,353,901,,,,,,
158/WB,207080202,,,,0,263,263,,,,,,
158/WB,207080203,,,,0,143,143,,,,,,
"",95,"Girls High School  158/WB  (P)Female",158/WB,207080204,,,,0,285,285,0,2,2
"",,,158/WB,207080205,,,,0,272,272,,,
"",,,158/WB,207080206,,,,0,178,178,,,
"",,,158/WB,207080207,,,,0,209,209,,,
"",,,158/WB,207080208,,,,0,234,234,,,
"",,,Hussain Pur,207080201,,,,0,8,8,,,
"",,,,TOTAL,,,,0,1592,1592,,,
"",96,"Boys Pry. School  166/WB EastPortion (Combined)(P)",166/WB,207080306,,,,428,293,721,2,1,3
166/WB,207080307,,,,625,435,1060,,,,,,
"",TOTAL,,,,1053,728,1781,,,,,,
166/WB,207080304,,,,282,201,483,,,,,,
166/WB,207080305,,,,145,105,250,,,,,,
166/WB,207080308,,,,212,156,368,,,,,,
"",98,"Boys Pry. School  166/WB WestPortion (Combined)(P)",166/WB,207080309,,,,406,317,723,1,1,2
"",,,,TOTAL,,,,406,317,723,,,
"",99,Boys Pry. School Sehar(P),Basti Sehar,207081001,,,,491,420,911,1,1,2
"",,,Basti Sehar,207081003,,,,339,268,607,,,
"",,,,TOTAL,,,,830,688,1518,,,
"",100,Girls Middle. School Sehar(P),Basti Sehar,207081002,,,,824,686,1510,1,1,2
"",,,,TOTAL,,,,824,686,1510,,,
"",101,Boys Pry. School  202/WB (Male)(P),202/WB,207081004,,,,62,0,62,2,0,2
202/WB,207081005,,,,362,0,362,,,,,,
202/WB,207081006,,,,852,0,852,,,,,,
202/WB,207081007,,,,412,0,412,,,,,,
"",TOTAL,,,,1688,0,1688,,,,,,
202/WB,207081004,,,,0,47,47,,,,,,
202/WB,207081005,,,,0,269,269,,,,,,
"",102,Girls Pry. School  202/WB (Female)(P),202/WB,207081006,,,,0,671,671,0,2,2
"",,,202/WB,207081007,,,,0,276,276,,,
"",,,,TOTAL,,,,0,1263,1263,,,
"",103,Boys Pry. School  144/WB,144/WB,207081009,,,,516,472,988,2,1,3
"",,,144/WB,207081010,,,,427,354,781,,,
"",,,,TOTAL,,,,943,826,1769,,,
"",104,Boys Pry. School  146/WB(P),146/WB,207081011,,,,195,151,346,1,1,2
"",,,146/WB,207081012,,,,294,231,525,,,
"",,,Kotli Hashim,207081008,,,,217,154,371,,,
"",,,,TOTAL,,,,706,536,1242,,,
"",105,Boys Pry. School Sahib Ali,Sahib Ali,207080209,,,,523,396,919,1,1,2
Sahib Ali,207080210,,,,424,356,780,,,,,,
Sahib Ali,TOTAL,,,,523,396,919,,,,,,
"",106,"Girls Pry School, Sahib Ali(P)",Sahib Ali,207080212,,,,634,465,1099,2,1,3
"",,,Sahib Ali,TOTAL,,,,994,736,1730,,,
"",107,Boys Middle. School Sanda (P),Sanda,207080601,,,,578,494,1072,2,1,2
"",,,Sanda,207080606,,,,379,294,673,,,
"",,,,TOTAL,,,,957,788,1745,,,
"",108,Girls Pry School Sanda Colony(P),Sanda,207080602,,,,213,168,381,1,1,2
"",,,Sanda,207080603,,,,390,297,687,,,
"",,,,TOTAL,,,,603,465,1068,,,
"",109,Boys Middle. School Sanda (P),Sanda,207080604,,,,79,63,142,1,1,2
Sanda,207080605,,,,394,276,670,,,,,,
"",TOTAL,,,,473,339,812,,,,,,
124/WB,207080902,,,,286,0,286,,,,,,
124/WB,207080903,,,,622,0,622,,,,,,
"",,,,TOTAL,,,,1466,0,1466,,,
"",111,Boys Pry School 124/WB(P)(Female),124/WB,207080902,,,,0,231,231,0,2,2
"",,,124/WB,207080903,,,,0,414,414,,,
"",,,124/WB,207080904,,,,0,507,507,,,
"",,,124/WB,TOTAL,,,,0,1152,1152,,,
"",112,Boys Pry. School  142/WB(P),142/WB,207080909,,,,380,325,705,1,1,2
