"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
"",,-,-,ننکاری بازار,110230304,,65,0,65,0,0,0
Total,,,,,,,1025,0,"1,025",2,0,2
150,"MC Boys School, Workshopi MohallahNear UC Office No. 38 (Female)",-,-,"محلہ ورکشاپی، گوالہروڈ",110230302,,0,561,561,0,0,0
Total,,,,,,,0,561,561,0,1,1
151,"MC Boys School, Workshopi MohallahNear UC Office No. 38 (Female)",-,-,"محلہ ورکشاپی، گلینمبر 1",110230303,,0,825,825,0,0,0
"",,-,-,ننکاری بازار,110230304,,0,56,56,0,0,0
Total,,,,,,,0,881,881,0,2,2
152,"MC Girls School, Kashmiri Bazar (Female)",-,-,گنجمنڈی,110230305,,0,336,336,0,0,0
"",,-,-,رتہ روڈ، ناولٹی سینیما,110230306,,0,262,262,0,0,0
Total,,,,,,,0,598,598,0,1,1
153,"Govt. Shimla Islamia High School, NamakMandi (Male)",-,-,گنجمنڈی,110230305,,413,0,413,0,0,0
"",,-,-,رتہ روڈ، ناولٹی سینیما,110230306,,450,0,450,0,0,0
Total,,,,,,,863,0,863,2,0,2
154,"District Education Office (Female) ,GhaziRoad (Male)",-,-,"غزنی کالونی، محلہاکال گڑھ، گلشن آباد",110230401,,0,0,0,0,0,0
"",,-,-,"غزنی کالونی، محلہاکال گڑھ، گلشن آباد",110230407,,0,0,0,0,0,0
Total,,,,,,,0,0,0,0,0,0
155,"Govt. Girls Higher Secondary SchoolNo.1,Bagh Sardaran (Female)",-,-,"غزنی کالونی، محلہاکال گڑھ، گلشن آباد",110230407,,0,123,123,0,0,0
"",,-,-,اکال گڑھ، گلشن آباد,110230402,,0,1001,"1,001",0,0,0
"",,-,-,اکال گڑھ، گلشن آباد,110230408,,0,53,53,0,0,0
Total,,,,,,,0,1798,"1,798",0,3,3
156,"District Education Office (Male), BaghSardran (Male)",-,-,اکال گڑھ، گلشن آباد,110230402,,1113,0,"1,113",0,0,0
"",,-,-,اکال گڑھ، گلشن آباد,110230408,,76,0,76,0,0,0
Total,,,,,,,1189,0,"1,189",2,0,2
157,"Govt. Girls Higher Secondary SchoolNo.1,Bagh Sardaran (Female)",-,-,"کشمیر کالونی / اکالگڑھ",110230403,,0,454,454,0,0,0
"",,-,-,"کشمیرکالونی/ اکال گڑھ، گلشن آباد",110230404,,0,687,687,0,0,0
Total,,,,,,,0,1141,"1,141",0,2,2
158,"District Education Office (Male), BaghSardran (Male)",-,-,"کشمیر کالونی / اکالگڑھ",110230403,,542,0,542,0,0,0
"",,-,-,"کشمیرکالونی/ اکال گڑھ، گلشن آباد",110230404,,745,0,745,0,0,0
Total,,,,,,,1287,0,"1,287",2,0,2
159,"Govt. Girls Higher Secondary School No.1, Bagh Sardaran (Female)",-,-,گلشن آباد، اکال گڑھ,110230405,,0,493,493,0,0,0
"",,-,-,"گلشن آباد، اکال گڑھ  ،گلی نمبر31-30",110230406,,0,834,834,0,0,0
"",,-,-,ڈھوک دلال، شاہ آباد,110230501,,0,575,575,0,0,0
Total,,,,,,,0,1902,"1,902",0,3,3
160,Govt Girls HSS Bagh Sardara (Male),-,-,گلشن آباد، اکال گڑھ,110230405,,523,0,523,0,0,0
"",,-,-,"گلشن آباد، اکال گڑھ  ،گلی نمبر31-30",110230406,,962,0,962,0,0,0
"",,-,-,ڈھوک دلال، شاہ آباد,110230501,,636,0,636,0,0,0
Total,,,,,,,2121,0,"2,121",4,0,4
161,Govt Girls HSS Bagh Sardara (Male),-,-,"ڈھوک دلال، شگفتہکالونی",110230502,,580,0,580,0,0,0
"",,-,-,ڈھوک دلال، بلال روڈ,110230503,,816,0,816,0,0,0
"",,-,-,ڈھوک دلال، بلال روڈ,110230508,,39,0,39,0,0,0
Total,,,,,,,1435,0,"1,435",3,0,3
162,"Ditrict Officer (Health) Rawalpindi Sec-IVKhyban-e-Sir Syed (Female)",-,-,"ڈھوک دلال، شگفتہکالونی",110230502,,0,522,522,0,0,0
"",,-,-,ڈھوک دلال، بلال روڈ,110230503,,0,698,698,0,0,0
"",,-,-,ڈھوک دلال، بلال روڈ,110230508,,0,33,33,0,0,0
"",,-,-,غزنی کالونی، مجاہد آباد,110230504,,0,731,731,0,0,0
"",,-,-,غزنی کالونی، مجاہد آباد,110230509,,0,9,9,0,0,0
Total,,,,,,,0,1993,"1,993",0,3,3
163,Govt. Grils High School Safdarabad (Male),-,-,غزنی کالونی، مجاہد آباد,110230509,,18,0,18,0,0,0
"",,-,-,صفدرآباد، ڈھوک دلال,110230505,,413,0,413,0,0,0
Total,,,,,,,1251,0,"1,251",2,0,2
164,"PEPCO Office old Wapda OfficeSafarabad (Female)",-,-,صفدرآباد، ڈھوک دلال,110230505,,0,313,313,0,0,0
"",,-,-,"محلہ صفدر آباد، ڈھوکلال",110230506,,0,487,487,0,0,0
"",,-,-,"محلہ صفدر آباد، ڈھوکلال",110230510,,0,51,51,0,0,0
"",,-,-,محلہ صفدر آباد,110230507,,0,68,68,0,0,0
Total,,,,,,,0,919,919,0,2,2
165,Govt. girls High School Safdarabad (Male),-,-,"محلہ صفدر آباد، ڈھوکلال",110230506,,628,0,628,0,0,0
"",,-,-,"محلہ صفدر آباد، ڈھوکلال",110230510,,45,0,45,0,0,0
"",,-,-,محلہ صفدر آباد,110230507,,91,0,91,0,0,0
Total,,,,,,,764,0,764,2,0,2
"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated",,No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt Boys High School, Adyala(Combined)",اڈیالہ,110051201,-,-,,1106,942,"2,048",0,0,
Total,,,,,,,1106,942,"2,048",2,2,4
2,"Govt Boys High School, Adyala(Combined)(P)",اڈیالہ,110051202,-,-,,890,759,"1,649",0,0,0
"",,رکھ اڈیالہ,110051203,-,-,,0,0,0,0,0,0
Total,,,,,,,890,759,"1,649",2,2,4
3,"Govt Boys Primery School, Khasala(combined)(P)",خصالہ کلاں,110050801,-,-,,796,669,"1,465",0,0,0
Total,,,,,,,796,669,"1,465",2,1,3
4,"Govt. Girls Primary School, KhasalaKhurd (combined)(P)",خصالہ خورد,110050802,-,-,,658,555,"1,213",0,0,0
"",,چک علی مدد خان,110050803,-,-,,5,3,8,0,0,0
"",,چک علی مدد خان,110050804,-,-,,6,0,6,0,0,0
Total,,,,,,,669,558,"1,227",1,1,2
5,"Govt boys High School, Dhallah(combined)(P)",ڈھلہ,110050401,-,-,,420,403,823,0,0,0
"",,ڈھلہ,110050402,-,-,,383,331,714,0,0,0
Total,,,,,,,803,734,"1,537",2,2,4
6,(Combined)(P),بودیال,110050406,-,-,,246,190,436,0,0,0
"",,بودیال,110050407,-,-,,145,105,250,0,0,0
Total,,,,,,,473,368,841,1,1,2
7,"Govt. Girls Elementary School, Bodial(Combined)(P)",چھاوڑیاں,110050408,-,-,,132,130,262,0,0,0
"",,چھاوڑیاں,110050409,-,-,,181,183,364,0,0,0
"",,سود,110050403,-,-,,143,105,248,0,0,0
"",,سود,110050404,-,-,,196,153,349,0,0,0
Total,,,,,,,652,571,"1,223",1,1,2
8,"Govt Girls primery School, Banda Nagial(combined)(P)",بندہ نگیال,110050101,-,-,,450,442,892,0,0,0
"",,ڈھوک عبدالله,110050105,-,-,,372,266,638,0,0,0
"",,ڈھوک کریم بخش,110050106,-,-,,103,67,170,0,0,0
Total,,,,,,,925,775,"1,700",2,2,4
9,"Basic Health Unit, Hayal Dhamial(combined)(P)",حیال دھمیال / رینال,110050102,-,-,,109,120,229,0,0,0
"",,حیال دھمیال / رینال,110050107,-,-,,90,90,180,0,0,0
"",,حیال دھمیال / رینال,110050108,-,-,,86,46,132,0,0,0
"",,حیال دھمیال / رینال,110050109,-,-,,76,44,120,0,0,0
"",,حیال دھمیال / رینال,110050110,-,-,,48,44,92,0,0,0
"",,حیال دھمیال / رینال,110050111,-,-,,42,41,83,0,0,0
"",,حیال دھمیال / رینال,110050103,-,-,,211,185,396,0,0,0
"",,حیال دھمیال / رینال,110050112,-,-,,186,93,279,0,0,0
"",,حیال دھمیال / رینال,110050113,-,-,,78,96,174,0,0,0
Total,,,,,,,926,759,"1,685",2,2,4
10,"Basic Health Unit, Hayal Dhamial(combined)(P)",حیال دھمیال / رینال,110050104,-,-,,507,528,"1,035",0,0,0
"",,حیال دھمیال / رینال,110050114,-,-,,425,338,763,0,0,0
Total,,,,,,,932,866,"1,798",2,2,4
11,"Govt. Boys Primary School, Mohri Khatran(combined)(P)",موہڑی کھٹراں,110051001,-,-,,441,440,881,0,0,0
Total,,,,,,,441,440,881,1,1,2
12,"Govt. Girls Elementary School, Bajnial(combined)(P)",بجنیال,110051101,-,-,,364,346,710,0,0,0
"",,بجنیال,110051102,-,-,,196,190,386,0,0,0
"",,بجنیال,110051103,-,-,,304,296,600,0,0,0
Total,,,,,,,864,832,"1,696",2,2,4
13,"Govt. Girls Primary School Pind Ranjah(combined)(P)",بجنیال,110051104,-,-,,176,174,350,0,0,0
"",,بجنیال,110051105,-,-,,85,75,160,0,0,0
"",,بجنیال,110051106,-,-,,125,113,238,0,0,0
"",,غربال,110051107,-,-,,339,336,675,0,0,0
"",,رکھ پنڈرانجھا,110051108,-,-,,6,5,11,0,0,0
Total,,,,,,,731,703,"1,434",2,2,4
14,"Govt. High School, Pind Nasrullah(Male)(P)",پنڈ نصرالله,110050201,-,-,,301,0,301,0,0,0
"پنڈ نصرالله",110050202,-,-,,408,0,408,0,0,0,,
15,"Govt. High School, Pind Nasrullah(Male)(P)",چہان,110050203,-,-,,369,0,369,0,0,0
"",,چہان,110050206,-,-,,123,0,123,0,0,0
"",,برکت,110050204,-,-,,521,0,521,0,0,0
"",,پھامبڑہ,110050205,-,-,,153,0,153,0,0,0
Total,,,,,,,1166,0,"1,166",2,0,2
16,"Govt. High School, Pind Nasrullah(Female)(P)",پنڈ نصرالله,110050201,-,-,,0,294,294,0,0,0
"",,پنڈ نصرالله,110050202,-,-,,0,362,362,0,0,0
Total,,,,,,,0,656,656,0,1,1
17,"Govt. High School, Pind Nasrullah(Female)(P)",چہان,110050203,-,-,,0,343,343,0,0,0
"",,چہان,110050206,-,-,,,118,118,0,0,0
"",,برکت,110050204,-,-,,0,471,471,0,0,0
"",,پھامبڑہ,110050205,-,-,,0,145,145,0,0,0
Total,,,,,,,0,1077,"1,077",0,2,2
18,"Govt.Girls Middle School, Thalian(Male)(P)",ٹھلیاں,110050703,-,-,,676,0,676,0,0,0
"",,کٹاریاں,110050701,-,-,,258,0,258,0,0,0
Total,,,,,,,934,0,934,2,0,2
19,"Govt.Girls Middle School, Thalian(Female)(P)",ٹھلیاں,110050703,-,-,,0,578,578,0,0,0
"",,کٹاریاں,110050701,-,-,,0,222,222,0,0,0
Total,,,,,,,0,800,800,0,2,2
20,"Govt Boys Primery School, Ghariba(combined)(P)",غریبا,110050702,-,-,,672,526,"1,198",0,0,0
Total,,,,,,,672,526,"1,198",1,1,2
21,"Govt. Girls Primary School, Kot Kolian,(Comb) (P)",کوٹ کولیاں,110050704,-,-,,364,277,641,0,0,0
Total,,,,,,,364,277,641,1,1,2
22,"Govt. Boys Elementary School, Ranyal(Male)(P)",رنیال,110050601,-,-,,543,0,543,0,0,0
"",,رنیال,110050602,-,-,,290,0,290,0,0,0
"",,رنیال,110050603,-,-,,557,0,557,0,0,0
"",,رنیال,110050604,-,-,,369,0,369,0,0,0
Total,,,,,,,1759,0,"1,759",3,0,3
23,"Govt. Boys Elementary School, Ranyal(Female)(P)",رنیال,110050601,-,-,,0,426,426,0,0,0
"",,رنیال,110050602,-,-,,0,239,239,0,0,0
Total,,,,,,,0,665,665,0,1,1
24,"Govt. Boys Elementary School, Ranyal(Female)(P)",رنیال,110050603,-,-,,0,508,508,0,0,0
"",,رنیال,110050604,-,-,,0,379,379,0,0,0
Total,,,,,,,0,887,887,0,2,2
25,"Qandeel Elecmentry School, Ranyal(combined)(P)",کوہالہ کلاں,110050505,-,-,,351,297,648,0,0,0
"",,کوہالہ خورد,110050504,-,-,,180,142,322,0,0,0
"",,کوہالہ معافی,110050506,-,-,,231,177,408,0,0,0
Total,,,,,,,762,616,"1,378",2,1,3
"پینگ لڑ",110050606,-,-,,257,183,440,0,0,0,,
"",,پیلو,110050501,-,-,,258,187,445,0,0,0
Total,,,,,,,697,557,"1,254",1,1,2
27,"Govt. Boys Primary School, Raja HassuKhan (combined)(P)",مصریوٹ,110050502,-,-,,402,317,719,0,0,0
"",,مصریوٹ,110050503,-,-,,342,267,609,0,0,0
Total,,,,,,,744,584,"1,328",2,1,3
28,"Basic Health Unit Kolian Pur(combined)(P)",کولیاں پڑ,110050301,-,-,,102,103,205,0,0,0
"",,کولیاں پڑ,110050307,-,-,,82,52,134,0,0,0
Total,,,,,,,184,155,339,1,1,2
29,"Basic Health Unit Kolian Pur(combined)(P)",کولیاں پڑ,110050302,-,-,,400,302,702,0,0,0
"",,کالس,110050306,-,-,,95,81,176,0,0,0
Total,,,,,,,495,383,878,1,1,2
30,"Govt. Elementary School, Maira Kalan(combined)(P)",میرا کلاں,110050303,-,-,,473,416,889,0,0,0
"",,میرا کلاں,110050304,-,-,,457,396,853,0,0,0
Total,,,,,,,930,812,"1,742",2,2,4
31,"Govt. Girls Middle School, Maira Khenger(combined)(P)",میرا خورد / میرا کھینگر,110050305,-,-,,932,848,"1,780",0,0,0
Total,,,,,,,932,848,"1,780",2,2,4
32,"Govt.Boys High School, Chahan (Male)(P)",چہان,110050902,-,-,,869,0,869,0,0,0
"",,چہان,110050904,-,-,,478,0,478,0,0,0
Total,,,,,,,1347,0,"1,347",2,0,2
33,"Govt.Boys High School, Chahan(Female)(P)",چہان,110050902,-,-,,0,768,768,0,0,0
"",,چہان,110050904,-,-,,0,451,451,0,0,0
Total,,,,,,,0,1219,"1,219",0,2,2
34,"Govt.Girls Primery School, Dhoke Chahh,Chahan (combined)(P)",چہان,110050903,-,-,,411,360,771,0,0,0
"",,رکھ ڈونگی شمالی,110050905,-,-,,0,0,0,0,0,0
"",,رکھ ڈونگی جنوبی,110050906,-,-,,0,0,0,0,0,0
Total,,,,,,,411,360,771,1,1,2
35,"Govt Girls Primery School, Mandwal(combined)(P)",منداوال,110050901,-,-,,514,408,922,0,0,0
Total,,,,,,,514,408,922,1,1,2
36,"Govt Girls High School WahdatColony,Taxila (Male)(P).",-,-,وحدت کالونی,114010101,,353,0,353,0,0,0
"",,-,-,وحدت کالونی,114010102,,49,0,49,0,0,0
"",,-,-,وحدت کالونی,114010105,,381,0,381,0,0,0
Total,,,,,,,783,0,783,2,0,2
37,"Govt Girls High School WahdatColony,Taxila (Male)(P).",-,-,کوہسار کالونی1,114010103,,305,0,305,0,0,0
"",,-,-,کوہسار کالونی2,114010104,,114,0,114,0,0,0
"",,-,-,کوہسار کالونی2,114010106,,72,0,72,0,0,0
"",,-,-,کوہسار کالونی2,114010107,,29,0,29,0,0,0
Total,,,,,,,520,0,520,1,0,1
"-",-,وحدت کالونی,114010101,,0,354,354,0,0,0,,
"-",-,وحدت کالونی,114010102,,0,39,39,0,0,0,,
Total,,,,,,,0,736,736,0,2,2
39,"Govt Girls High School Wahdat Colony,Taxila (Female)(P).",-,-,کوہسار کالونی1,114010103,,0,282,282,0,0,0
"",,-,-,کوہسار کالونی2,114010104,,0,113,113,0,0,0
"",,-,-,کوہسار کالونی2,114010106,,0,68,68,0,0,0
"",,-,-,کوہسار کالونی2,114010107,,0,23,23,0,0,0
Total,,,,,,,0,486,486,0,1,1
40,"Govt Primary School, Dhoke Wajjan(Male)(P)",-,-,ٹمبر مارکیٹ کالونی,114010201,,113,0,113,0,0,0
"",,-,-,مسلم / حسین کالونی,114010202,,600,0,600,0,0,0
"",,-,-,محلہ واڑیاں,114010203,,43,0,43,0,0,0
"",,-,-,ریلوے کالونی,114010204,,284,0,284,0,0,0
Total,,,,,,,1040,0,"1,040",2,0,2
41,"Govt Primary School, Dhoke Wajjan(Male)(P)",-,-,حیدری ٹاؤن,114010205,,230,0,230,0,0,0
"",,-,-,حیدری ٹاؤن,114010208,,229,0,229,0,0,0
"",,-,-,ڈھوک وجن,114010206,,658,0,658,0,0,0
"",,-,-,کرم کمپلیکس,114010207,,44,0,44,0,0,0
Total,,,,,,,1161,0,"1,161",2,0,2
42,"Govt Girls Elementary School,Najaf AliShah(New) Dhoke Wajjan (Female)(P)",-,-,ٹمبر مارکیٹ کالونی,114010201,,0,101,101,0,0,0
"",,-,-,مسلم / حسین کالونی,114010202,,0,535,535,0,0,0
"",,-,-,محلہ واڑیاں,114010203,,0,43,43,0,0,0
"",,-,-,ریلوے کالونی,114010204,,0,314,314,0,0,0
Total,,,,,,,0,993,993,0,2,2
43,"Govt Girls Elementary School,Najaf AliShah(New) Dhoke Wajjan (Female)(P)",-,-,حیدری ٹاؤن,114010205,,0,182,182,0,0,0
"",,-,-,حیدری ٹاؤن,114010208,,0,202,202,0,0,0
"",,-,-,ڈھوک وجن,114010206,,0,632,632,0,0,0
"",,-,-,کرم کمپلیکس,114010207,,0,35,35,0,0,0
Total,,,,,,,0,1051,"1,051",0,2,2
44,"Govt Primary School, Bhair Darghai(Comb) (P)",-,-,بھڑ درگاہی,114020101,,522,510,"1,032",0,0,0
Total,,,,,,,522,510,"1,032",1,1,2
45,"Govt. High School, HIT Taxila Cantt(Male) (P)",-,-,"ایچ آئی ٹی، ایس  I,II",114020102,,142,0,142,0,0,0
"",,-,-,"ایچ آئی ٹی، ایس ،1ایس4",114020103,,380,0,380,0,0,0
"",,-,-,"پی سی ڈی، ای ٹائپ ،ہائی ٹیک",114020104,,87,0,87,0,0,0
Total,,,,,,,609,0,609,1,0,1
46,Govt High School HIT Taxila (Female)(P).,-,-,"ایچ آئی ٹی، ایس  I,II",114020102,,0,133,133,0,0,0
"",,-,-,"ایچ آئی ٹی، ایس ،1ایس4",114020103,,0,350,350,0,0,0
"",,-,-,"پی سی ڈی، ای ٹائپ ،ہائی ٹیک",114020104,,0,81,81,0,0,0
Total,,,,,,,0,564,564,0,1,1
"-",-,"ایچ آئی ٹی، ایس  I,III",114020201,,332,0,332,0,0,0,,
"",,-,-,ایچ آئی ٹی، ایس V,114020203,,223,0,223,0,0,0
"",,-,-,ایچ آئی ٹی، ایس  III,114020204,,110,0,110,0,0,0
Total,,,,,,,968,0,968,2,0,2
48,F.G Public High School Taxila (Female)(P),-,-,"ایچ آئی ٹی، ایس  I,III",114020201,,0,309,309,0,0,0
"",,-,-,ایچ آئی ٹی، ایس V,114020202,,0,282,282,0,0,0
"",,-,-,ایچ آئی ٹی، ایس V,114020203,,0,198,198,0,0,0
"",,-,-,ایچ آئی ٹی، ایس  III,114020204,,0,117,117,0,0,0
Total,,,,,,,0,906,906,0,2,2
49,"Govt Boys Primary Karam Wal School,Taxila (Comb) (T)",-,-,شاہ پور، گلاب ٹاؤن,114020301,,548,470,"1,018",0,0,0
"",,-,-,کرموال,114020305,,594,503,"1,097",0,0,0
Total,,,,,,,1142,973,"2,115",2,2,4
50,"Govt. High School, HIT Taxila Cantt(Male) (P)",-,-,ایچ آئی ٹی، ایس  VI,114020302,,249,0,249,0,0,0
"",,-,-,ایچ آئی ٹی، ایس  VI,114020303,,168,0,168,0,0,0
"",,-,-,ایچ آئی ٹی، ایس  VII,114020304,,185,0,185,0,0,0
Total,,,,,,,602,0,602,1,0,1
51,"Govt. High School, HIT Taxila Cantt(Female) (P)",-,-,ایچ آئی ٹی، ایس  VI,114020302,,0,241,241,0,0,0
"",,-,-,ایچ آئی ٹی، ایس  VI,114020303,,0,130,130,0,0,0
"",,-,-,ایچ آئی ٹی، ایس  VII,114020304,,0,160,160,0,0,0
Total,,,,,,,0,531,531,0,1,1
52,"Govt Boys Middle School Chokhar.(combined)(P)",چھوکر,113010101,-,-,,567,533,"1,100",0,0,0
"",,چھوکر بھیرہ,113010102,-,-,,171,170,341,0,0,0
Total,,,,,,,738,703,"1,441",2,2,4
53,"Govt Girls Elementary School Chokhar,(combined)(P)",ڈھوک جنڈو,113010104,-,-,,805,661,"1,466",0,0,0
Total,,,,,,,805,661,"1,466",2,1,3
54,"Govt Boys Primary School Bhadana.(combined)(P)",بھڈانہ خورد,113010103,-,-,,357,281,638,0,0,0
Total,,,,,,,357,281,638,1,1,2
55,"Govt. Primary School, Paswal, Taxila,(Comb) (P)",پسوال,113010105,-,-,,331,244,575,0,0,0
Total,,,,,,,331,244,575,1,1,2
56,"Govt. Boys Primary School, Dhoke AksarKhan, (Comb) (P)",ڈھوک پوڑ,113010201,-,-,,270,223,493,0,0,0
Total,,,,,,,270,223,493,1,1,2
57,"Govt. Boys Primary School, Dhoke AksarKhan, (Comb) (P)",ڈھوک پوڑ,113010202,-,-,,420,340,760,0,0,0
Total,,,,,,,420,340,760,1,1,2
58,Govt Boys High School Wanni (Male)(P),حکلہ,113010203,-,-,,65,0,65,0,0,0
"",,ونی,113010204,-,-,,509,0,509,0,0,0
"",,ونی,113010205,-,-,,328,0,328,0,0,0
Total,,,,,,,902,0,902,2,0,2
"ونی",113010206,-,-,,357,0,357,0,0,0,,
"",,نوگزی,113010208,-,-,,277,0,277,0,0,0
Total,,,,,,,841,0,841,2,0,2
60,Govt Boys High School Wanni (Female)(P),حکلہ,113010203,-,-,,0,67,67,0,0,0
"",,ونی,113010204,-,-,,0,477,477,0,0,0
"",,ونی,113010205,-,-,,0,262,262,0,0,0
Total,,,,,,,0,806,806,0,2,2
61,Govt Boys High School Wanni (Female)(P),ونی,113010206,-,-,,0,329,329,0,0,0
"",,ونی,113010207,-,-,,0,203,203,0,0,0
"",,نوگزی,113010208,-,-,,0,264,264,0,0,0
Total,,,,,,,0,796,796,0,2,2
62,"Govt Girls Primary School, Pind Gondal,(combined)(P)",پنڈ گوندل,113010301,-,-,,505,434,939,0,0,0
"",,پنڈ گوندل,113010302,-,-,,409,298,707,0,0,0
"",,پنڈ گوندل,113010303,-,-,,197,166,363,0,0,0
Total,,,,,,,1111,898,"2,009",2,2,4
63,"Wahdat Public School, New WahdatTown, (Comb) (P)",پنڈ گوندل,113010304,-,-,,335,292,627,0,0,0
"",,پنڈ گوندل,113010305,-,-,,215,193,408,0,0,0
Total,,,,,,,550,485,"1,035",1,1,2
64,"Govt Boys Priamry School Salar Gah(Male)(P)",سالار گاہ ، ڈھوک دھرکالہ,113010401,-,-,,249,0,249,0,0,0
"",,سالار گاہ,113010402,-,-,,663,0,663,0,0,0
"",,سالار گاہ,113010403,-,-,,307,0,307,0,0,0
Total,,,,,,,1219,0,"1,219",2,0,2
65,"Govt Girls Priamry School Salar Gah(Female)(P)",سالار گاہ ، ڈھوک دھرکالہ,113010401,-,-,,0,166,166,0,0,0
"",,سالار گاہ,113010402,-,-,,0,561,561,0,0,0
"",,سالار گاہ,113010403,-,-,,0,252,252,0,0,0
Total,,,,,,,0,979,979,0,2,2
66,"Govt Boys Elementary School AnwarabadGhari Skindar (Male)(P)",گڑھی سکندر,113010404,-,-,,306,0,306,0,0,0
"",,گڑھی سکندر,113010405,-,-,,189,0,189,0,0,0
"",,"گڑھی سکندر، تربیلاکالونی احاطہ",113010406,-,-,,467,0,467,0,0,0
"",,"گڑھی سکندر، تربیلاکالونی احاطہ",113010407,-,-,,682,0,682,0,0,0
Total,,,,,,,1644,0,"1,644",3,0,3
67,"Govt Boys Elementary School AnwarabadGhari Skindar (Male)(P)",گڑھی سکندر,113010408,-,-,,339,0,339,0,0,0
"",,"گڑھی سکندر، تربیلاکالونی احاطہ",113010409,-,-,,271,0,271,0,0,0
Total,,,,,,,610,0,610,1,0,1
"گڑھی سکندر",113010404,-,-,,0,242,242,0,0,0,,
"گڑھی سکندر",113010405,-,-,,0,174,174,0,0,0,,
"",,"گڑھی سکندر، تربیلاکالونی احاطہ",113010407,-,-,,0,463,463,0,0,0
Total,,,,,,,0,1330,"1,330",0,2,2
69,"Govt Girls Primary School Ahata GhariSkindar, (Female)(P)",گڑھی سکندر,113010408,-,-,,0,268,268,0,0,0
"",,"گڑھی سکندر، تربیلاکالونی احاطہ",113010409,-,-,,0,222,222,0,0,0
Total,,,,,,,0,490,490,0,1,1
70,"Govt Boys Middle School Bhalar Top(Male)(P)",بھلڑ توپ,113010410,-,-,,304,0,304,0,0,0
"",,بھلڑ توپ,113010411,-,-,,235,0,235,0,0,0
Total,,,,,,,539,0,539,1,0,1
71,"Govt Boys Middle School Bhalar Top(Male)(P)","عثمان کھٹڑ، ایف ٹائپ ایچایم سی ٹیکسلا",113010414,-,-,,1066,0,"1,066",0,0,0
"",,"عثمان کھٹڑ، ایف ٹائپ ایچایم سی ٹیکسلا",113010422,-,-,,1012,0,"1,012",0,0,0
"",,بھلڑ توپ,113010411,-,-,,235,0,235,0,0,0
Total,,,,,,,2313,0,"2,313",4,0,4
72,"Govt Girls Middle School Bhalar Top(Female)(P)","عثمان کھٹڑ، ایف ٹائپ ایچایم سی ٹیکسلا",113010414,-,-,,0,982,982,0,0,0
"",,"عثمان کھٹڑ، ایف ٹائپ ایچایم سی ٹیکسلا",113010422,-,-,,0,842,842,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010415,-,-,,0,154,154,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010423,-,-,,0,73,73,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010424,-,-,,0,56,56,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010425,-,-,,0,77,77,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010426,-,-,,0,83,83,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010427,-,-,,0,29,29,0,0,0
Total,,,,,,,0,2296,"2,296",0,4,4
73,"Govt Girls Middle School Bhalar Top(Female)(P)",بھلڑ توپ,113010410,-,-,,0,262,262,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010415,-,-,,0,154,154,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010423,-,-,,0,73,73,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010424,-,-,,0,56,56,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010425,-,-,,0,77,77,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010426,-,-,,0,83,83,0,0,0
"",,عثمان کھٹڑ، رہبرکالونی,113010427,-,-,,0,29,29,0,0,0
Total,,,,,,,0,734,734,0,2,2
74,"Marry Public School Rahber Colony,Taxila (Male)",بھلڑ توپ,113010412,-,-,,515,0,515,0,0,0
"",,بھلڑ توپ,113010413,-,-,,456,0,456,0,0,0
Total,,,,,,,971,0,971,2,0,2
75,"I.M Ishaq Public School Rahber Colony,Taxila (Female)",بھلڑ توپ,113010412,-,-,,0,435,435,0,0,0
"",,بھلڑ توپ,113010413,-,-,,0,384,384,0,0,0
Total,,,,,,,0,819,819,0,2,2
"عثمان کھٹڑ، رہبرکالونی",113010416,-,-,,343,264,607,0,0,0,,
Total,,,,,,,1015,826,"1,841",2,2,4
77,"Govt. High School, Usman Khattar, (Male)(P)",عثمان کھٹڑ، مشرقی,113010418,-,-,,691,0,691,0,0,0
"",,عثمان کھٹڑ,113010419,-,-,,105,0,105,0,0,0
Total,,,,,,,796,0,796,2,0,2
