"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
"",,بیر گراں,118010406,-,-,,214,165,379,0,0,0
"",,رکھ بیرگراں,118010417,-,-,,0,0,0,0,0,0
Total,,,,,,,391,329,720,1,1,2
68,Govt Boys Primary School Beer Gran.,بیر گراں,118010407,-,-,,266,215,481,0,0,0
"بیر گراں",118010408,-,-,,276,218,494,0,0,0,,
69,Govt Boys Primary School Ghoie.,گھوئی,118010410,-,-,,580,501,"1,081",0,0,0
"",,گھوئی,118010411,-,-,,163,153,316,0,0,0
"",,گھوئی,118010412,-,-,,235,209,444,0,0,0
"",,رکھ گھوئی,118010418,-,-,,0,0,0,0,0,0
Total,,,,,,,978,863,"1,841",2,2,4
70,Govt Girls High School Hilla Keri.,ہوکڑہ کیر,118010413,-,-,,715,636,"1,351",0,0,0
"",,ہوکڑہ کیر,118010414,-,-,,272,236,508,0,0,0
Total,,,,,,,987,872,"1,859",2,2,4
71,Govt. B. Primary School Hokra Keri Barian,ہوکڑہ کیر,118010415,-,-,,276,249,525,0,0,0
"",,رکھ کیسراں,118010420,-,-,,144,144,288,0,0,0
Total,,,,,,,420,393,813,1,1,2
72,Govt Boys Primary School Keri Narala.,ہوکڑہ کیر,118010416,-,-,,445,414,859,0,0,0
"",,رکھ ہوکڑہ کیر,118010419,-,-,,0,0,0,0,0,0
Total,,,,,,,445,414,859,1,1,2
73,Govt Girls High School Hilla Keri.,بیر گراں,118010409,-,-,,704,582,"1,286",0,0,0
Total,,,,,,,704,582,"1,286",2,1,3
74,Govt Boys Primary School Aura.,تپہ کیر,118010608,-,-,,423,348,771,0,0,0
"",,اوڑہ,118010609,-,-,,281,237,518,0,0,0
"",,اوڑہ,118010610,-,-,,4,3,7,0,0,0
Total,,,,,,,708,588,"1,296",2,1,3
75,Govt Boys Primary School Khani Tak.,کھنی طاق,118010607,-,-,,644,528,"1,172",0,0,0
"",,کھنی طاق,118010606,-,-,,387,312,699,0,0,0
"",,رکھ کھنی تاک,118010716,-,-,,0,0,0,0,0,0
Total,,,,,,,"1,031",840,"1,871",2,2,4
76,Govt Girls Primary School Bun Kotal.,بن کوٹل,118010706,-,-,,308,247,555,0,0,0
"",,بن کوٹل,118010707,-,-,,275,244,519,0,0,0
"",,بن کوٹل,118010708,-,-,,252,229,481,0,0,0
Total,,,,,,,835,720,"1,555",2,2,4
77,Govt Boys Primary School Sandhian.,سندھیاں,118010701,-,-,,466,343,809,0,0,0
"",,سندھیاں,118010702,-,-,,211,143,354,0,0,0
Total,,,,,,,677,486,"1,163",1,1,2
78,Govt Boys Primary School Sandhian.,سندھیاں,118010703,-,-,,596,516,"1,112",0,0,0
Total,,,,,,,596,516,"1,112",1,1,2
79,Govt Boys High School Darya Gali.,دریا گلی,118010704,-,-,,301,275,576,0,0,0
"",,دریا گلی,118010705,-,-,,502,487,989,0,0,0
Total,,,,,,,803,762,"1,565",2,2,4
80,Govt Boys High School Barian,مسوٹ,118010709,-,-,,275,270,545,0,0,0
Total,,,,,,,275,270,545,1,1,2
81,Govt Boys High School Barian,مسوٹ,118010710,-,-,,852,771,"1,623",0,0,0
Total,,,,,,,852,771,"1,623",2,2,4
Total,,,,,,,931,792,"1,723",2,2,4
83,Govt Boys Middle School Masoot.,مسوٹ,118010712,-,-,,397,341,738,0,0,0
"",,رکھ مسوٹ,118010717,-,-,,0,0,0,0,0,0
Total,,,,,,,397,341,738,1,1,2
84,"Govt Girls High School Chitra Donga(Male).",مسوٹ,118010713,-,-,,344,0,344,0,0,0
"",,مسوٹ,118010714,-,-,,211,0,211,0,0,0
"",,مسوٹ,118010715,-,-,,357,0,357,0,0,0
Total,,,,,,,912,0,912,2,0,2
85,"Govt Girls High School Chitra Donga(Female).",مسوٹ,118010713,-,-,,0,325,325,0,0,0
"",,مسوٹ,118010714,-,-,,0,180,180,0,0,0
"",,مسوٹ,118010715,-,-,,0,314,314,0,0,0
Total,,,,,,,0,819,819,0,2,2
86,Govt Boys Elementry School Dhar Jawa.,دھارجاوہ,118010814,-,-,,285,237,522,0,0,0
"",,رکھ دھارجاوا,118010123,-,-,,0,0,0,0,0,0
Total,,,,,,,285,237,522,1,1,2
87,Govt Girls Primary School Dhar Jawa.,دھارجاوہ,118010810,-,-,,851,700,"1,551",0,0,0
"",,دھارجاوہ,118010811,-,-,,303,277,580,0,0,0
Total,,,,,,,"1,154",977,"2,131",2,2,4
88,MC Boys School Hill Dalho.,دھارجاوہ,118010815,-,-,,608,476,"1,084",0,0,0
"",,کوہ مری دیہاتی,118010816,-,-,,1,2,3,,,0
"",,کوہ مری دیہاتی,118010817,-,-,,517,386,903,0,0,0
"",,مری بروری,118010818,-,-,,0,0,0,0,0,0
Total,,,,,,,"1,126",864,"1,990",2,2,4
89,G. Boys Primary Schoool Bansra Gali.,پٹھلی,118010806,-,-,,693,542,"1,235",0,0,0
"",,پٹھلی,118010807,-,-,,337,297,634,0,0,0
Total,,,,,,,"1,030",839,"1,869",2,2,4
90,Govt Boys Primary School Pithli.,0,118010804,-,-,,0,0,0,0,0,0
"",,پٹھلی,118010805,-,-,,728,621,"1,349",0,0,0
Total,,,,,,,728,621,"1,349",2,1,3
91,MC Boys School Ahata Noor Khan.,دھارجاوہ,118010813,-,-,,960,926,"1,886",0,0,0
Total,,,,,,,960,926,"1,886",2,2,4
92,Govt Boys High School Ghora Gali-1,گھوڑا گلی,118010801,-,-,,629,535,"1,164",0,0,0
Total,,,,,,,629,535,"1,164",1,1,2
93,Govt Boys High School Ghora Gali-1,گھوڑا گلی,118010802,-,-,,811,716,"1,527",0,0,0
Total,,,,,,,811,716,"1,527",2,2,4
94,Govt Boys High School Ghora Gali-2,گھوڑا گلی,118010803,-,-,,131,119,250,0,0,0
"",,رکھ گھوڑا گلی,118010125,-,-,,0,0,0,0,0,0
Total,,,,,,,131,119,250,1,1,2
95,"Govt Boys Primary School NumbBehramal.",نمب بہرہ مال,118010808,-,-,,345,283,628,0,0,0
"نمب بہرہ مال",118010809,-,-,,332,299,631,0,0,0,,
96,"Govt Boys Primary School Dasana BaglaNumbal",نمبل,118020601,-,-,,541,435,976,0,0,0
Total,,,,,,,541,435,976,1,1,2
97,"Govt Boys Primary School Dasana BaglaNumbal",نمبل,118020602,-,-,,320,274,594,0,0,0
"",,نمبل,118020622,-,-,,130,103,233,0,0,0
"",,نمبل,118020603,-,-,,398,323,721,0,0,0
Total,,,,,,,848,700,"1,548",2,1,3
98,Govt Girls Primary School Numbal.,نمبل,118020604,-,-,,191,135,326,0,0,0
"",,نمبل,118020605,-,-,,260,193,453,0,0,0
"",,نمبل,118020623,-,-,,71,62,133,0,0,0
"",,نمبل,118020606,-,-,,132,105,237,0,0,0
Total,,,,,,,654,495,"1,149",1,1,2
99,Govt Boys Primary School Numbal.,نمبل,118020607,-,-,,201,174,375,0,0,0
"",,نمبل,118020608,-,-,,274,223,497,0,0,0
Total,,,,,,,475,397,872,1,1,2
100,Govt Boys High School Sanioh.,سنیوہ,118010909,-,-,,384,316,700,0,0,0
"",,سنیوہ,118010910,-,-,,469,363,832,0,0,0
Total,,,,,,,853,679,"1,532",2,2,4
101,Govt Boys High School Sanioh.,سنیوہ,118010911,-,-,,331,244,575,0,0,0
"",,سنیوہ,118010912,-,-,,343,278,621,0,0,0
"",,رکھ سنیوہ,118020621,-,-,,0,0,0,0,0,0
Total,,,,,,,674,522,"1,196",2,1,3
102,Govt Boys Middle School Lakot.,لوکوٹ,118020616,-,-,,284,236,520,0,0,0
"",,لوکوٹ,118020617,-,-,,287,230,517,0,0,0
"",,لوکوٹ,118020618,-,-,,196,150,346,0,0,0
Total,,,,,,,767,616,"1,383",2,1,3
103,Govt Boys Middle School Lakot.,ڈنہ آوائن,118020610,-,-,,217,182,399,0,0,0
"",,ڈنہ آوائن,118020611,-,-,,327,258,585,0,0,0
Total,,,,,,,544,440,984,1,1,2
104,Govt Boys Primary School Khujat.,کھجٹ,118020615,-,-,,246,203,449,0,0,0
Total,,,,,,,246,203,449,1,1,2
105,Govt.Boys Primary School Bagla Numbal.,نمبل,118020609,-,-,,77,71,148,0,0,0
"",,نمبل,118020624,-,-,,33,29,62,0,0,0
Total,,,,,,,110,100,210,1,1,2
106,Govt Elementry School Musyari.,مسیاڑی,118020501,-,-,,215,182,397,0,0,0
"",,مسیاڑی,118020506,-,-,,377,341,718,0,0,0
Total,,,,,,,592,523,"1,115",1,1,2
107,Govt Girls Elementry School Musyari.,مسیاڑی,118020504,-,-,,313,282,595,0,0,0
"",,مسیاڑی,118020505,-,-,,241,215,456,0,0,0
Total,,,,,,,554,497,"1,051",1,1,2
"",,مسیاڑی,118020503,-,-,,236,194,430,0,0,0
Total,,,,,,,409,350,759,1,1,2
109,"Govt Boys Primary School MoharaBatnara.",بڑاہوتر,118020507,-,-,,361,299,660,0,0,0
"",,بڑاہوتر,118020524,-,-,,94,85,179,0,0,0
