1,2,3,,4,5,6,,7,,8,9,,10,,11,
"","Basti Bindra, Bahawalpur (Male)",Nawaz Colony,,,,,,,
"",,Nawaz Colony,239080104,296,0,296,,,
"",,Bashir Shah,239080501,111,0,111,,,
"",,Colony,,,,,,,
"",,,,545,0,545,,,
50,"Govt Girls Elementary School,","Nadeem Abad,",239080103,0,133,133,0,1,1
"","Bindra, Bahawalpur (Female)",Nawaz Colony,,,,,,,
"",,Nawaz Colony,239080104,0,248,248,,,
"",,Bashir Shah,239080501,0,88,88,,,
"",,Colony,,,,,,,
"",,,,0,469,469,,,
51,"Girls Girls Primary School, Nazir",Nazir Abad,239090304,52,0,52,4,0,4
"","Abad Colony, Bahawalpur (Male)",Bismillah Colony,239090305,419,0,419,,,
"",,Nazir Abad,239090306,567,0,567,,,
"",,Bismillah Colony,239090308,192,0,192,,,
"",,Allah Abad,239090502,81,0,81,,,
"",,"Colony, Basti",,,,,,,
"",,Bindra,,,,,,,
"",,Usman Colony,239090503,265,0,265,,,
"",,Nazir Abad,239090505,90,0,90,,,
"",,Allah Abad,239090603,169,0,169,,,
"",,Colony,,,,,,,
"",,Allah Abad,,,,,,,
"",,Colony,,,,,,,
"",,Allah Abad,239090604,177,0,177,,,
"",,Colony,,,,,,,
"",,Allah Abad,239090605,122,0,122,,,
"",,Colony,,,,,,,
"",,,,2134,0,2134,,,
52,"Govt Boys Primary School, Javed",Nazir Abad,239090304,0,46,46,0,3,3
"",Colony (Female),Bismillah Colony,239090305,0,390,390,,,
"",,Nazir Abad,239090306,0,485,485,,,
"",,Bismillah Colony,239090308,0,129,129,,,
"",,Allah Abad,239090502,0,60,60,,,
"",,"Colony, Basti",,,,,,,
"",,Bindra,,,,,,,
"",,Usman Colony,239090503,0,212,212,,,
"",,Nazir Abad,239090505,0,67,67,,,
"",,Allah Abad,239090603,0,110,110,,,
"",,Colony,,,,,,,
"",,Allah Abad,239090604,0,113,113,,,
"",,Colony,,,,,,,
"",,Allah Abad,239090605,0,87,87,,,
"",,Colony,,,,,,,
"",,,,0,1699,1699,,,
53,Office Union Council No.10 Nazir,Javed Colony,239090402,900,0,900,3,0,3
"","Abad Colony, Bahawalpur (Male)","Javed Colony,",239090403,474,0,474,,,
"",,Basti Ghous Bux,,,,,,,
"",,Basti Veeslan,239090703,300,0,300,,,
"",,Basti Veeslan,239090705,61,0,61,,,
"",,,,1735,0,1735,,,
54,"Govt Boys Primary School, Basti",Javed Colony,239090402,0,707,707,0,3,3
"",Veeslan (Female),"Javed Colony,",239090403,0,364,364,,,
"",,Basti Ghous Bux,,,,,,,
"",,Basti Veeslan,239090703,0,281,281,,,
"",,Basti Veeslan,239090705,0,55,55,,,
"",,,,0,1407,1407,,,
55,"Islamia Elementary School, Basti","Basti Karna, Aziz",239090206,722,0,722,4,0,4
"",Ghous Bakhsh (Male),Abad,,,,,,,
"",,"Basti Karna, Aziz",239090208,25,0,25,,,
"",,Abad,,,,,,,
"",,Aziz Abad,239090301,268,0,268,,,
"",,"Muslim Colony,",239090302,537,0,537,,,
"",,Qasim Colony,,,,,,,
"",,Ismail Town,239090303,272,0,272,,,
"",,"Muslim Colony,",239090307,80,0,80,,,
"",,Qasim Colony,,,,,,,
"",,,,1904,0,1904,,,
56,"Govt Girls Primary School, Basti","Basti Karna, Aziz",239090206,0,653,653,0,3,3
"","Farid Abad, Ghous Bakhsh",Abad,,,,,,,
"",(Female),"Basti Karna, Aziz",239090208,0,15,15,,,
"",,Abad,,,,,,,
"",,Aziz Abad,239090301,0,238,238,,,
"",,"Muslim Colony,",239090302,0,377,377,,,
"",,Qasim Colony,,,,,,,
"",,Ismail Town,239090303,0,225,225,,,
"",,"Muslim Colony,",239090307,0,91,91,,,
"",,Qasim Colony,,,,,,,
"",,,,0,1599,1599,,,
57,"Islamia Elementary School, Basti","Ali Hassan Town,",239090401,385,0,385,3,0,3
"",Ghous Bakhsh (Male)  116,Basti Ghous Bux,,,,,,,
"",,Basti Ghous Bux,,,,,,,
"",,Ajmairi Town,239090404,165,0,165,,,
"",,Basti Ghous Bux,239090405,297,0,297,,,
"",,"Jaffari Town,",239090406,589,0,589,,,
"",,Band Islampura,,,,,,,
"",,"Jaffari Town,",239090407,108,0,108,,,
"",,Band Islampura,,,,,,,
"",,,,1544,0,1544,,,
58,"Govt Girls Primary School, Basti","Ali Hassan Town,",239090401,0,311,311,0,2,2
"","Farid Abad, Ghous Bakhsh",Basti Ghous Bux,,,,,,,
"",(Female) 117,,,,,,,,
"",,Ajmairi Town,239090404,0,119,119,,,
"",,Basti Ghous Bux,239090405,0,255,255,,,
"",,"Jaffari Town,",239090406,0,391,391,,,
"",,Band Islampura,,,,,,,
"",,"Jaffari Town,",239090407,0,135,135,,,
"",,Band Islampura,,,,,,,
"",,,,0,1211,1211,,,
59,Govt Boys Primary School Central,"Basti Karna,",239090204,531,0,531,3,0,3
"","Jail, Bahawalpur (Male)",Faisal Bagh,,,,,,,
"",,"Nishat Colony,",239090205,494,0,494,,,
"",,Basti Karna,,,,,,,
"",,"Nishat Colony,",239090207,480,0,480,,,
"",,Basti Karna,,,,,,,
"",,,,1505,0,1505,,,
60,"MC Girls Primary School, Central","Basti Karna,",239090204,0,444,444,0,2,2
"","Jail, Bahawalpur (Female)",Faisal Bagh,,,,,,,
"",,"Nishat Colony,",239090205,0,432,432,,,
"",,Basti Karna,,,,,,,
"",,"Nishat Colony,",239090207,0,381,381,,,
"",,Basti Karna,,,,,,,
"",,,,0,1257,1257,,,
61,Govt SD High School (Right,"Balouch Colony,",239110403,98,0,98,2,0,2
"","Portion), Bahawalpur (Male)",Gulshan Farid,,,,,,,
"",,"Anwar Colony,",239110404,395,0,395,,,
"",,Faisal Colony,,,,,,,
"",,"Anwar Colony,",239110406,88,0,88,,,
"",,Faisal Colony,,,,,,,
"",,,,581,0,581,,,
62,Govt SD High School (Left,"Balouch Colony,",239110403,0,72,72,0,2,2
"","Portion), Bahawalpur (Female)",Gulshan Farid,,,,,,,
"",,"Anwar Colony,",239110404,0,365,365,,,
"",,Faisal Colony,,,,,,,
"",,"Anwar Colony,",239110406,0,60,60,,,
"",,Faisal Colony,,,,,,,
"",,,,0,497,497,,,
63,Govt Vocational Institute (Right,Fouji Basti,239110401,293,0,293,2,0,2
"","Portion), Bahawalpur. (Male)",Gharbi,,,,,,,
"",,"Sadar Pulli, Gari",239110402,176,0,176,,,
"",,Baan,,,,,,,
"",,Fouji Basti,239110405,424,0,424,,,
"",,Gharbi,,,,,,,
"",,,,893,0,893,,,
64,Govt Vocational Institute (Left,Fouji Basti,239110401,0,288,288,0,2,2
"","Portion), Bahawalpur. (Female)",Gharbi,,,,,,,
"",,"Sadar Pulli, Gari",239110402,0,122,122,,,
"",,Baan,,,,,,,
"",,Fouji Basti,239110405,0,358,358,,,
"",,Gharbi,,,,,,,
"",,,,0,768,768,,,
65,Office House Building Finance,"Baghi Khana, SE",239090101,434,0,434,2,0,2
"","Corporation, Qasim Town,",College Road,,,,,,,
"",Bahawalpur (Male),"Qasim Town,",239090102,374,0,374,,,
"",,Gulistan Colony,,,,,,,
"",,"Qasim Town,",239090108,128,0,128,,,
"",,Gulistan Colony,,,,,,,
"",,"Arif Colony,",239090202,298,0,298,,,
"",,Azam Colony,,,,,,,
"",,,,1234,0,1234,,,
66,Govt SE College (Computer,"Baghi Khana, SE",239090101,0,407,407,0,2,2
"","Section), Bahawalpur (Female)",College Road,,,,,,,
"",,"Qasim Town,",239090102,0,316,316,,,
"",,Gulistan Colony,,,,,,,
"",,"Qasim Town,",239090108,0,140,140,,,
"",,Gulistan Colony,,,,,,,
"",,"Arif Colony,",239090202,0,264,264,,,
"",,Azam Colony,,,,,,,
"",,,,0,1127,1127,,,
67,"Office Stadium Officer Incharge,",Riaz Colony,239090104,498,0,498,4,0,4
"",Bahawalpur (Male),Noor-ul-Haq,239090105,422,0,422,,,
"",,"Colony, Bahawal",,,,,,,
"",,"Colony, Arif",,,,,,,
"",,Colony,,,,,,,
"",,"Gulgusht Colony,",239090106,538,0,538,,,
"",,"Iqbal Colony,",,,,,,,
"",,Faisal Colony,,,,,,,
"",,Riaz Colony,239090109,325,0,325,,,
"",,Noor-ul-Haq,239090110,342,0,342,,,
"",,"Colony, Bahawal",,,,,,,
"",,"Colony, Arif",,,,,,,
"",,Colony,,,,,,,
"",,Noor-ul-Haq,239090111,453,0,453,,,
"",,"Colony, Bahawal",,,,,,,
"",,"Colony, Arif",,,,,,,
"",,Colony,,,,,,,
"",,Shadman,239090201,461,0,461,,,
"",,"Colony, Azam",,,,,,,
"",,Colony,,,,,,,
"",,,,3039,0,3039,,,
68,"Govt Girls Primary School,",Riaz Colony,239090104,0,460,460,0,4,4
"","Professor Colony, Qasim Town,",Noor-ul-Haq,239090105,0,412,412,,,
"",Bahawalpur (Female).,"Colony, Bahawal",,,,,,,
"",,"Colony, Arif",,,,,,,
"",,Colony,,,,,,,
"",,"Gulgusht Colony,",239090106,0,474,474,,,
"",,"Iqbal Colony,",,,,,,,
"",,Faisal Colony,,,,,,,
"",,Riaz Colony,239090109,0,287,287,,,
"",,Noor-ul-Haq,239090110,0,308,308,,,
"",,"Colony, Bahawal",,,,,,,
"",,"Colony, Arif",,,,,,,
"",,Colony,,,,,,,
"",,Noor-ul-Haq,239090111,0,372,372,,,
"",,"Colony, Bahawal",,,,,,,
"",,"Colony, Arif",,,,,,,
"",,Colony,,,,,,,
"",,Shadman,239090201,0,438,438,,,
"",,"Colony, Azam",,,,,,,
"",,Colony,,,,,,,
"",,,,0,2751,2751,,,
69,Govt Comprehensive High School,"Faisal Colony,",239090107,482,0,482,3,0,3
"","near Islamia University,",Bankers Colony,,,,,,,
"",Govt Comprehensive High School,"Faisal Colony,",,,,,,,
"","near Islamia University,",Bankers Colony,,,,,,,
"",Bahawalpur (Male).,"Faisal Colony,",239090112,282,0,282,,,
"",,Bankers Colony,,,,,,,
"",,"Faisal Colony,",239090113,417,0,417,,,
"",,Bankers Colony,,,,,,,
"",,"Faisal Bagh,",239090203,124,0,124,,,
"",,Gulshan,,,,,,,
"",,Bahawalpur,,,,,,,
"",,,,1305,0,1305,,,
70,Govt Girls Degree College near,"Faisal Colony,",239090107,0,462,462,0,3,3
