"",1,2,3,4,5,6,7,8,9,10,11,12,13,
Saddique93,37,Government Girls  School Darbar Muhammad Siddique,,,,,,,,0,2,2,Female
"",,,RURAL LALIAN Thatha Wariyo,255011104,-,-,0,427,427,,,,
"",,,,,-,-,0,918,918,,,,
"",,,RURAL LALIAN Thatha Miyana,255011105,-,-,326,232,558,,,,
93,38,Government Model Boys Primary School kiana Thain,RURAL LALIAN Thatha Miyana,255011106,-,-,147,148,295,1,1,2,Combined
"",,,,,-,-,473,380,853,,,,
"",,,RURAL LALIAN Jalley Wala,255011107,-,-,1062,0,1062,,,,
93,39,Government Boys Primary School Jalley Wala,RURAL LALIAN Astana,255011108,-,-,248,0,248,3,0,3,Male
"",,,,,-,-,1310,0,1310,,,,
"",,,RURAL LALIAN Jalley Wala,255011107,-,-,0,931,931,,,,
93,40,Government Girls Primary School Jalley Wala,RURAL LALIAN Astana,255011108,-,-,0,176,176,0,3,3,Female
"",,,,,-,-,0,1107,1107,,,,
"",,,AHMAD NAGAR,255020101,-,-,548,427,975,,,,
93,41,Government Girls High School Ahamad Nagar,AHMAD NAGAR,255020102,-,-,389,348,737,2,2,4,Combined
"",,,,,-,-,937,775,1712,,,,
"",,,AHMAD NAGAR,255020103,-,-,388,342,730,,,,
"",,,AHMAD NAGAR,255020104,-,-,90,55,145,,,,
93,42,Government Boys High School Ahamad Nagar,AHMAD NAGAR,255020105,-,-,227,169,396,2,2,4,Combined
"",,,AHMAD NAGAR,255020114,-,-,154,124,278,,,,
"",,,,,-,-,859,690,1549,,,,
"",,,AHMAD NAGAR,255020106,-,-,642,0,642,,,,
"",,,AHMAD NAGAR,255020107,-,-,28,0,28,,,,
"",,,AHMAD NAGAR,255020115,-,-,47,0,47,,,,
93,43,Government Boys High School Ahamad Nagar,,,,,,,,2,0,2,Male
"",,,AHMAD NAGAR,255020108,-,-,385,0,385,,,,
"",,,AHMAD NAGAR,255020116,-,-,187,0,187,,,,
"",,,,,-,-,1289,0,1289,,,,
"",,,AHMAD NAGAR,255020106,-,-,0,546,546,,,,
"",,,AHMAD NAGAR,255020107,-,-,0,26,26,,,,
"",,,AHMAD NAGAR,255020115,-,-,0,37,37,,,,
93,44,Government Boys High School Ahamad Nagar  (Primary Portion),,,,,,,,0,3,3,Female
"",,,AHMAD NAGAR,255020108,-,-,0,364,364,,,,
"",,,AHMAD NAGAR,255020116,-,-,0,174,174,,,,
"",,,,,-,-,0,1147,1147,,,,
"",,,PILLOW AL SYEDIAN,255020111,-,-,359,291,650,,,,
93,45,Government Boys Primary School Pllowal Syedan,,,,,,,,1,1,2,Combined
"",,,,,-,-,359,291,650,,,,
"",,,BAGH SHAH BEHLOOL,255020109,-,-,60,52,112,,,,
"",,,PATHAN WALA,255020110,-,-,184,107,291,,,,
93,46,Government Boys Elementary School Mal Sipra,MAL SIPRA,255020112,-,-,288,261,549,2,2,4,Combined
"",,,MAL SIPRA,255020113,-,-,462,358,820,,,,
"",,,,,-,-,994,778,1772,,,,
"",,,ABBAS NAGAR,255020202,-,-,522,375,897,,,,
"",,,THTHI ALAM SHAH,255020204,-,-,285,196,481,,,,
93,47,Government Modal Primary School Berhmanawala,,,,,,,,2,2,4,Combined
"",,,THATTI  KHUDA YAR,255010705,-,-,193,146,339,,,,
"",,,,,-,-,1000,717,1717,,,,
"",,,DHUHAMI,255020201,-,-,343,264,607,,,,
93,48,Government Model Primary School Hussainabad,WAD SYEDIAN,255020203,-,-,501,400,901,2,2,4,Combined
"",,,,,-,-,844,664,1508,,,,
"",,,THATTA CHANDOO KALAN,255020302,-,-,676,503,1179,,,,
93,49,Government Elementary School Thata Chandu Klan,THATTA CHANDOO KHURD,255020303,-,-,103,94,197,2,1,3,Combined
"",,,,,-,-,779,597,1376,,,,
"",,,BODHRAN WALA,255020301,-,-,178,135,313,,,,
"",,,JAKOO WALA,255020304,-,-,179,131,310,,,,
93,50,Government Model Primary School Yakoo Wala,,,,,,,,2,1,3,Combined
"",,,JAGOKAY,255020305,-,-,402,309,711,,,,
"",,,,,-,-,759,575,1334,,,,
"",,,BAKHSH WALA,255020401,-,-,415,286,701,,,,
93,51,Government Model Primary School Bakhshwala,DHAN HARLAN,255020403,-,-,130,85,215,1,1,2,Combined
"",,,,,-,-,545,371,916,,,,
"",,,BANWRE,255020402,-,-,205,0,205,,,,
"",,,CHANI KHIZAR,255020404,-,-,50,0,50,,,,
93,52,Government High School Hast Khiwa,HUST KHEWA,255020405,-,-,109,0,109,2,0,2,Male
"",,,HUST KHEWA,255020406,-,-,795,0,795,,,,
"",,,,,-,-,1159,0,1159,,,,
"",,,BANWRE,255020402,-,-,0,136,136,,,,
"",,,CHANI KHIZAR,255020404,-,-,0,15,15,,,,
93,53,Government Girls Primary School Hast Khiwa,HUST KHEWA,255020405,-,-,0,55,55,0,2,2,Female
"",,,HUST KHEWA,255020406,-,-,0,596,596,,,,
"",,,,,-,-,0,802,802,,,,
"",,,ICCHER WAL,255020501,-,-,444,372,816,,,,
93,54,Government Boy Primary School Iccharwal,JAND HASSAN QATAL,255020502,-,-,295,260,555,2,2,4,Combined
"",,,,,-,-,739,632,1371,,,,
"",,,CHAK SARKAR Bahiwal,255020503,-,-,134,0,134,,,,
"",,,KRIM PUR,255020504,-,-,137,0,137,,,,
93,55,Government Elementary School Bahiwal,BAHIWAL,255020901,-,-,741,0,741,3,0,3,Male
"",,,BAHIWAL,255020902,-,-,333,0,333,,,,
"",,,,,-,-,1345,0,1345,,,,
"",,,CHAK SARKAR Bahiwal,255020503,-,-,0,95,95,,,,
"",,,KRIM PUR,255020504,-,-,0,91,91,,,,
93,56,Government Girls Primary School Bahiwal,BAHIWAL,255020901,-,-,0,576,576,0,2,2,Female
"",,,BAHIWAL,255020902,-,-,0,226,226,,,,
"",,,,,-,-,0,988,988,,,,
"",,,GLOTHRAN WALA,255020601,-,-,422,329,751,,,,
93,57,Government  Primary School Glotranwala,BURJ ALI,255020602,-,-,16,15,31,1,1,2,Combined
"",,,,,-,-,438,344,782,,,,
"",,,BURALI,255020603,-,-,96,81,177,,,,
"",,,JODH,255020604,-,-,501,421,922,,,,
93,58,Government Boys Primary School Jodh,,,,,,,,2,2,4,Combined
"",,,JODH,255020605,-,-,180,140,320,,,,
"",,,,,-,-,777,642,1419,,,,
"",,,KOT QAZI,255020606,-,-,564,493,1057,,,,
93,59,Government Boys Primary School Kot Qazi,KOT QAZI,255020607,-,-,118,90,208,2,1,3,Combined
"",,,,,-,-,682,583,1265,,,,
"",,,KOT RAHMUN,255020608,-,-,305,255,560,,,,
93,60,Government Boys Primary School Kot Rehmun,,,,,,,,1,1,2,Combined
"",,,,,-,-,305,255,560,,,,
"",,,HAMBOO ANA,255020701,-,-,428,335,763,,,,
"",,,HAMBOO ANA,255020702,-,-,117,84,201,,,,
93,61,Government Model School Hamboana,,,,,,,,2,1,3,Combined
"",,,GADHLAN WALI,255020708,-,-,106,76,182,,,,
"",,,,,-,-,651,495,1146,,,,
"",,,BURJ MALAKA,255020703,-,-,41,27,68,,,,
"",,,CHANI CHUHAR,255020704,-,-,77,56,133,,,,
"",,,KOT ALYANA,255020705,-,-,96,61,157,,,,
93,62,Government Girls Primary School Kot Aliana,,,,,,,,1,1,2,Combined
"",,,SARDAREY WALA,255020706,-,-,35,36,71,,,,
"",,,CHANI KHEWA,255020707,-,-,134,122,256,,,,
"",,,,,-,-,383,302,685,,,,
"",,,PILLOW SIDDIQUA,255020801,-,-,420,336,756,,,,
93,63,Government Model Primary School Pilowal Siddiqa,PILLOW SIDDIQUA,255020802,-,-,41,26,67,1,1,2,Combined
"",,,,,-,-,461,362,823,,,,
"",,,CHAK BAHADAR,255020803,-,-,309,234,543,,,,
93,64,Government Girls Primary School Chak Bahadur  Kot  Ismaeel,CHAK BAHADAR,255020804,-,-,504,401,905,2,2,4,Combined
"",,,,,-,-,813,635,1448,,,,
"",,,KHOKHRAN WALA,255020805,-,-,441,363,804,,,,
93,65,Government Model Primary School Khokhran Wala,,,,,,,,1,1,2,Combined
"",,,,,-,-,441,363,804,,,,
"",,,SAGRAY WALA,255020806,-,-,452,296,748,,,,
93,66,Government Modal Primary School Saghray Wala,,,,,,,,1,1,2,Combined
"",,,,,-,-,452,296,748,,,,
"",,,KANVAIN WALA,255021001,-,-,384,305,689,,,,
93,67,Government Boys Primary School Mohsinabad,,,,,,,,1,1,2,Combined
"",,,,,-,-,384,305,689,,,,
"",,,KANVAIN WALA,255021002,-,-,342,302,644,,,,
93,68,Government Model School Judhi Sultan,KANVAIN WALA,255021003,-,-,267,225,492,1,1,2,Combined
"",,,,,-,-,609,527,1136,,,,
"",,,KANVAIN WALA,255021004,-,-,694,514,1208,,,,
93,69,Government Boys Primary School Qadirabad (Kanwenwala),,,,,,,,1,1,2,Combined
"",,,,,-,-,694,514,1208,,,,
"",,,KANVAIN WALA,255021005,-,-,253,206,459,,,,
93,70,Government Boys High School Kanwenwala,KANVAIN WALA,255021008,-,-,405,313,718,2,1,3,Combined
"",,,,,-,-,658,519,1177,,,,
"",,,KANVAIN WALA,255021006,-,-,178,170,348,,,,
93,71,Girls Elementary School Kanwenwala,KANVAIN WALA,255021007,-,-,477,391,868,2,1,3,Combined
"",,,,,-,-,655,561,1216,,,,
"",,,KANVAIN WALA,255021009,-,-,167,126,293,,,,
93,72,Government Boy Primary School Coloney No.1 Kanwenwala,KANVAIN WALA,255021010,-,-,291,258,549,1,1,2,Combined
"",,,,,-,-,458,384,842,,,,
"",,,LANGER MAKHDOOM,255030101,-,-,648,499,1147,,,,
93,73,Government Boys High School Langar Makhdum,KAKUWALA,255030104,-,-,163,124,287,2,2,4,Combined
"",,,,,-,-,811,623,1434,,,,
"",,,LANGER MAKHDOOM,255030102,-,-,250,239,489,,,,
93,74,Government Girls Elementary School Langar Makhdum,LANGER MAKHDOOM,255030103,-,-,547,315,862,2,1,3,Combined
"",,,,,-,-,797,554,1351,,,,
"",,,CHANGRAN WALA,255030201,-,-,242,194,436,,,,
93,75,Government Boys  Elementry School  Changranwala,CHANGRAN WALA,255030202,-,-,761,616,1377,2,2,4,Combined
"",,,,,-,-,1003,810,1813,,,,
"",,,CHANGRAN WALA,255030203,-,-,332,253,585,,,,
"",,,CHANGRAN WALA,255030204,-,-,414,323,737,,,,
93,76,Government Girls Community Model Elementary School Changranwala,BURJ CHANGU,255030205,-,-,13,12,25,2,1,3,Combined
"",,,JHANGIR SHAH BEHLOL,255030206,-,-,48,26,74,,,,
"",,,,,-,-,807,614,1421,,,,
"",,,LOLY,255030301,-,-,560,382,942,,,,
93,77,Government Boys Primary School Loley,LOLY,255030302,-,-,261,192,453,2,1,3,Combined
"",,,,,-,-,821,574,1395,,,,
"",,,MONDRANA,255030303,-,-,260,202,462,,,,
93,78,Government Boys Primary School MONDRANA,,,,,,,,1,1,2,Combined
"",,,,,-,-,260,202,462,,,,
"",,,MONGI THALLI,255030305,-,-,446,368,814,,,,
93,79,Government Model Primary School Mongi Thali,,,,,,,,1,1,2,Combined
"",,,,,-,-,446,368,814,,,,
"",,,BALIAN WALA,255030304,-,-,352,258,610,,,,
93,80,Government Girls Primary School Balianwala,THATTA REHMOON,255030804,-,-,178,133,311,1,1,2,Combined
"",,,,,-,-,530,391,921,,,,
"",,,YAKAY  WALA,255030401,-,-,413,319,732,,,,
"",,,BEHLOL PUR,255030403,-,-,200,151,351,,,,
"",,,BHEIKH,255030404,-,-,228,197,425,,,,
"",,,,,-,-,841,667,1508,,,,
"",,,BURJ SARGANA,255030402,-,-,238,228,466,,,,
"",,,BURJ BODE,255030405,-,-,75,55,130,,,,
93,82,Government Boys Primary School Burj Jhanda,,,,,,,,1,1,2,Combined
"",,,BURJ JHANDA,255030406,-,-,205,141,346,,,,
"",,,,,-,-,518,424,942,,,,
"",,,KALOWAL,255030503,-,-,240,256,496,,,,
93,83,Government Girls High School Kalowal ( Primary Portion),KALOWAL,255030504,-,-,583,460,1043,2,2,4,Combined
"",,,,,-,-,823,716,1539,,,,
"",,,KALOWAL,255030501,-,-,279,203,482,,,,
"",,,KALOWAL,255030502,-,-,265,189,454,,,,
93,84,Government Boys Primary School Kalowal,,,,,,,,2,2,4,Combined
"",,,KALOWAL,255030505,-,-,387,306,693,,,,
"",,,,,-,-,931,698,1629,,,,
"",,,ALAUDDINWAL,255030507,-,-,184,132,316,,,,
"",,,ALAUDDINWAL,255030508,-,-,236,148,384,,,,
93,85,Government Model Primary School Alloudin wal,,,,,,,,1,1,2,Combined
"",,,ALAUDDINWAL,255030509,-,-,120,111,231,,,,
"",,,,,-,-,540,391,931,,,,
"",,,ALI PUR MARH,255030510,-,-,347,250,597,,,,
93,86,Government Girls Primary School ALI PUR,ALI PUR MARH,255030511,-,-,222,166,388,1,1,2,Combined
"",,,,,-,-,569,416,985,,,,
"",,,DHAGAL,255030506,-,-,203,148,351,,,,
93,87,Government Girls Primary School Dhagal,RATTA PUR,255030512,-,-,274,198,472,1,1,2,Combined
"",,,,,-,-,477,346,823,,,,
"",,,KANDIWAL,255030601,-,-,618,452,1070,,,,
93,88,Government Girls Primary School Yarey Wala,,,,,,,,1,1,2,Combined
"",,,,,-,-,618,452,1070,,,,
"",,,KANDIWAL,255030602,-,-,317,271,588,,,,
"",,,KANDIWAL,255030603,-,-,534,457,991,,,,
93,89,Government Boys Primary School Dinga,,,,,,,,2,2,4,Combined
"",,,KANDIWAL,255030604,-,-,180,128,308,,,,
"",,,,,-,-,1031,856,1887,,,,
"",,,KANDIWAL,255030605,-,-,192,186,378,,,,
93,90,Government Boys High School Kandiwal,KANDIWAL,255030607,-,-,263,215,478,1,1,2,Combined
"",,,,,-,-,455,401,856,,,,
"",,,KANDIWAL,255030606,-,-,454,395,849,,,,
93,91,Government Boys High School Kandiwal,,,,,,,,1,1,2,Combined
"",,,,,-,-,454,395,849,,,,
"",,,PAKKA,255030608,-,-,458,339,797,,,,
93,92,Government Boys Primary School Pakka,PAKKA,255030609,-,-,261,199,460,2,1,3,Combined
"",,,,,-,-,719,538,1257,,,,
"",,,MARKH,255030701,-,-,459,352,811,,,,
93,93,Government Primary School wasuana Markh,,,,,,,,1,1,2,Combined
"",,,,,-,-,459,352,811,,,,
"",,,KALOOR,255030702,-,-,331,237,568,,,,
93,94,Government  Primary School  Chah Larayan wala,,,,,,,,1,1,2,Combined
"",,,,,-,-,331,237,568,,,,
"",,,KALOOR,255030703,-,-,474,500,974,,,,
"",,,KALOOR,255030704,-,-,422,84,506,,,,
93,95,Government Model Primary School Kaloor,,,,,,,,2,2,4,Combined
"",,,KALOOR,255030705,-,-,206,116,322,,,,
"",,,,,-,-,1102,700,1802,,,,
"",,,BHABHRANA,255030801,-,-,343,248,591,,,,
93,96,Government Boys Elementary School Bhabrana,BHABHRANA,255030802,-,-,288,241,529,2,1,3,Combined
"",,,,,-,-,631,489,1120,,,,
"",,,BHABHRANA,255030803,-,-,835,800,1635,,,,
93,97,Government Girls Primary School Bhabrana,,,,,,,,2,2,4,Combined
"",,,,,-,-,835,800,1635,,,,
"",,,AHLEY WALA,255050701,-,-,153,107,260,,,,
"",,,THARKNA WAL,255050702,-,-,471,302,773,,,,
93,98,Government Boys Elementary School Tarkhan Wala,,,,,,,,2,2,4,Combined
"",,,THARKNA WAL,255050703,-,-,352,217,569,,,,
"",,,,,-,-,976,626,1602,,,,
"",,,TAHROO,255050704,-,-,337,252,589,,,,
93,99,Government Boys Elementary School Tahru,TAHROO,255050705,-,-,529,419,948,2,2,4,Combined
"",,,,,-,-,866,671,1537,,,,
"",,,TAHROO,255050706,-,-,404,305,709,,,,
93,100,Government Girls Primary School Tahru,,,,,,,,1,1,2,Combined
"",,,,,-,-,404,305,709,,,,
"",,,THATTI BALA RAJA,255050801,-,-,623,0,623,,,,
93,101,Government Boys High School Thatti Balla Raja,THATTI BALA RAJA,255050802,-,-,636,0,636,2,0,2,Male
"",,,,,-,-,1259,0,1259,,,,
"",,,THATTI BALA RAJA,255050801,-,-,0,473,473,,,,
93,102,Government Boys High School Thatti Balla Raja,THATTI BALA RAJA,255050802,-,-,0,487,487,0,2,2,Female
"",,,,,-,-,0,960,960,,,,
"",,,THATTI BALA RAJA,255050803,-,-,158,117,275,,,,
93,103,Government Boys Primary School Ali Kay,THATTI BALA RAJA,255050804,-,-,175,121,296,1,1,2,Combined
"",,,,,-,-,333,238,571,,,,
"",,,THATTI BALA RAJA,255050805,-,-,363,322,685,,,,
93,104,Government Boys High School Thatti Balla Raja,THATTI BALA RAJA,255050806,-,-,485,332,817,2,2,4,Combined
"",,,,,-,-,848,654,1502,,,,
"",,,THATTI BALA RAJA,255050807,-,-,332,275,607,,,,
93,105,Girls High School Thatti Balla Raja,,,,,,,,1,1,2,Combined
"",,,,,-,-,332,275,607,,,,
"",,,THATTI BALA RAJA,255050808,-,-,401,355,756,,,,
"",,,THATTI BALA RAJA,255050809,-,-,57,47,104,,,,
93,106,Girls High School Thatti Balla Raja,,,,,,,,2,1,3,Combined
"",,,THATTI BALA RAJA,255050810,-,-,195,164,359,,,,
"",,,,,-,-,653,566,1219,,,,
"",,,THATTI BALA RAJA,255050811,-,-,318,250,568,,,,
93,107,Veterinary Center Thathi Bala Raja,THATTI BALA RAJA,255050812,-,-,138,99,237,1,1,2,Combined
"",,,,,-,-,456,349,805,,,,
"",,,-,-,GIRLS DIGRI COLLEGE LALIAN,255060101,740,0,740,,,,
93,108,Girls Digree College Lalian,,,,,,,,3,0,3,Male
"",,,-,-,GHALLA MANDI LALIAN,255060107,614,0,614,,,,
"",,,-,-,,,1354,0,1354,,,,
"",,,-,-,GIRLS DIGRI COLLEGE LALIAN,255060101,0,631,631,,,,
93,109,"Girls Higher Secondary School, Lalian",,,,,,,,0,3,3,Female
"",,,-,-,GHALLA MANDI LALIAN,255060107,0,515,515,,,,
"",,,-,-,,,0,1146,1146,,,,
"",,,,,Government Boys HIGHER,,,,,,,,
"",,,-,-,,255060102,447,0,447,,,,
"",,,,,SECONDERY SCHOOL LALIAN,,,,,,,,
"",,,,,Government Boys HIGHER,,,,,,,,
"",,,-,-,,255060108,503,0,503,,,,
"",,,,,SECONDERY SCHOOL LALIAN,,,,,,,,
"",,Government Muhammad Hammad Aziz Shaheed Boys Higher Secondary,,,,,,,,,,,
93,110,,,,Government Boys HIGHER,,,,,4,0,4,Male
"",,"School, Lalian",-,-,,255060109,164,0,164,,,,
"",,,,,SECONDERY SCHOOL LALIAN,,,,,,,,
