"",1,2,3,4,5,6,7,8,9,10,11,12,13,
93,66,Government Modal Primary School Saghray Wala,SAGRAY WALA,255020806,-,-,,452,296,748,1,1,2,Combined
"",,,,,-,-,,452,296,748,,,,
93,67,Government Boys Primary School Mohsinabad,KANVAIN WALA,255021001,-,-,,384,305,689,1,1,2,Combined
"",,,,,-,-,,384,305,689,,,,
93,68,Government Model School Judhi Sultan,KANVAIN WALA,255021002,-,-,,342,302,644,1,1,2,Combined
"",,,KANVAIN WALA,255021003,-,-,,267,225,492,,,,
"",,,,,-,-,,609,527,1136,,,,
93,69,Government Boys Primary School Qadirabad (Kanwenwala),KANVAIN WALA,255021004,-,-,,694,514,1208,1,1,2,Combined
"",,,,,-,-,,694,514,1208,,,,
93,70,Government Boys High School Kanwenwala,KANVAIN WALA,255021005,-,-,,253,206,459,2,1,3,Combined
"",,,KANVAIN WALA,255021008,-,-,,405,313,718,,,,
"",,,,,-,-,,658,519,1177,,,,
93,71,Girls Elementary School Kanwenwala,KANVAIN WALA,255021006,-,-,,178,170,348,2,1,3,Combined
"",,,KANVAIN WALA,255021007,-,-,,477,391,868,,,,
"",,,,,-,-,,655,561,1216,,,,
93,72,Government Boy Primary School Coloney No.1 Kanwenwala,KANVAIN WALA,255021009,-,-,,167,126,293,1,1,2,Combined
"",,,KANVAIN WALA,255021010,-,-,,291,258,549,,,,
"",,,,,-,-,,458,384,842,,,,
93,73,Government Boys High School Langar Makhdum,LANGER MAKHDOOM,255030101,-,-,,648,499,1147,2,2,4,Combined
"",,,KAKUWALA,255030104,-,-,,163,124,287,,,,
"",,,,,-,-,,811,623,1434,,,,
93,74,Government Girls Elementary School Langar Makhdum,LANGER MAKHDOOM,255030102,-,-,,250,239,489,2,1,3,Combined
"",,,LANGER MAKHDOOM,255030103,-,-,,547,315,862,,,,
"",,,,,-,-,,797,554,1351,,,,
93,75,Government Boys  Elementry School  Changranwala,CHANGRAN WALA,255030201,-,-,,242,194,436,2,2,4,Combined
"",,,CHANGRAN WALA,255030202,-,-,,761,616,1377,,,,
"",,,,,-,-,,1003,810,1813,,,,
93,76,"Government Girls Community Model Elementary SchoolChangranwala",CHANGRAN WALA,255030203,-,-,,332,253,585,2,1,3,Combined
CHANGRAN WALA,255030204,-,-,,414,323,737,,,,,,,
BURJ CHANGU,255030205,-,-,,13,12,25,,,,,,,
JHANGIR SHAH BEHLOL,255030206,-,-,,48,26,74,,,,,,,
"",,-,-,,807,614,1421,,,,,,,
LOLY,255030301,-,-,,560,382,942,,,,,,,
"",,,,,-,-,,821,574,1395,,,,
93,78,Government Boys Primary School MONDRANA,MONDRANA,255030303,-,-,,260,202,462,1,1,2,Combined
"",,,,,-,-,,260,202,462,,,,
93,79,Government Model Primary School Mongi Thali,MONGI THALLI,255030305,-,-,,446,368,814,1,1,2,Combined
"",,,,,-,-,,446,368,814,,,,
93,80,Government Girls Primary School Balianwala,BALIAN WALA,255030304,-,-,,352,258,610,1,1,2,Combined
"",,,THATTA REHMOON,255030804,-,-,,178,133,311,,,,
"",,,,,-,-,,530,391,921,,,,
93,81,Government Boys Primary School Yakkey Wala,YAKAY  WALA,255030401,-,-,,413,319,732,2,2,4,Combined
"",,,BEHLOL PUR,255030403,-,-,,200,151,351,,,,
"",,,BHEIKH,255030404,-,-,,228,197,425,,,,
"",,,,,-,-,,841,667,1508,,,,
93,82,Government Boys Primary School Burj Jhanda,BURJ SARGANA,255030402,-,-,,238,228,466,1,1,2,Combined
"",,,BURJ BODE,255030405,-,-,,75,55,130,,,,
"",,,BURJ JHANDA,255030406,-,-,,205,141,346,,,,
"",,,,,-,-,,518,424,942,,,,
93,83,Government Girls High School Kalowal ( Primary Portion),KALOWAL,255030503,-,-,,240,256,496,2,2,4,Combined
"",,,KALOWAL,255030504,-,-,,583,460,1043,,,,
"",,,,,-,-,,823,716,1539,,,,
93,84,Government Boys Primary School Kalowal,KALOWAL,255030501,-,-,,279,203,482,2,2,4,Combined
"",,,KALOWAL,255030502,-,-,,265,189,454,,,,
"",,,KALOWAL,255030505,-,-,,387,306,693,,,,
"",,,,,-,-,,931,698,1629,,,,
93,85,Government Model Primary School Alloudin wal,ALAUDDINWAL,255030507,-,-,,184,132,316,1,1,2,Combined
"",,,ALAUDDINWAL,255030508,-,-,,236,148,384,,,,
"",,,ALAUDDINWAL,255030509,-,-,,120,111,231,,,,
"",,,,,-,-,,540,391,931,,,,
93,86,Government Girls Primary School ALI PUR,ALI PUR MARH,255030510,-,-,,347,250,597,1,1,2,Combined
"",,,ALI PUR MARH,255030511,-,-,,222,166,388,,,,
"",,,,,-,-,,569,416,985,,,,
93,87,Government Girls Primary School Dhagal,DHAGAL,255030506,-,-,,203,148,351,1,1,2,Combined
"",,,RATTA PUR,255030512,-,-,,274,198,472,,,,
"",,,,,-,-,,477,346,823,,,,
93,88,Government Girls Primary School Yarey Wala,KANDIWAL,255030601,-,-,,618,452,1070,1,1,2,Combined
"",,,,,-,-,,618,452,1070,,,,
93,89,Government Boys Primary School Dinga,KANDIWAL,255030602,-,-,,317,271,588,2,2,4,Combined
KANDIWAL,255030603,-,-,,534,457,991,,,,,,,
KANDIWAL,255030604,-,-,,180,128,308,,,,,,,
"",,-,-,,1031,856,1887,,,,,,,
KANDIWAL,255030605,-,-,,192,186,378,,,,,,,
KANDIWAL,255030607,-,-,,263,215,478,,,,,,,
"",91,Government Boys High School Kandiwal,KANDIWAL,255030606,-,-,,454,395,849,1,1,2,Combined
"",,,,-,-,,454,395,849,,,,,
93,92,Government Boys Primary School Pakka,PAKKA,255030608,-,-,,458,339,797,2,1,3,Combined
"",,PAKKA,255030609,-,-,,261,199,460,,,,,
"",,,,-,-,,719,538,1257,,,,,
93,93,Government Primary School wasuana Markh,MARKH,255030701,-,-,,459,352,811,1,1,2,Combined
"",,,,-,-,,459,352,811,,,,,
93,94,Government  Primary School  Chah Larayan wala,KALOOR,255030702,-,-,,331,237,568,1,1,2,Combined
"",,,,-,-,,331,237,568,,,,,
93,95,Government Model Primary School Kaloor,KALOOR,255030703,-,-,,474,500,974,2,2,4,Combined
"",,KALOOR,255030704,-,-,,422,84,506,,,,,
"",,KALOOR,255030705,-,-,,206,116,322,,,,,
"",,,,-,-,,1102,700,1802,,,,,
93,96,Government Boys Elementary School Bhabrana,BHABHRANA,255030801,-,-,,343,248,591,2,1,3,Combined
"",,BHABHRANA,255030802,-,-,,288,241,529,,,,,
"",,,,-,-,,631,489,1120,,,,,
93,97,Government Girls Primary School Bhabrana,BHABHRANA,255030803,-,-,,835,800,1635,2,2,4,Combined
"",,,,-,-,,835,800,1635,,,,,
93,98,Government Boys Elementary School Tarkhan Wala,AHLEY WALA,255050701,-,-,,153,107,260,2,2,4,Combined
"",,THARKNA WAL,255050702,-,-,,471,302,773,,,,,
"",,THARKNA WAL,255050703,-,-,,352,217,569,,,,,
"",,,,-,-,,976,626,1602,,,,,
93,99,Government Boys Elementary School Tahru,TAHROO,255050704,-,-,,337,252,589,2,2,4,Combined
"",,TAHROO,255050705,-,-,,529,419,948,,,,,
"",,,,-,-,,866,671,1537,,,,,
93,100,Government Girls Primary School Tahru,TAHROO,255050706,-,-,,404,305,709,1,1,2,Combined
"",,,,-,-,,404,305,709,,,,,
93,101,Government Boys High School Thatti Balla Raja,THATTI BALA RAJA,255050801,-,-,,623,0,623,2,0,2,Male
"",,THATTI BALA RAJA,255050802,-,-,,636,0,636,,,,,
"",,,,-,-,,1259,0,1259,,,,,
93,102,Government Boys High School Thatti Balla Raja,THATTI BALA RAJA,255050801,-,-,,0,473,473,0,2,2,Female
"",,THATTI BALA RAJA,255050802,-,-,,0,487,487,,,,,
"",,,,-,-,,0,960,960,,,,,
93,103,Government Boys Primary School Ali Kay,THATTI BALA RAJA,255050803,-,-,,158,117,275,1,1,2,Combined
"",,THATTI BALA RAJA,255050804,-,-,,175,121,296,,,,,
"",,,,-,-,,333,238,571,,,,,
93,104,Government Boys High School Thatti Balla Raja,THATTI BALA RAJA,255050805,-,-,,363,322,685,2,2,4,Combined
"",,THATTI BALA RAJA,255050806,-,-,,485,332,817,,,,,
"",,,,-,-,,848,654,1502,,,,,
93,105,Girls High School Thatti Balla Raja,THATTI BALA RAJA,255050807,-,-,,332,275,607,1,1,2,Combined
"",,,,-,-,,332,275,607,,,,,
93,106,Girls High School Thatti Balla Raja,THATTI BALA RAJA,255050808,-,-,,401,355,756,2,1,3,Combined
"",,THATTI BALA RAJA,255050809,-,-,,57,47,104,,,,,
"",,THATTI BALA RAJA,255050810,-,-,,195,164,359,,,,,
"",,,,-,-,,653,566,1219,,,,,
93,107,Veterinary Center Thathi Bala Raja,THATTI BALA RAJA,255050811,-,-,,318,250,568,1,1,2,Combined
"",,THATTI BALA RAJA,255050812,-,-,,138,99,237,,,,,
"",,,,-,-,,456,349,805,,,,,
93,108,Girls Digree College Lalian,-,-,GIRLS DIGRI COLLEGE LALIAN,255060101,,740,0,740,3,0,3,Male
"",,-,-,GHALLA MANDI LALIAN,255060107,,614,0,614,,,,,
"",,-,-,,,,1354,0,1354,,,,,
