"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
"",,LADHEWALA,166041005,,0,368,368,,,
"",,LADHEWALA,166041006,,0,189,189,,,
"",,LADHEWALA,166041007,,0,284,284,,,
"",,,,,0,1323,1323,,,
120,"Government Boys Primary SchoolKalaywala  (Male)",KALE WALA,166041008,,642,0,642,2,0,2
"",,KALE WALA,166041009,,346,0,346,,,
"",,KALE WALA,166041010,,384,0,384,,,
"",,,,,1372,0,1372,,,
121,"Government Boys Primary SchoolKalaywala  (Female)",KALE WALA,166041008,,0,407,407,0,2,2
"",,KALE WALA,166041009,,0,201,201,,,
"",,KALE WALA,166041010,,0,277,277,,,
"",,,,,0,885,885,,,
122,"Government Boys Elementary SchoolGill Wala (Male)",GILL WALA,166041101,,309,0,309,3,0,3
"",,GILL WALA,166041102,,383,0,383,,,
"",,GILL WALA,166041103,,378,0,378,,,
"",,GILL WALA,166041104,,570,0,570,,,
"",,GILL WALA,166041105,,344,0,344,,,
"",,,,,1984,0,1984,,,
123,"Government Girls Elementary SchoolGill Wala (Female)",GILL WALA,166041101,,0,203,203,0,3,3
GILL WALA,166041102,,0,279,279,,,,,
GILL WALA,166041103,,0,246,246,,,,,
GILL WALA,166041104,,0,423,423,,,,,
GILL WALA,166041105,,0,251,251,,,,,
"",,,0,1402,1402,,,,,
1,2,3,4,5,6,7,8,9,10,11
124,"Government Boys Primary SchoolHassan Wali (Combined)",HASSAN WALI,166041106,,483,414,897,1,1,2
"",,HASSAN WALI,166041107,,495,400,895,,,
"",,,,,978,814,1792,,,
125,"Govt Model Primary School Kot QadirBukish (Girls Campus) (Combined)","KOT QADIRBAKHSH",166041108,,344,300,644,1,1,2
"",,"KOT QADIRBAKHSH",166041109,,401,268,669,,,
"",,,,,745,568,1313,,,
126,"Govt Boys Elementary School BankaCheema (Combined)","BEANKACHEEMA",166041201,,453,325,778,2,2,4
"",,"BEANKACHEEMA",166041202,,711,481,1192,,,
"",,,,,1164,806,1970,,,
127,"Govt Boys Elementary School BankaCheema (Combined)","BEANKACHEEMA",166041203,,863,644,1507,2,1,3
"",,KALU WALI,166041207,,162,107,269,,,
"",,DHIPPA,166041209,,58,49,107,,,
"",,,,,1083,800,1883,,,
128,"Govt Girls High School  BankaCheema (Male)",BHAGHAT GARH,166031201,,447,0,447,2,0,2
"",,"BEANKACHEEMA",166041204,,341,0,341,,,
"",,"BEANKACHEEMA",166041205,,336,0,336,,,
"",,"BEANKACHEEMA",166041206,,462,0,462,,,
"",,,,,1586,0,1586,,,
129,"Govt Girls High School  BankaCheema (Female)",BHAGHAT GARH,166031201,,0,279,279,0,2,2
"",,"BEANKACHEEMA",166041204,,0,274,274,,,
"",,"BEANKACHEEMA",166041205,,0,221,221,,,
"",,"BEANKACHEEMA",166041206,,0,323,323,,,
"",,,,,0,1097,1097,,,
130,"Govt Boys Primary School KotPoroya (Combined)",GHARI JALLA,166050101,,357,230,587,1,1,2
"",,KOT PAROYA,166050102,,524,428,952,,,
"",,,,,881,658,1539,,,
131,"Govt Boys High School  Kalaske(Male)",KOT BANGASH,166050103,,268,0,268,4,0,4
KALASKI,166050104,,596,0,596,,,,,
KALASKI,166050105,,224,0,224,,,,,
KALASKI,166050106,,570,0,570,,,,,
KALASKI,166050107,,376,0,376,,,,,
KALASKI,166050108,,683,0,683,,,,,
"",,,2717,0,2717,,,,,
1,2,3,4,5,6,7,8,9,10,11
132,"Govt Boys High School  Kalaske(Female)",KOT BANGASH,166050103,,0,200,200,0,4,4
"",,KALASKI,166050104,,0,413,413,,,
"",,KALASKI,166050105,,0,169,169,,,
"",,KALASKI,166050106,,0,399,399,,,
"",,KALASKI,166050107,,0,276,276,,,
"",,KALASKI,166050108,,0,536,536,,,
"",,,,,0,1993,1993,,,
133,"Govt Girls High School  Kalaske(Male)",KALASKI,166050109,,349,0,349,3,0,3
"",,KALASKI,166050110,,357,0,357,,,
"",,KALASKI,166050111,,288,0,288,,,
"",,KALASKI,166050112,,582,0,582,,,
"",,KALASKI,166050113,,216,0,216,,,
"",,KALASKI,166050114,,344,0,344,,,
"",,KOT QAZI,166050115,,379,0,379,,,
"",,,,,2515,0,2515,,,
134,"Govt Girls High School  Kalaske(Female)",KALASKI,166050109,,0,244,244,0,3,3
"",,KALASKI,166050110,,0,241,241,,,
"",,KALASKI,166050111,,0,227,227,,,
"",,KALASKI,166050112,,0,447,447,,,
"",,KALASKI,166050113,,0,177,177,,,
"",,KALASKI,166050114,,0,227,227,,,
"",,KOT QAZI,166050115,,0,247,247,,,
"",,,,,0,1810,1810,,,
135,"Government Boys Primary SchoolNatt (Combined)",NAT,166050201,,630,438,1068,2,1,3
"",,SAL,166050202,,288,182,470,,,
"",,KOTLI KAHLWAN,166050203,,51,32,83,,,
"",,,,,969,652,1621,,,
136,"Government Boys Elementary SchoolBhooma Bath (Male)",BHUMAN BATH,166050204,,827,0,827,3,0,3
"",,BHUMAN BATH,166050205,,369,0,369,,,
"",,BHUMAN BATH,166050206,,561,0,561,,,
"",,BHUMAN BATH,166050207,,268,0,268,,,
"",,,,,2025,0,2025,,,
137,"Government Girls Elementary SchoolBhooma Bath (Female)",BHUMAN BATH,166050204,,0,617,617,0,3,3
"",,BHUMAN BATH,166050205,,0,298,298,,,
"",,BHUMAN BATH,166050206,,0,434,434,,,
"",,BHUMAN BATH,166050207,,0,220,220,,,
"",,,,,0,1569,1569,,,
138,"Government Model Primary SchoolKot Jahanger ( Combined)",KOT JAHANGIR,166050208,,763,528,1291,1,1,2
"",,,763,528,1291,,,,,
"DHAPAI MEHTABSINGH",166050301,,455,339,794,2,,,,
NADALA PAKKA,166050302,,317,198,515,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,772,537,1309,,,
140,"Government Boys Primary SchoolDargahi Wala (Combined)",DARGHI WALA,166050303,,741,488,1229,1,1,2
"",,,,,741,488,1229,,,
141,"Government Model Primary SchoolNoin Wala (Male)",NOIAN WALA,166050401,,910,0,910,3,0,3
"",,NOIAN WALA,166050402,,550,0,550,,,
"",,,,,1460,0,1460,,,
142,"Government Model Primary SchoolNoin Wala (Famele)",NOIAN WALA,166050401,,0,628,628,0,2,2
"",,NOIAN WALA,166050402,,0,346,346,,,
"",,,,,0,974,974,,,
143,"Govt.Girls Elementary School KotFazla (Combined)",KOT FAZLA,166050403,,751,565,1316,2,2,4
"",,KOT ALI,166050404,,420,302,722,,,
"",,,,,1171,867,2038,,,
144,"Government Boys Primary SchoolQila Bagh Singh (Combined)","QILA BAGHSINGH",166050501,,340,242,582,1,1,2
"",,KOT DEWAL,166050502,,301,187,488,,,
"",,,,,641,429,1070,,,
145,"Government Boys Primary SchoolWazirke Chattha (Combined)","WAZIR KECHATHA",166050503,,415,291,706,2,2,4
"",,"WAZIR KECHATHA",166050504,,337,193,530,,,
"",,"WAZIR KECHATHA",166050505,,444,317,761,,,
"",,,,,1196,801,1997,,,
146,"Government Model Primary SchoolHerchoke (Combined)",HARCHO KI,166050601,,503,337,840,1,1,2
"",,,,,503,337,840,,,
147,"Govt.Boys Elementary School MadanChak (Combined)",MADAN CHAK,166050602,,156,100,256,2,2,4
"",,MADAN CHAK,166050603,,788,563,1351,,,
"",,PHEROKE,166050604,,403,325,728,,,
"",,,,,1347,988,2335,,,
148,"Government Model Primary SchoolKot Kalian (Combined)","KOT KALIANWALA",166050605,,750,545,1295,2,1,3
"",,KOT SAIDAN,166050606,,34,21,55,,,
"",,PATHAN WALI,166071203,,68,44,112,,,
"",,,,,852,610,1462,,,
149,"Govt.Boys Elementary School FarmChakan Wali  (Kot Jan  Bakhish)(Combined)","FARMJHAKANWALI",166050701,,477,373,850,2,2,4
"",,"FARMJHAKANWALI",166050702,,662,494,1156,,,
"",,,,,1139,867,2006,,,
150,"Govt.Model Primary School Kot HerKaran (Combined)",BANGWAN,166050703,,153,126,279,2,1,3
KOT HAR KIRAN,166050801,,764,570,1334,,,,,
"",,,917,696,1613,,,,,
JHATAN WALI,166050802,,631,509,1140,2,,,,
JHATAN WALI,166050803,,684,577,1261,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,1315,1086,2401,,,
152,"Govt Boys Elementary School HardoSaharan (Combined)","HARDOSAHARAN",166050901,,671,426,1097,2,2,4
"",,"HARDOSAHARAN",166050902,,408,264,672,,,
"",,"HARDOSAHARAN",166050903,,413,262,675,,,
"",,,,,1492,952,2444,,,
153,"Government Girls High School HardoSaharan (Male)","HARDOSAHARAN",166050904,,555,0,555,3,0,3
"",,"HARDOSAHARAN",166050905,,296,0,296,,,
"",,"HARDOSAHARAN",166050906,,523,0,523,,,
"",,"HARDOSAHARAN",166050907,,320,0,320,,,
"",,,,,1694,0,1694,,,
154,"Government Girls High School HardoSaharan (Female)","HARDOSAHARAN",166050904,,0,354,354,0,2,2
"",,"HARDOSAHARAN",166050905,,0,244,244,,,
"",,"HARDOSAHARAN",166050906,,0,408,408,,,
"",,"HARDOSAHARAN",166050907,,0,226,226,,,
"",,,,,0,1232,1232,,,
155,"Government Girls Primary SchoolSherpur.  (Combined)",RUKAN PUR,166051001,,570,440,1010,2,1,3
"",,SHER PUR,166051002,,288,201,489,,,
"",,,,,858,641,1499,,,
156,"Government Boys High School HardoVerpal.  (Male)",HARDO WARPAL,166051003,,308,0,308,4,0,4
"",,HARDO WARPAL,166051004,,184,0,184,,,
"",,HARDO WARPAL,166051005,,347,0,347,,,
"",,HARDO WARPAL,166051006,,704,0,704,,,
"",,HARDO WARPAL,166051007,,340,0,340,,,
"",,HARDO WARPAL,166051008,,291,0,291,,,
"",,HARDO WARPAL,166051009,,495,0,495,,,
"",,,,,2669,0,2669,,,
157,"Government Boys High School HardoVerpal.  (Female)",HARDO WARPAL,166051003,,0,195,195,0,4,4
HARDO WARPAL,166051004,,0,139,139,,,,,
HARDO WARPAL,166051005,,0,254,254,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,HARDO WARPAL,166051006,,0,508,508,,,
"",,HARDO WARPAL,166051007,,0,296,296,,,
"",,HARDO WARPAL,166051008,,0,197,197,,,
"",,HARDO WARPAL,166051009,,0,326,326,,,
"",,,,,0,1915,1915,,,
158,"Government Girls High School HardoVerpal (Male)",HARDO WARPAL,166051010,,521,0,521,4,0,4
"",,HARDO WARPAL,166051011,,942,0,942,,,
"",,HARDO WARPAL,166051012,,592,0,592,,,
"",,,,,2055,0,2055,,,
159,"Government Girls High School HardoVerpal (Female)",HARDO WARPAL,166051010,,0,388,388,0,3,3
"",,HARDO WARPAL,166051011,,0,651,651,,,
"",,HARDO WARPAL,166051012,,0,409,409,,,
"",,,,,0,1448,1448,,,
160,"Government Boys Primary SchoolBooraywali  (Combined)",BURE WALI,166051101,,535,399,934,1,1,2
"",,,,,535,399,934,,,
161,"Government Boys Elementary SchoolDhalla Chattha.  (Male)",DHALLA CHATHA,166051102,,942,0,942,4,0,4
"",,DHALLA CHATHA,166051103,,390,0,390,,,
"",,DHALLA CHATHA,166051104,,400,0,400,,,
"",,DHALLA CHATHA,166051105,,259,0,259,,,
"",,DHALLA CHATHA,166051106,,344,0,344,,,
"",,,,,2335,0,2335,,,
162,"Government Girls High School DhalaChattha.  (Female)",DHALLA CHATHA,166051102,,0,646,646,0,3,3
DHALLA CHATHA,166051103,,0,333,333,,,,,
DHALLA CHATHA,166051104,,0,306,306,,,,,
DHALLA CHATHA,166051105,,0,192,192,,,,,
DHALLA CHATHA,166051106,,0,250,250,,,,,
"",,,0,1727,1727,,,,,
MOHALANKE,166051201,,407,0,407,3,,,,
MOHALANKE,166051202,,281,0,281,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,MOHALANKE,166051203,,759,0,759,,,
"",,BEEGHA,166051204,,378,0,378,,,
"",,,,,1825,0,1825,,,
164,"Government Girls Primary SchoolMohlanke  (Female)",MOHALANKE,166051201,,0,272,272,0,2,2
"",,MOHALANKE,166051202,,0,182,182,,,
"",,MOHALANKE,166051203,,0,567,567,,,
"",,BEEGHA,166051204,,0,307,307,,,
"",,,,,0,1328,1328,,,
165,"Government Boys Primary SchoolGhayyawala.  (Combined)",GHHIA WALA,166051205,,856,604,1460,2,1,3
"",,MALAN WALI,166051206,,145,110,255,,,
"",,,,,1001,714,1715,,,
166,"Government Boys Primary SchoolRakh Singh Pura. (Male)",CHHANI JUMMA,166060101,,0,0,0,3,0,3
"",,"RAKHSINGHPURA",166060102,,471,0,471,,,
"",,"RAKHSINGHPURA",166060103,,558,0,558,,,
"",,"RAKHSINGHPURA",166060104,,445,0,445,,,
"",,,,,1474,0,1474,,,
167,"Government Girls Primary SchoolRakh Singh Pura. (Female)",CHHANI JUMMA,166060101,,0,0,0,0,2,2
"",,"RAKHSINGHPURA",166060102,,0,409,409,,,
"",,"RAKHSINGHPURA",166060103,,0,507,507,,,
"",,"RAKHSINGHPURA",166060104,,0,337,337,,,
"",,,,,0,1253,1253,,,
168,"Government Boys High SchoolSalhoki.  (Male)",KOT BELA,166060201,,325,0,325,3,0,3
"",,SALLOKE,166060202,,616,0,616,,,
"",,SALLOKE,166060203,,418,0,418,,,
"",,SALLOKE,166060204,,361,0,361,,,
"",,,,,1720,0,1720,,,
169,"Government Boys High SchoolSalhoki.  (Female)",KOT BELA,166060201,,0,243,243,0,2,2
SALLOKE,166060202,,0,484,484,,,,,
SALLOKE,166060203,,0,308,308,,,,,
SALLOKE,166060204,,0,283,283,,,,,
"",,,0,1318,1318,,,,,
"MANDIALACHATHA",166060301,,383,0,383,4,,,,
"MANDIALACHATHA",166060302,,319,0,319,,,,,
"MANDIALACHATHA",166060303,,333,0,333,,,,,
"MANDIALACHATHA",166060304,,351,0,351,,,,,
HARDO JIOKA,166060305,,445,0,445,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"MANDIALACHATHA",166060306,,246,0,246,,,
"",,"MANDIALACHATHA",166060307,,249,0,249,,,
"",,,,,2326,0,2326,,,
171,"Government Girls High SchoolMindiala Chattha.  (Female)","MANDIALACHATHA",166060301,,0,268,268,0,3,3
"",,"MANDIALACHATHA",166060302,,0,235,235,,,
"",,"MANDIALACHATHA",166060303,,0,240,240,,,
"",,"MANDIALACHATHA",166060304,,0,332,332,,,
"",,HARDO JIOKA,166060305,,0,313,313,,,
"",,"MANDIALACHATHA",166060306,,0,198,198,,,
"",,"MANDIALACHATHA",166060307,,0,246,246,,,
"",,,,,0,1832,1832,,,
172,"Government Model Primary SchoolKot Ratta.  (Combined)",BURJ RATTA,166060401,,0,0,0,1,1,2
"",,GARHI GHULLAH,166060402,,24,26,50,,,
"",,KOT RATTA,166060403,,640,525,1165,,,
"",,,,,664,551,1215,,,
173,"Govt.Model Primary School BurjCheema.  (Combined)",BURJ CHEEMA,166060501,,272,246,518,1,1,2
"",,"LUND PUR(RAMKE)",166061201,,235,177,412,,,
"",,,,,507,423,930,,,
174,"Government Girls Primary SchoolBurj Dhalla (Combined)",BURJ DHALLA,166060502,,317,268,585,1,1,2
"",,,,,317,268,585,,,
175,"Government Model Primary SchoolThathi Baloch.  (Combined)",THATTI BALOCH,166060503,,324,266,590,1,1,2
"",,"FAQIRAN WALIKALAN",166060504,,144,108,252,,,
"",,THATTI BALOCH,166060505,,244,195,439,,,
"",,,,,712,569,1281,,,
176,"Government Boys High SchoolKhanki.  (Combined)","RAKH SANTPURA",166060601,,0,1,1,2,2,4
KHANKI,166060602,,546,433,979,,,,,
KHANKI,166060603,,458,380,838,,,,,
"",,,1004,814,1818,,,,,
"KOT IMAMBAKHSH",166060604,,104,0,104,3,,,,
DHARO WAL,166060605,,419,0,419,,,,,
DHARO WAL,166060606,,655,0,655,,,,,
DHARO WAL,166060607,,275,0,275,,,,,
1,2,3,4,5,6,7,8,9,10,11
178,"Government Girls High SchoolDharowal.  (Female)","KOT IMAMBAKHSH",166060604,,0,86,86,0,2,2
"",,DHARO WAL,166060605,,0,370,370,,,
"",,DHARO WAL,166060606,,0,547,547,,,
"",,DHARO WAL,166060607,,0,243,243,,,
"",,,,,0,1246,1246,,,
179,"Government Boys High SchoolSaroki.  (Male)","FAQIRANWALIKHURD",166060701,,355,0,355,4,0,4
"",,SAROKI,166060702,,462,0,462,,,
"",,SAROKI,166060703,,584,0,584,,,
"",,SAROKI,166060704,,298,0,298,,,
"",,SAROKI,166060705,,332,0,332,,,
"",,SAROKI,166060706,,324,0,324,,,
"",,SAROKI,166060707,,307,0,307,,,
"",,,,,2662,0,2662,,,
180,"Government Boys High SchoolSaroki.  (Female)","FAQIRANWALIKHURD",166060701,,0,308,308,0,4,4
"",,SAROKI,166060702,,0,375,375,,,
"",,SAROKI,166060703,,0,484,484,,,
"",,SAROKI,166060704,,0,261,261,,,
"",,SAROKI,166060705,,0,294,294,,,
"",,SAROKI,166060706,,0,270,270,,,
"",,SAROKI,166060707,,0,212,212,,,
"",,,,,0,2204,2204,,,
181,"Government Girls High SchoolSaroki.  (Male)",SAROKI,166060708,,388,0,388,4,0,4
"",,SAROKI,166060709,,391,0,391,,,
"",,SAROKI,166060710,,230,0,230,,,
"",,SAROKI,166060711,,594,0,594,,,
"",,SAROKI,166060712,,515,0,515,,,
"",,,,,2118,0,2118,,,
182,"Government Girls High SchoolSaroki.  (Female)",SAROKI,166060708,,0,273,273,0,3,3
"",,SAROKI,166060709,,0,273,273,,,
"",,SAROKI,166060710,,0,180,180,,,
"",,SAROKI,166060711,,0,465,465,,,
"",,SAROKI,166060712,,0,405,405,,,
"",,,,,0,1596,1596,,,
183,"Government Boys Elementary SchoolKot Bhaga.  (Combined)","CHAR YARI(HUSSAIN PURA)",166060801,,68,66,134,2,1,3
KOT BHAGA,166060802,,344,262,606,,,,,
BURJ MANCHAR,166060804,,251,187,438,,,,,
KOT BHAGA,166060805,,207,183,390,,,,,
"",,,870,698,1568,,,,,
1,2,3,4,5,6,7,8,9,10,11
184,"Government Boys High SchoolMancher Chattha. (Male)",THOIAN,166060803,,241,0,241,4,0,4
"",,"MANCHARCHATHA",166060901,,405,0,405,,,
"",,"MANCHARCHATHA",166060902,,576,0,576,,,
"",,"MANCHARCHATHA",166060903,,366,0,366,,,
"",,"MANCHARCHATHA",166060904,,368,0,368,,,
"",,"MANCHARCHATHA",166060905,,63,0,63,,,
"",,"MANCHARCHATHA",166060906,,80,0,80,,,
"",,,,,2099,0,2099,,,
185,"Government Boys High SchoolMancher Chattha. (Female)",THOIAN,166060803,,0,183,183,0,3,3
"",,"MANCHARCHATHA",166060901,,0,330,330,,,
"",,"MANCHARCHATHA",166060902,,0,462,462,,,
"",,"MANCHARCHATHA",166060903,,0,258,258,,,
"",,"MANCHARCHATHA",166060904,,0,286,286,,,
"",,"MANCHARCHATHA",166060905,,0,33,33,,,
"",,"MANCHARCHATHA",166060906,,0,103,103,,,
"",,,,,0,1655,1655,,,
186,"Government Boys Primary SchoolPandori Khurd  (Combined)",CHHANWAN,166061001,,120,81,201,2,1,3
"",,PINDORI KHURD,166061002,,670,492,1162,,,
"",,,,,790,573,1363,,,
187,"Government Boys Primary SchoolPandori Kalan. (Combined)",PINDORI KALAN,166061003,,197,153,350,2,2,4
"",,PINDORI KALAN,166061004,,669,596,1265,,,
"",,PINDORI KALAN,166061006,,330,280,610,,,
"",,,,,1196,1029,2225,,,
188,"Government Boys Primary SchoolDharam Kot. (Combined)",DHARAM KOT,166061005,,397,241,638,1,1,2
"",,DHARAM KOT,166061007,,122,127,249,,,
"",,,,,519,368,887,,,
189,"Government Boys Primary SchoolJati Shah Rehman.  (Combined)","JATI SHAHREHMAN",166061101,,507,389,896,2,1,3
"",,KALAIR,166061102,,318,233,551,,,
"",,,,,825,622,1447,,,
190,"Government Boys Primary SchoolJhamwala. (Male)",JHAM WALA,166061103,,646,0,646,3,0,3
JHAM WALA,166061104,,619,0,619,,,,,
JHAM WALA,166061105,,474,0,474,,,,,
"",,,1739,0,1739,,,,,
1,2,3,4,5,6,7,8,9,10,11
191,"Government Girls Elementary SchoolJhamwala. (Female)",JHAM WALA,166061103,,0,485,485,0,3,3
"",,JHAM WALA,166061104,,0,493,493,,,
"",,JHAM WALA,166061105,,0,402,402,,,
"",,,,,0,1380,1380,,,
192,"Government Boys High SchoolJamke Chattha.  (Male)",JAMKE CHATHA,166061202,,624,0,624,3,0,3
"",,JAMKE CHATHA,166061203,,873,0,873,,,
"",,,,,1497,0,1497,,,
193,"Government Boys High SchoolJamke Chattha.  (Female)",JAMKE CHATHA,166061202,,0,546,546,0,2,2
"",,JAMKE CHATHA,166061203,,0,709,709,,,
"",,,,,0,1255,1255,,,
194,"Government Girls High School JamkeChattha. (Male)",JAMKE CHATHA,166061204,,425,0,425,3,0,3
"",,JAMKE CHATHA,166061205,,416,0,416,,,
"",,JAMKE CHATHA,166061206,,446,0,446,,,
"",,JAMKE CHATHA,166061207,,507,0,507,,,
"",,,,,1794,0,1794,,,
195,"Government Girls High School JamkeChattha. (Female)",JAMKE CHATHA,166061204,,0,343,343,0,3,3
"",,JAMKE CHATHA,166061205,,0,338,338,,,
"",,JAMKE CHATHA,166061206,,0,363,363,,,
"",,JAMKE CHATHA,166061207,,0,367,367,,,
"",,,,,0,1411,1411,,,
196,"Government Boys Primary SchoolDhapai Hassanwali.  (Combined)","DHAPAIHASANWALI",166061208,,405,265,670,2,1,3
"",,BARA PIND,166061209,,440,374,814,,,
"",,,,,845,639,1484,,,
197,"Govt.Boys High School DilawarCheema.  (Male)","DILAWARCHEEMA",166061301,,434,0,434,4,0,4
"",,"DILAWARCHEEMA",166061302,,547,0,547,,,
"",,"DILAWARCHEEMA",166061303,,556,0,556,,,
"",,"DILAWARCHEEMA",166061304,,266,0,266,,,
"",,"DILAWARCHEEMA",166061305,,340,0,340,,,
"",,"DILAWARCHEEMA",166061306,,371,0,371,,,
"",,,,,2514,0,2514,,,
198,"Government Girls High SchoolDilawar Cheema.  (Female)","DILAWARCHEEMA",166061301,,0,326,326,0,4,4
"DILAWARCHEEMA",166061302,,0,433,433,,,,,
"DILAWARCHEEMA",166061303,,0,452,452,,,,,
"DILAWARCHEEMA",166061304,,0,220,220,,,,,
"DILAWARCHEEMA",166061305,,0,311,311,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"DILAWARCHEEMA",166061306,,0,342,342,,,
"",,,,,0,2084,2084,,,
199,"Govt.Boys Primary School Kartar PurKhurd (Behroop Garh)  (Combined)",NUR PUR,166070101,,140,83,223,2,1,3
"",,"CHHANIMAHARAM",166070102,,0,0,0,,,
"",,KAHN GARH,166070103,,0,0,0,,,
"",,CHHANI JAWALA,166070104,,0,0,0,,,
"",,"KARTAR PURKALAN",166070201,,416,332,748,,,
"",,MANGA,166070202,,28,23,51,,,
"",,CHHANI MURID,166070203,,246,187,433,,,
"",,"KARTAR PURKHURD",166070204,,120,73,193,,,
"",,,,,950,698,1648,,,
200,"Govt.Boys Elementary School KotHara.  (Combined)",KOT HARA,166070301,,282,207,489,2,2,4
"",,KOT HARA,166070302,,545,361,906,,,
"",,CHAHARKE,166070303,,234,147,381,,,
"",,BURJ TASHA,166070304,,207,164,371,,,
"",,,,,1268,879,2147,,,
201,"Govt.Boys Model Primary SchoolMadrassa Chattha. (Combined)",MADRSA,166070401,,754,600,1354,1,1,2
"",,,,,754,600,1354,,,
202,"Govt.Boys Primary SchoolChawatian.  (Combined)","CHOWATIAN(JALALPURCHATAH)",166070402,,600,438,1038,2,1,3
"",,"CHOWATIAN(JALALPURCHATAH)",166070403,,186,94,280,,,
"",,,,,786,532,1318,,,
203,"Govt. Model Primary School Mirajke.(Combied)",MAHARAJ KE,166070501,,681,484,1165,2,2,4
"",,CHHANI LAK,166070502,,61,42,103,,,
"",,KHOJIAN WALA,166070503,,255,183,438,,,
"",,"CHHANI WALIDAD",166070504,,132,86,218,,,
"",,CHHANI NATHU,166070505,,0,0,0,,,
"",,CHHANI MOTI,166070506,,0,0,0,,,
"",,,,,1129,795,1924,,,
204,"Government Boys High SchoolHazrat Kailyanwala.  (Combined)","HAZRATKAILIANWALA",166070601,,533,434,967,2,1,3
"HAZRATKAILIANWALA",166070603,,606,370,976,,,,,
"",,,1139,804,1943,,,,,
"HAZRATKAILIANWALA",166070602,,845,0,845,3,,,,
"HAZRATKAILIANWALA",166070604,,461,0,461,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"HAZRATKAILIANWALA",166070605,,399,0,399,,,
"",,,,,1705,0,1705,,,
206,"Government Boys High SchoolHazrat Kailyanwala.  (Female)","HAZRATKAILIANWALA",166070602,,0,607,607,0,2,2
"",,"HAZRATKAILIANWALA",166070604,,0,346,346,,,
"",,"HAZRATKAILIANWALA",166070605,,0,266,266,,,
"",,,,,0,1219,1219,,,
207,"Govt.Boys Primary School Sarwala.(Combined)",SARWALA,166070606,,204,149,353,2,1,3
"",,SARWALA,166070607,,510,357,867,,,
"",,KOT NAWAN,166070608,,0,0,0,,,
"",,,,,714,506,1220,,,
208,"Basic Health Unit  Said Nagar.(Combined)",SAID NAGAR,166070701,,610,443,1053,2,1,3
"",,SAID NAGAR,166070702,,224,160,384,,,
"",,,,,834,603,1437,,,
209,"Government Model Primary SchoolSaid Nagar.  (Male)",SAID NAGAR,166070703,,518,0,518,2,0,2
"",,SAID NAGAR,166070704,,122,0,122,,,
"",,SAID NAGAR,166070705,,519,0,519,,,
"",,SAID NAGAR,166070706,,250,0,250,,,
"",,,,,1409,0,1409,,,
210,"Government Boys Primary SchoolSaid Nagar.  (Female)",SAID NAGAR,166070703,,0,401,401,0,2,2
"",,SAID NAGAR,166070704,,0,118,118,,,
"",,SAID NAGAR,166070705,,0,409,409,,,
"",,SAID NAGAR,166070706,,0,183,183,,,
"",,,,,0,1111,1111,,,
211,"Govt.Boys Primary SchoolJandanwala.  (Combined)",JANDAN WALA,166070801,,492,371,863,1,1,2
"",,,,,492,371,863,,,
212,"Government Model Primary SchoolDrandian.  (Combined)",DHARAN DIAN,166070802,,374,275,649,2,1,3
"",,JURAI,166070803,,388,319,707,,,
"",,,,,762,594,1356,,,
213,"Govt.Boys Primary School HardoPandoki.  (Combined)","HARDOPANDOKE",166071001,,222,162,384,2,1,3
"",,"HARDOPANDOKE",166071002,,515,382,897,,,
"",,,,,737,544,1281,,,
214,"Govt.Boys Primary School Kot MeharAli (Combined)",FATEH PUR,166071101,,324,249,573,2,1,3
"",,KOT MEHAR ALI,166071202,,457,381,838,,,
"",,,,,781,630,1411,,,
215,"Government Muhammad MushtaqHigh School Bucha Chatha(combined)",BUCHA CHATHA,166071201,,626,451,1077,1,1,2
"",,,,,626,451,1077,,,
216,"Government Boys Primary SchoolSahdanwali (Combined)",SADHANWALA,166071102,,683,571,1254,1,1,2
"",,,683,571,1254,,,,,
1,2,3,4,5,6,7,8,9,10,11
217,"Govt.Model Primary School Dhalwan(Combined)",DHILWAN,166071103,,612,367,979,1,1,2
"",,,,,612,367,979,,,
218,"Govt.Boys Primary School Ojan Chak(Combined)",AJAN CHAK,166071301,,141,79,220,1,1,2
"",,AJAN CHAK,166071302,,497,262,759,,,
"",,KOTLI MIANI,166071303,,77,51,128,,,
"",,,,,715,392,1107,,,
219,"Govt.Boys Primary School School NaiWala (Combined)",NAIWALA,166071304,,779,623,1402,2,2,4
"",,AULAKH,166071305,,283,195,478,,,
