"","PollingStation",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters",Male Booths,Female Booths,Total Booths,Booth Type
"",,,Fazil Shah,223051005,443,0,443,,,,
"",,,Sada Hiraj,223051006,0,0,0,,,,
"",86,"Govt.Girls High ShoolFazil Shah.",Fazil Shah,223051001,0,258,258,0,3,3,Female
"",,,Fazil Shah,223051002,0,129,129,,,,
"",,,Fazil Shah,223051003,0,125,125,,,,
"",,,Fazil Shah,223051004,0,302,302,,,,
"",,,Fazil Shah,223051005,0,380,380,,,,
"",,,Sada Hiraj,223051006,0,0,0,,,,
"",87,"Govt.Boys Pry.SchoolChowki Mohan.",Chowki Mohan,223051101,495,378,873,1,1,2,Combined
"",88,"Govt.Girls PrimarySchool,Chowki Mohan.",Chowki Mohan,223051102,448,415,863,1,1,2,Combined
"",,,Chowki Mohan,223051103,448,415,863,,,,
"",89,"Govt.Boys Middle School25/GH.",25/G.H.,223090107,533,387,920,2,1,3,Combined
25/G.H.,223090108,226,172,398,,,,,,,
"",91,"Govt.Boys High school9/G.H.",Chak No.9/G.H.,223090106,681,499,1180,2,1,3,Combined
"",92,"Govt.Boys Primary School11/G.H.",Chak No.11/G.H.,223090104,650,575,1225,1,1,2,Combined
"",93,"Govt.Boys Primary SchoolChak No.12/GH..",Chak No.12/G.H,223090101,484,0,484,2,0,2,Male
"",,,Chak No.12/G.H,223090102,447,0,447,,,,
"",,,Chak No.12/G.H,223090103,216,0,216,,,,
"",94,"Govt.Boys Primary SchoolChak No.12/GH..",Chak No.12/G.H,223090101,0,403,403,0,2,2,Female
"",,,Chak No.12/G.H,223090102,0,422,422,,,,
"",,,Chak No.12/G.H,223090103,0,151,151,,,,
"",95,"Govt Girls Primary SchoolChak No.10/GH.",Chak No.10/G.H.,223090401,687,515,1202,1,1,2,Combined
"",96,"Govt Boys Primary SchoolChak No.21/GH.",Chak No.21/G.H.,223090303,188,130,318,1,1,2,Combined
"",,,Chak No.21/G.H.,223090304,414,305,719,,,,
"",97,"Govt Boys Primary SchoolChak No.22/GH.",Chak No.22/G.H.,223090402,588,451,1039,1,1,2,Combined
"",98,"Govt Boys Middle SchoolChak No.23/GH.",Chak No.23/G.H.,223090301,627,425,1052,1,1,2,Combined
"",,,Chak No.23/G.H.,223090302,627,425,1052,,,,
"",99,"Govt.Boys High SchoolJarala.",Chak No.29/G.H,223090501,174,132,306,2,1,3,Combined
"",,,Chak No.4/D,223090504,323,239,562,,,,
"",,,Jarala,223090505,328,276,604,,,,
"",100,"Govt.Boys Primary SchoolChak No.12/D.",Chak No.12/D.,223090502,303,272,575,2,1,3,Combined
"",,,Chak No.12/D.,223090503,392,316,708,,,,
"",101,"Govt.Boys Primary SchoolChak No.13/D",Chak No.13/D.,223090506,664,403,1067,2,1,3,Combined
