ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
"",,,"KOTLA GHULAMBlock No.4/6",264010407,,,,415,319,734,,,
"",,,Total,,,,,830,665,1495,,,
7,Boys Primary School Ramdani No. 2 (,o(Cmobminbeinde) d),"KOTLA GHULAMBlock No.5/6",264010408,,,,384,291,675,2,1,3
"",,,"KOTLA GHULAMBlock No.5/6",264010413,,,,345,250,595,,,
"",,,Total,,,,,729,541,1270,,,
8,GGPS NOOR WALA  No. 2 (Combined,(Combined),"KOTLA GHULAMBlock No.6/6",264010409,,,,193,193,386,1,1,2
"",,,"KOTLA GHULAMBlock No.6/6",264010414,,,,194,107,301,,,
"",,,Total,,,,,387,300,687,,,
9,Girls Primary Noor Wala No.1 (Combin,(dC)ombined),"CHAK QABOOLSHAH  Block No.1/3",264010401,,,,334,306,640,2,1,3
"",,,"CHAK QABOOLSHAH  Block No.1/3",264010410,,,,296,276,572,,,
"",,,Total,,,,,630,582,1212,,,
10,Boys Primary School Hisama Sadaat (,(oCmobminbeinde)d),"CHAK QABOOLSHAH  Block No.2/3",264010402,,,,257,219,476,2,1,3
"",,,"CHAK QABOOLSHAH  Block No.3/3",264010403,,,,207,181,388,,,
"",,,Total,,,,,464,400,864,,,
11,"GGPS, Kot Chutta No.2 (Combined)",(Combined),,,"KOT CHUTTANO.2  BlockNo.1/13",264090101,,646,462,"1,108",2,1,3
"",,Total,,,646,462,1108,,,,,,
"",,"KOT CHUTTANO.2  BlockNo.1/13",264090102,,592,501,"1,093",,,,,,
"",GHSS Kot Chutta Primary Portion (Co,(bCinoemdb) ined),,,"KOT CHUTTANO.2  BlockNo.3/13",264090103,,681,454,"1,135",2,2,4
"",,,,,"KOT CHUTTANO.2  BlockNo.4/13",264090104,,410,305,715,,,
"",,,,,Total,,,1091,759,1850,,,
14,Boys Primary School Qazian Kot Chutt,( C(Coommbbinineedd)),,,"KOT CHUTTANO.2  BlockNo.5/13",264090105,,257,175,432,2,2,4
"",,,,,"KOT CHUTTANO.2  BlockNo. 6/13",264090106,,624,505,"1,129",,,
"",,,,,Total,,,881,680,1561,,,
15,Boys Higher Secondary School Kot Ch,(tCtao (mCboimnebdin)ed),,,"KOT CHUTTANO.2  BlockNo.7/13",264090201,,629,454,"1,083",2,1,3
"",,,,,Total,,,1082,765,1847,,,
16,Boys Higher Secondary School Kot Ch,(tCtao (mCboimnebdin)ed),,,"KOT CHUTTANO.2  BlockNo.8/13",264090202,,453,311,764,1,1,2
"",,,,,Total,,,453,311,764,,,
17,"GPS, Zaur Wala (Combined)",(Combined),,,"KOT CHUTTANO.2  BlockNo.9/13",264090203,,652,602,"1,254",1,1,2
"",,,,,Total,,,652,602,1254,,,
18,Girls Primary School Baigay wala (Co,b(Cinoemd)bined),,,"KOT CHUTTANO.2  BlockNo.10/13",264090204,,631,429,"1,060",2,1,3
"",,,,,Total,,,631,429,1060,,,
19,Veternery Hospital Kot Chutta  (Combi,e(Cdo) mbined),,,"KOT CHUTTANO.2  Block No.11/13",264090205,,699,542,"1,241",2,1,3
"",,,,,Total,,,699,542,1241,,,
20,Veternery Hospital Kot Chutta  (Combi,e(Cdo) mbined),,,"KOT CHUTTANO.2  BlockNo.12/13",264090206,,630,556,"1,186",2,1,3
"",,Total,,,630,556,1186,,,,,,
"",,,,,Total,,,805,524,1329,,,
22,"GGPS, Railway Colony (Combined)",(Combined),,,"KOT CHUTTANO.3  BlockNo.1/7",264090302,,770,612,"1,382",2,1,3
"",,,,,Total,,,770,612,1382,,,
23,Boys Higher Secondary School Kot Ch,(tCtao  m(Cboinmebdi)ned),,,"KOT CHUTTANO.3  BlockNo.2/7",264090303,,773,595,"1,368",2,1,3
"",,,,,Total,,,773,595,1368,,,
24,Boys Higher Secondary School Kot Ch,(tCtao  m(Cboinmebdi)ned),,,"KOT CHUTTANO.3  BlockNo.3/7",264090304,,435,327,762,1,1,2
"",,,,,Total,,,435,327,762,,,
25,Boys Primary School Kot Chutta No. 1,C(Coommbbinineedd)),,,"KOT CHUTTANO.3  BlockNo.4/7",264090305,,380,304,684,2,1,3
"",,,,,"KOT CHUTTANO.3  BlockNo.4/7",264090306,,367,219,586,,,
"",,,,,Total,,,747,523,1270,,,
26,GGHSS Kot Chutta (Combined),(Combined),,,"KOT CHUTTANO.3  BlockNo.5/7",264090401,,551,357,908,2,1,3
"",,,,,"KOT CHUTTANO.3  BlockNo.5/7",264090402,,369,312,681,,,
"",,,,,Total,,,920,669,1589,,,
27,Girls Higher Scondary School Kot Chut,a(C (oCmombinbeinde)d),,,"KOT CHUTTANO.3  BlockNo.6/7",264090403,,335,247,582,2,1,3
"",,"KOT CHUTTANO.3  BlockNo.6/7",264090404,,318,249,567,,,,,,
"",,Total,,,653,496,1149,,,,,,
"",,"KOT CHUTTANO.3  BlockNo.6/7",264090405,,303,226,529,,,,,,
"",,"KOT CHUTTANO.3  BlockNo.7/7",264090406,,399,286,685,,,,,,
"",Improvised at Patti Chajoo Adjacent M,s(Cqoume b(Cinoemdb) ined),PATTI IMAM BAKHSH,264020701,,,,4,0,4,2,2,4
"",,,RAKH HADEER MALA,A264020702,,,,5,1,6,,,
"",,,BHINDI SULEMAN SH,H264020703,,,,204,171,375,,,
"",,,BHINDI SULEMAN SH,H264020704,,,,99,86,185,,,
"",,,RAKH PATTI IMAM B,KHSH264020705,,,,16,5,21,,,
"",,,BHINDI SULEMAN SH,H264020708,,,,97,77,174,,,
"",,,RAKH PATTI MEER M,RANI264020801,,,,8,12,20,,,
"",,,BHINDI HAKEEM,264020802,,,,71,46,117,,,
"",,,PATTI MEER MIRANI,264020803,,,,15,17,32,,,
"",,,PATTI KAHIRI,264020804,,,,125,98,223,,,
"",,,PATTI CHAJJO,264020805,,,,203,176,379,,,
"",,,KOTLA SIKHANI JAN,BI264020806,,,,10,3,13,,,
"",,,Total,,,,,857,692,1549,,,
30,Boys Primary School Bait Baet Wala   (,(Comombibniende)d),BAIT BAT WALA,264020301,,,,274,205,479,2,2,4
"",,,BAIT BAT WALA,264020302,,,,201,192,393,,,
"",,,BAIT BAT WALA,264020303,,,,234,158,392,,,
"",,,BAIT BAT WALA,264020304,,,,195,191,386,,,
"",,,Total,,,,,904,746,1650,,,
31,Basic Health Unit Bait Baet Wala   (Co,(bCinoemdb)ined),BAIT BAT WALA,264020305,,,,200,207,407,1,1,2
"",,,BAIT BAT WALA,264020306,,,,140,250,390,,,
"",,,BAIT BAT WALA,264020308,,,,284,267,551,,,
"",,,Total,,,,,624,724,1348,,,
32,Basic Health Unit Bait Baet Wala   (Co,(bCinoemdb)ined),BAIT BAT WALA,264020309,,,,333,146,479,2,1,3
"",,,BAIT BAT WALA,264020310,,,,192,191,383,,,
"",,,BAIT BAT WALA,264020311,,,,226,137,363,,,
"",,,Total,,,,,751,474,1225,,,
33,"Boys Primary School, Sheedani (Comb",n(Ceodm)bined),HAIBAT MASTOI,264020307,,,,436,315,751,2,1,3
"",,,SHEEDANI,264020405,,,,314,235,549,,,
"",,,Total,,,,,750,550,1300,,,
34,Boys High School Aali Wala (Combine,)(Combined),"AALI WALA  BlockNo.1/8",264020201,,,,464,327,791,2,1,3
"",,,"AALI WALA  BlockNo.5/8",264020205,,,,172,138,310,,,
"",,,Total,,,,,636,465,1101,,,
35,Boys High School Aali Wala (Combine,)(Combined),"AALI WALA  BlockNo.2/8",264020202,,,,385,225,610,2,1,3
"AALI WALA  BlockNo.3/8",264020203,,,,340,241,581,,,,,,
Total,,,,,725,466,1191,,,,,,
"",Girls  High School Aali Wala (Combine,()Combined),"AALI WALA  BlockNo.6/8",264020206,,,,121,101,222,1,1,2
"",,,Total,,,,,747,533,1280,,,
37,Girls  High School Aali Wala (Combine,()Combined),"AALI WALA  BlockNo.7/8",264020207,,,,452,398,850,1,1,2
"",,,"AALI WALA  BlockNo.8/8",264020208,,,,282,200,482,,,
"",,,Total,,,,,734,598,1332,,,
38,Boys Middle School Essan Goraha (Co,(Cboinmebdi)ned),"ESSAN GORAHABlock No.1/2",264020209,,,,329,273,602,1,1,2
"",,,"ESSAN GORAHABlock No.1/2",264020211,,,,310,227,537,,,
"",,,Total,,,,,639,500,1139,,,
39,Boys Middle School Essan Goraha (Co,(Cboinmebdi)ned),"ESSAN GORAHABlock No.2/2",264020210,,,,417,318,735,1,1,2
"",,,Total,,,,,417,318,735,,,
40,Boys Primary School Rekra (Combine,)(Combined),REEKRA Block No.1/3,264020601,,,,346,306,652,2,1,3
"",,,REEKRA Block No.1/3,264020604,,,,351,324,675,,,
"",,,Total,,,,,697,630,1327,,,
41,"Girls Primary School, Panjay Wala (Co",(Cbionmedb)ined),REEKRA Block No.1/2,264020602,,,,546,555,"1,101",1,1,2
"",,,REEKRA Block No.1/3,264020603,,,,126,112,238,,,
"",,,Total,,,,,672,667,1339,,,
42,Girls Primary School Darkhan Wala (C,(mCboimnebdin)ed),NOOR PUR,264021001,,,,664,494,"1,158",2,1,3
"",,,Total,,,,,664,494,1158,,,
42,"Girl High School, Ghous Abad (Combi",e(Cd)ombined),"GHOUS ABADBLOCK NO. 1/7",264020901,,,,181,190,371,2,2,4
"GHOUS ABADBLOCK NO. 1/7",264020908,,,,257,210,467,,,,,,
"GHOUS ABADBLOCK NO. 2/7",264020902,,,,363,254,617,,,,,,
"GHOUS ABADBLOCK NO. 2/7",264020909,,,,334,249,583,,,,,,
"GHOUS ABADBLOCK NO. 3/7",264020903,,,,262,199,461,,,,,,
Total,,,,,1397,1102,2499,,,,,,
""
""
"","Girl High School, Ghous Abad (Combi",e(Cd)ombined),"GHOUS ABADBLOCK NO. 4/7",264020910,,,,214,203,417,2,2,4
"",,,"GHOUS ABADBLOCK NO. 5/7",264020905,,,,299,275,574,,,
"",,,Total,,,,,805,718,1523,,,
44,"Boys High School, Ghous Abad (Comb",n(Ceodm)bined),"GHOUS ABADBLOCK NO. 6/7",264020906,,,,349,297,646,2,1,3
"",,,"GHOUS ABADBLOCK NO. 6/7",264020911,,,,285,219,504,,,
"",,,Total,,,,,634,516,1150,,,
45,"Boys High School, Ghous Abad (Comb",n(Ceodm)bined),"GHOUS ABADBLOCK NO. 7/7",264020907,,,,279,201,480,2,2,4
"",,,"GHOUS ABADBLOCK NO. 7/7",264020912,,,,235,196,431,,,
"",,,"GHOUS ABADBLOCK NO. 7/7",264020913,,,,344,206,550,,,
"",,,Total,,,,,579,402,981,,,
46,Boys Primary School Haider Wahan (C,(mCobminbeidn)ed),"Haider WahanBLOCK NO. 1/4",264020401,,,,437,305,742,2,2,4
"",,,"Haider WahanBLOCK NO. 2/4",264020402,,,,415,308,723,,,
"",,,"Haider WahanBLOCK NO. 2/4",264020406,,,,380,276,656,,,
"",,,Total,,,,,852,613,1465,,,
47,"Boys Primary School Shaam PurHaider Wahan  (Combined)",(Combined),"Haider Wahan HaiderWahan BLOCK NO.3/4",264020403,,,,29,26,55,1,1,2
"Haider Wahan HaiderWahan BLOCK NO.3/4",264020407,,,,58,31,89,,,,,,
"Haider Wahan HaiderWahan BLOCK NO.3/4",264020408,,,,31,31,62,,,,,,
"Haider Wahan HaiderWahan BLOCK NO.4/4",264020404,,,,242,201,443,,,,,,
"HAFIZ NOORHASSAN",264020605,,,,187,147,334,,,,,,
Total,,,,,547,436,983,,,,,,
"","GES,Khalil Abad (Female Portion) (Co",(bCionmedb)ined),"NARI DHAMRAYABlock No.2/4",264020502,,,,408,303,711,2,1,3
"",,,Total,,,,,822,616,1438,,,
49,"GPS,Peer Muhammad Ghori (Combin",d(C) ombined),"NARI DHAMRAYABlock No.3/4",264020503,,,,421,359,780,2,1,3
"",,,"NARI DHAMRAYABlock No.3/4",264020505,,,,435,278,713,,,
"",,,Total,,,,,856,637,1493,,,
50,"Girls Primary School Nari DhamarayaBaigwala (Combined)",(Combined),"NARI DHAMRAYABlock No.4/4",264020504,,,,322,276,598,2,1,3
"",,,"NARI DHAMRAYABlock No.4/4",264020506,,,,260,170,430,,,
"",,,Total,,,,,582,446,1028,,,
51,Boys Primary School Malkani Kalan (C,(mCboimnebdin)ed),MALKANI KALAN,264020706,,,,270,188,458,2,1,3
"",,,MALKANI KALAN,264020707,,,,203,155,358,,,
"",,,MALKANI KALAN,264020709,,,,195,162,357,,,
"",,,Total,,,,,668,505,1173,,,
52,"GPS,Qadir Wala (Combined)",(Combined),"HAIDER QURESHIBlock No.1/4",264020101,,,,286,229,515,1,1,2
"",,,Total,,,,,286,229,515,,,
53,"GPS,Bungla Qureshi (Combined)",(Combined),"HAIDER QURESHIBlock No.2/4",264020102,,,,766,564,"1,330",2,1,3
"",,,Total,,,,,766,564,1330,,,
54,Boys Primary School Haider Qureshi (,(oCmobminbeinde)d),"HAIDER QURESHIBlock No.3/4",264020103,,,,165,114,279,2,1,3
"",,,"HAIDER QURESHIBlock No.3/4",264020105,,,,197,128,325,,,
"",,,"HAIDER QURESHIBlock No.4/4",264020104,,,,339,243,582,,,
"",,,Total,,,,,701,485,1186,,,
55,Boys High School Jhoke Utra  (Combin,(Cd)ombined),"JHOK UTRA BlockNo.1/7",264030101,,,,687,583,"1,270",1,1,2
Total,,,,,687,583,1270,,,,,,
"JHOK UTRA BlockNo.2/7",264030102,,,,184,147,331,,,,,,
"JHOK UTRA BlockNo.2/7",264030110,,,,142,90,232,,,,,,
"JHOK UTRA BlockNo.3/7",264030103,,,,382,290,672,,,,,,
""
""
"",Boys High School Jhoke Utra (Combin,(dC)ombined),"JHOK UTRA BlockNo.4/7",264030104,,,,305,241,546,1,1,2
"",,,"JHOK UTRA BlockNo.4/7",264030111,,,,282,211,493,,,
"",,,Total,,,,,305,241,546,,,
58,Boys High School Jhoke Utra (Combin,(dC)ombined),"JHOK UTRA BlockNo.5/7",264030105,,,,238,154,392,2,1,3
"",,,"JHOK UTRA BlockNo.5/7",264030112,,,,223,202,425,,,
"",,,"JHOK UTRA BlockNo.5/7",264030113,,,,251,154,405,,,
"",,,Total,,,,,712,510,1222,,,
59,Boys Middle  School Jhoke Uttra (Com,(iCneodm)bined),"JHOK UTRA BlockNo.6/7",264030106,,,,391,317,708,1,1,2
"",,,MALKANI KHURD,264030109,,,,289,226,515,,,
"",,,Total,,,,,680,543,1223,,,
60,Boys Middle  School Jhoke Uttra (Com,(iCneodm)bined),"JHOK UTRA BlockNo.7/7",264030107,,,,137,112,249,1,1,2
"",,,"JHOK UTRA BlockNo.7/7",264030108,,,,128,79,207,,,
"",,,Total,,,,,265,191,456,,,
61,Boys Primary SchoolBasti Yaqiani  (Co,(Cboinmedb)ined),"BASTI YAQIANI BlockNo.1/3",264031007,,,,594,480,"1,074",2,1,3
"",,,Total,,,,,594,480,1074,,,
62,Boys Primary School Basti Yaqi (Comb,n(Ceodm)bined),"BASTI YAQIANI BlockNo.2/3",264031008,,,,769,564,"1,333",2,1,3
"",,,Total,,,,,769,564,1333,,,
63,Girls  Primary School Basti Yaqiani  (C,(mCboimnebdin)ed),"BASTI YAQIANI BlockNo.3/3",264031009,,,,343,254,597,1,1,2
"",,,Total,,,,,343,254,597,,,
64,Boys Primary School Jalbani  (Combin,(dC)ombined),"JALBANI  BlockNo.1/3",264031004,,,,508,407,915,1,1,2
"",,,Total,,,,,508,407,915,,,
65,"GGPS,Meer Jalbani  (Combined)",(Combined),"JALBANI  BlockNo.2/3",264031005,,,,332,213,545,2,1,3
JALBANI Block No.3/3,264031006,,,,483,317,800,,,,,,
Total,,,,,815,530,1345,,,,,,
"",Girls Primary School Churhutta Mouza,(aCnogmlab (inCeodm) bined),JANGLA Block No.2/3,264031002,,,,342,263,605,2,1,3
"",,,Total,,,,,694,528,1222,,,
67,Girls Primary School Churhutta Mouza,(aCnogmlab (inCeodm) bined),JANGLA Block No.3/3,264031003,,,,408,275,683,1,1,2
"",,,Total,,,,,408,275,683,,,
68,"GGPS, Basti Jam (Combined)",(Combined),"BASTI JAM BlockNo.1/6",264030601,,,,381,249,630,2,1,3
"",,,"BASTI JAM BlockNo.2/6",264030602,,,,410,268,678,,,
"",,,Total,,,,,791,517,1308,,,
69,Boys Middle School Basti Jam (Combi,e(Cdo) mbined),"BASTI JAM BlockNo.3/6",264030603,,,,326,179,505,2,1,3
"",,,"BASTI JAM BlockNo.4/6",264030604,,,,254,138,392,,,
"",,,"BASTI JAM BlockNo.5/6",264030605,,,,239,133,372,,,
"",,,Total,,,,,819,450,1269,,,
70,Boys Middle School Basti Jam   (Comb,n(Cedo)mbined),"BASTI JAM BlockNo.6/6",264030606,,,,434,193,627,1,1,2
"",,,Total,,,,,434,193,627,,,
71,"GGCMS,Basti Cheena (Male)",(Male),"BASTI NASEER BlockNo.1/3",264030607,,,,317,0,317,2,0,2
"",,,"BASTI NASEER BlockNo.1/3",264030611,,,,674,0,674,,,
"",,,Total,,,,,991,0,991,,,
72,Boys Primary School Basti Naseer Sha,(qFi e(Fmeamlea)le),"BASTI NASEER BlockNo.1/3",264030607,,,,0,173,173,0,2,2
"",,,"BASTI NASEER BlockNo.1/3",264030611,,,,0,533,533,,,
"",,,Total,,,,,0,706,706,,,
73,Boys Primary School Basti Naseer Gh,r(bCi o (mCboimnebdin)ed),"BASTI NASEER BlockNo.2/3",264030608,,,,777,495,"1,272",2,1,3
"",,,Total,,,,,777,495,1272,,,
74,Boys Primary School Basti Naseer Gh,r(bCi o (mCboimnebdin)ed),"BASTI NASEER BlockNo.3/3",264030609,,,,463,313,776,2,2,4
"BASTI NASEER BlockNo.3/3",264030610,,,,440,328,768,,,,,,
Total,,,,,903,641,1544,,,,,,
"",,,Total,,,,,304,254,558,,,
76,"GGPS,Mehmat Wala (Combined)",(Combined),HAZARA Block No.7/7,264030407,,,,701,557,"1,258",2,1,3
"",,,Total,,,,,701,557,1258,,,
77,Boys Primary School Hazara  (Combin,(dC)ombined),HAZARA Block No.4/7,264030404,,,,622,521,"1,143",2,1,3
"",,,Total,,,,,622,521,1143,,,
78,"Boys Primary SchoolRoopay Wala No. 2 (Combined)",(Combined),HAZARA Block No.5/7,264030405,,,,520,441,961,1,1,2
"",,,Total,,,,,520,441,961,,,
79,Boys Primary School Roopay Wala No,(2C (oCmobminbeinde)d),HAZARA Block No.1/7,264030401,,,,166,139,305,2,1,3
"",,,HAZARA Block No.2/7,264030402,,,,267,214,481,,,
"",,,HAZARA Block No.3/7,264030403,,,,211,155,366,,,
"",,,Total,,,,,644,508,1152,,,
80,Boys Primary School Samay Wala (Co,(Cbionmedb)ined),"PONNER  BlockNo.1/2",264030701,,,,406,301,707,2,2,4
"",,,"PONNER  BlockNo.2/2",264030702,,,,509,373,882,,,
"",,,Total,,,,,915,674,1589,,,
81,"Boys Primary School Qasai WalaMouza Hadeer Malana (Combined)",(Combined),"PONNER  BlockNo.3/3",264030703,,,,348,281,629,2,2,4
"",,,HADEER MALANA,264030704,,,,426,320,746,,,
"",,,RAKH RIND SEVRAH,264030705,,,,1,0,1,,,
"",,,Total,,,,,775,601,1376,,,
82,"GPS,Hameed Wala (Combined)",(Combined),RAKH GOLEWAH,264030801,,,,0,0,0,1,1,2
"",,,"RAKH DODHAJAKHAR Block No.2/2",264030804,,,,238,208,446,,,
"",,,Total,,,,,238,208,446,,,
84,Boys Primary School Summandri (Co,b(Cinoemd)bined),GOLEWAH,264030802,,,,341,287,628,2,1,3
"RAKH DODHAJAKHAR Block No.1/2",264030803,,,,430,377,807,,,,,,
Total,,,,,771,664,1435,,,,,,
DODHA,264030901,,,,394,342,736,,,,,,
"","Boys Primary School,Rindan (Combine",()Combined),"RAKH KHAIMEHASRAN",264030903,,,,0,0,0,2,1,3
"",,,KHAI MEHASRAN,264030904,,,,3,2,5,,,
"",,,"RAKH JAMPURIBRAHIM",264030905,,,,0,0,0,,,
"",,,Total,,,,,450,378,828,,,
86,Boys Middle School Bait Cheen Wala,C(Coommbbinineedd) ),"CHEEN WALA BlockNo.1/3",264040801,,,,273,202,475,2,1,3
"",,,"CHEEN WALA BlockNo.1/3",264040804,,,,249,202,451,,,
"",,,"CHEEN WALA BlockNo.1/3",264040805,,,,195,194,389,,,
"",,,Total,,,,,717,598,1315,,,
87,Boys Middle School Bait Cheen Wala (,(oCmombibniende)d),"CHEEN WALA BlockNo.2/3",264040802,,,,267,205,472,2,2,4
"",,,"CHEEN WALA BlockNo.2/3",264040806,,,,264,200,464,,,
"",,,"CHEEN WALA BlockNo.2/3",264040807,,,,272,203,475,,,
"",,,"CHEEN WALA BlockNo.2/3",264040808,,,,235,201,436,,,
"",,,Total,,,,,1038,809,1847,,,
88,"GGPS,Bait Cheen Wala (Combined)",(Combined),"CHEEN WALA BlockNo.3/3",264040803,,,,264,251,515,2,1,3
"",,,"CHEEN WALA BlockNo.3/3",264040809,,,,260,202,462,,,
"",,,"CHEEN WALA BlockNo.3/3",264040810,,,,216,157,373,,,
"",,,Total,,,,,740,610,1350,,,
89,Boys Primary School Jakhar Imam Sh,h(C (Comombibniende)d),"JAKAR IMAM SHAHBlock No.1/3",264030504,,,,604,519,"1,123",2,1,3
"",,,Total,,,,,604,519,1123,,,
90,"GGPS,Jakhar Imam Shah (Combined)",(Combined),"JAKAR IMAM SHAHBlock No.2/3",264030505,,,,620,559,"1,179",2,1,3
"JAKAR IMAM SHAHBlock No.3/3",264030506,,,,253,206,459,,,,,,
Total,,,,,873,765,1638,,,,,,
"MOHIB LASKANIBlock No.1/3",264030501,,,,575,416,991,,,,,,
"",,Combined),Total,,,,,1060,788,1848,,,
92,"Govt. Boys Primary School, Dadi Wala","MOHIB LASKANIBlock No.2/3",264030502,,,,546,468,"1,014",1,1,2,
"",,,Total,,,,,575,416,991,,,
93,Boys Primary School Rakh Dhool No.,((Combiined)),"RAKH DHOOLABRIND Block No.1/3",264030507,,,,118,119,237,1,1,2
"",,,"RAKH DHOOLABRIND Block No.2/3",264030508,,,,236,231,467,,,
"",,,"RAKH DHOOLABRIND Block No.3/3",264030509,,,,91,83,174,,,
"",,,Total,,,,,445,433,878,,,
94,Boys High School Shero Jadeed  (Co,b(Cinoemd)bined),ABRIND,264040403,,,,335,305,640,2,1,3
"",,,MACHI WALA,264040404,,,,49,29,78,,,
"",,,"NOOR WAHI MARALBlock No.1/2",264040406,,,,371,249,620,,,
"",,,Total,,,,,755,583,1338,,,
95,Primary School Hudday Wala Mouza A,(rMinadle  )(Male),ABRIND,264040401,,,,449,0,449,2,0,2
"",,,ABRIND,264040402,,,,352,0,352,,,
"",,,Total,,,,,801,0,801,,,
96,"GGMPS,Ambreend Wala (Female)",(Female),ABRIND,264040401,,,,0,341,341,0,2,2
"",,,ABRIND,264040402,,,,0,301,301,,,
"",,,Total,,,,,0,642,642,,,
97,Boys High School Shero Jadeed (Male,(Male),SHERO JADEED,264040405,,,,396,0,396,2,0,2
"NOOR WAHI MARALBlock No.2/2",264040407,,,,371,0,371,,,,,,
"NOOR WAHI MARALBlock No.2/2",264040408,,,,312,0,312,,,,,,
"NOOR WAHI MARALBlock No.2/2",264040409,,,,283,0,283,,,,,,
BAIG WALA,264040901,,,,292,0,292,,,,,,
Total,,,,,1654,0,1654,,,,,,
"",Boys High School Shero Jadeed  (Fem,(lFee)male),"NOOR WAHI MARALBlock No.2/2",264040407,,,,0,249,249,0,2,2
"",,,"NOOR WAHI MARALBlock No.2/2",264040408,,,,0,249,249,,,
"",,,"NOOR WAHI MARALBlock No.2/2",264040409,,,,0,247,247,,,
"",,,BAIG WALA,264040901,,,,0,208,208,,,
"",,,Total,,,,,0,1248,1248,,,
99,Boys Primary School Sailra Shero Jad,e(Cdo (mCobminbeidn)ed),LAKHA,264040501,,,,62,41,103,1,1,2
"",,,DASTI WALA,264040502,,,,63,75,138,,,
"",,,BASTI ALI SHAH,264040503,,,,24,12,36,,,
"",,,CHAK SHERO,264040505,,,,21,8,29,,,
"",,,KOTLA DEEN SHAH,264040601,,,,8,2,10,,,
"",,,SHAH JAMAL,264040602,,,,6,8,14,,,
"",,,"KOTLA NOORMOHAMMAD",264040604,,,,17,8,25,,,
"",,,HEER,264040605,,,,0,0,0,,,
"",,,BOKHA,264040606,,,,0,0,0,,,
"",,,"RAKH JHALAR LATIFSHAH",264040902,,,,0,0,0,,,
"",,,BASTI ARAIN,264040903,,,,18,13,31,,,
"",,,NAHIR WALA,264040904,,,,40,17,57,,,
"",,,JHALAR LATIF SHAH,264040905,,,,30,26,56,,,
"",,,SAWAN WALA,264040906,,,,6,2,8,,,
"",,,Total,,,,,295,212,507,,,
100,"Boys Primary School Shikray WalaJakhar Imam Shah (Combined)",(Combined),"MALKANIQALANDER",264040504,,,,344,292,636,2,1,3
"DARKHASTMASEETAN",264040603,,,,294,202,496,,,,,,
Total,,,,,638,494,1132,,,,,,
"HAJI KAMAND BlockNo.1/6",264030201,,,,264,0,264,,,,,,
"HAJI KAMAND BlockNo.1/6",264030207,,,,258,0,258,,,,,,
"",Boys Midle School Hajji Kamand (Male,(Male),"HAJI KAMAND BlockNo.1/6",264030209,,,,212,0,212,2,0,2
"",,,"HAJI KAMAND BlockNo.1/6",264030210,,,,198,0,198,,,
"",,,"HAJI KAMAND BlockNo.1/6",264030211,,,,218,0,218,,,
"",,,Total,,,,,1374,0,1374,,,
102,Girls Midle School Hajji Kamand (Fem,l(eF)emale),"HAJI KAMAND BlockNo.1/6",264030201,,,,0,202,202,0,2,2
"",,,"HAJI KAMAND BlockNo.1/6",264030207,,,,0,151,151,,,
"",,,"HAJI KAMAND BlockNo.1/6",264030208,,,,0,258,258,,,
"",,,"HAJI KAMAND BlockNo.1/6",264030209,,,,0,100,100,,,
"",,,"HAJI KAMAND BlockNo.1/6",264030210,,,,0,146,146,,,
"",,,"HAJI KAMAND BlockNo.1/6",264030211,,,,0,144,144,,,
"",,,Total,,,,,0,1001,1001,,,
103,Boys Midle School Hajji Kamand (Com,(iCneodm)bined),"HAJI KAMAND BlockNo.2/6",264030202,,,,648,501,"1,149",2,1,3
"",,,Total,,,,,648,501,1149,,,
104,Girls Midle School Hajji Kamand (Com,i(nCeodm) bined),"HAJI KAMAND BlockNo.3/6",264030203,,,,525,405,930,1,1,2
"",,,Total,,,,,525,405,930,,,
105,Girls Midle School Hajji Kamand (Com,i(nCeodm) bined),"HAJI KAMAND BlockNo.4/6",264030204,,,,147,153,300,1,1,2
"",,,"HAJI KAMAND BlockNo.4/6",264030212,,,,119,63,182,,,
"",,,"HAJI KAMAND BlockNo.6/6",264030206,,,,275,218,493,,,
"",,,Total,,,,,541,434,975,2,1,3
106,Girls Midle School Hajji Kamand (Com,i(nCeodm) bined),"HAJI KAMAND BlockNo.5/6",264030205,,,,598,516,"1,114",,,
Total,,,,,598,516,1114,,,,,,
"BASTI MALANA BlockNo.1/6",264030301,,,,524,0,524,,,,,,
"BASTI MALANA BlockNo.1/6",264030307,,,,505,0,505,,,,,,
""
""
108,Boys Middle School Basti Malana (Fe,a(Flee)male),"BASTI MALANA BlockNo.1/6",264030301,,,,0,355,355,0,1,1
"",,"BASTI MALANA BlockNo.1/6",264030307,,,,0,315,315,,,,
"",,Total,,,,,0,670,670,,,,
109,Union Council office Basti Malana (Co,(bCinoemdb) ined),"BASTI MALANA BlockNo.2/6",264030302,,,,386,267,653,2,1,3
