""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
98,98-Govt. Girls PS Jamkey (Combined),Jamkey,257020204,,,,543,387,930,,,
"",,,,Total:-,,543,387,930,1,1,2,
"",,,,,,,,,,,,
99,"99-Govt. Girls p./S Jalokey. (Combined)(P)",Jalokey,257020203,,,,432,317,749,,,
"",Nawaday,257020208,,,,39,22,61,,,,
"",,"TogoBahttian",257020207,,,,296,165,461,,,
"",,,,,Total:-,,767,504,1271,2,1,3
100,100-Govt. Girls PS Soian (Combined),Soian,257020209,,,,296,209,505,,,
"",Soian,257020210,,,,450,270,720,,,,
"",,,,,Total:-,,746,479,1225,2,1,3
101,"101-Govt. Boys E/S Llangar-Key(Combined) (P)","MahalAjat",257020205,,,,182,96,278,,,
"","LangarKey",257020206,,,,889,642,1531,,,,
"",,,,,Total:-,,1071,738,1809,2,2,4
102,"Jassowali",257020301,,,,313,,313,,,,
"",Thaithar,257020305,,,,471,,471,,,,
"",,"Monanwali",257020307,,,,358,,358,,,
"",,,,,Total:-,,1306,0,1306,3,0,3
103,"103-Govt.Girls P/S Jassowali (Female)(P)","Jassowali",257020301,,,,,228,228,,,
"",Thaithar,257020305,,,,,392,392,,,,
"",Ludhar,257020306,,,,,111,111,,,,
"",,"Monanwali",257020307,,,,,261,261,,,
"",,,,,Total:-,,,992,992,0,2,2
"",,,,,,,,,,,,
104,"104-Govt.Girls P/S Jeokay. (Combined)(P)",Basdev,257020302,,,,224,144,368,,,
"","Thakarkay",257020303,,,,294,190,484,,,,
"",Jeokey,257020304,,,,458,305,763,,,,
"","Mahal-Dang B.C",257020309,,,,0,0,0,,,,
"",,Mandahir,257020308,,,,134,60,194,,,
"",,,,,Total:-,,1110,699,1809,2,2,4
105,"105-Govt.P/S Pindi Amolak. (Combined)(P)","PindiAmolak",257020401,,,,490,328,818,,,
"","PindiAmolak",257020402,,,,336,229,565,,,,
"",,,,,Total:-,,826,557,1383,2,1,3
106,"106-Public Health Unit Romal.(Combined)",Sidhwan,257020403,,,,252,145,397,,,
"",Romaal,257020405,,,,399,290,689,,,,
"",Boorhi,257020409,,,,373,229,602,,,,
"",,,,,Total:-,,1024,664,1688,2,1,3
107,"107-Govt.Girls P/S Targa (Combined)(P)",Targa,257020404,,,,399,237,636,,,
"",Dotail,257021302,,,,527,322,849,,,,
"",,,,,Total:-,,926,559,1485,2,1,3
108,"108-Govt.P/S Chack-Hakeem(Combined) (P)",Lange,257020406,,,,324,196,520,,,
"","Kot BalaSingh",257020407,,,,39,23,62,,,,
"",,"Chandwal",257020408,,,,50,29,79,,,
"",,"SaloTaily(BC)",257020410,,,,0,0,0,,,
"",,"Chak-Hakim",257020411,,,,470,315,785,,,
"",,,,,Total:-,,883,563,1446,2,1,3
109,"109-Govt.Boys E/S Budha Pind.(Combined) (P)","BudhaPind",257020501,,,,194,136,330,,Sensitive,
"","BudhaPind",257020502,,,,792,681,1473,,,,
110,"110-Govt.Girls P/S Dauwala(Combined) (P)",Dauwala,257020503,,,,639,504,1143,,,
"",Ballowali,257020504,,,,113,87,200,,,,
"",Pandori.,257020505,,,,132,106,238,,,,
"",,,,,Total:-,,884,697,1581,2,2,4
111,111-Govt.Girls E/S Saiar (Combined) (P),Saiar,257020601,,,,510,367,877,,,
"","ChicharWali",257020902,,,,201,156,357,,,,
"","MassadGarh",257020903,,,,185,104,289,,,,
"",Tajokey,257020905,,,,278,163,441,,,,
"",,,,,Total:-,,1200,681,1881,2,1,3
112,"112-Govt.Boys P/S Dholan (Combined)(P)",Dholan,257020602,,,,494,336,830,,,
"","ChakGujjan",257020603,,,,39,10,49,,,,
"",Raj Pura,257020604,,,,133,72,205,,,,
"",,Natt,257020904,,,,118,67,185,,,
"",,,,,Total:-,,784,485,1269,2,1,3
113,"113-Govt.Girls P/S Bolha-Bajwah.(Combined) (P)","Allu-Chahana",257020701,,,,241,212,453,,,
"","Bharo-pur",257020702,,,,69,51,120,,,,
"",,"BolhaBajwah",257020703,,,,662,457,1119,,,
"",,,,,Total:-,,972,720,1692,2,1,3
114,"114-Govt.Girls P/S Munda-Bajwah.(Combined) (P)","Munda-Bajwah",257020704,,,,331,278,609,,,
"","Chaju-Khawah",257020705,,,,437,325,762,,,,
"",,Phari-Pur,257020706,,,,91,80,171,,,
"",,,,,Total:-,,859,683,1542,2,1,3
115,"115-Govt. Boys P/S Eno-Wali(Combined) (P)",Eno-Wali,257020801,,,,715,486,1201,,,
"",Eno-Wali,257020802,,,,398,276,674,,,,
"",,,,,Total:-,,1113,762,1875,2,2,4
116,"116-Govt.Girls P/S Eno-Wali(Combined) (P)",Enowali,257020803,,,,240,165,405,,,
"",Enowali,257020804,,,,54,33,87,,,,
"","ChainNagar",257020806,,,,9,6,15,,,,
"",,,,,Total:-,,303,204,507,1,1,2
117,"117-Govt.Boys P/S Bahtti-Kahlwan.(Combined) (P)","BahttiKahlwan",257020805,,,,408,286,694,,,
"",Jalil pur,257020807,,,,433,297,730,,,,
"",,,,,Total:-,,841,583,1424,2,1,3
"",,,,,,,,,,,,
"",,"MehloWala",257020809,,,,571,404,975,,,
"",,,,,Total:-,,779,533,1312,1,1,2
"",,,,,,,,,,,,
119,"119-Govt.Boys P/S Veryam. (Combined)(P)",Varyam,257021001,,,,278,163,441,,,
"",Raib,257021002,,,,177,93,270,,,,
"",,"Chach-KakeyZaian",257021004,,,,124,72,196,,,
"",,"VirangKhurd",257021007,,,,113,83,196,,,
"",,,,,Total:-,,692,411,1103,2,1,3
120,"120-Govt.Boys P/S Ratta. (Combined)(P)",Sadoo,257021003,,,,197,136,333,,,
"",Ratta.,257021005,,,,433,296,729,,,,
"",Data,257021006,,,,306,189,495,,,,
"",,,,,Total:-,,936,621,1557,2,1,3
121,"121-Govt. Boys H/S Sankhatra.(Combined) (P)","Sankhatra No.1",257021101,,,,455,359,814,,,
"","Sankhatra No.2",257021102,,,,270,225,495,,,,
"",,,,,Total:-,,725,584,1309,2,1,3
122,"122-Govt.Girls H/S Sankhatra.(Combined) (P)","Sankhatra No.3",257021103,,,,246,180,426,,,
"","Sankhatra No.4",257021104,,,,412,343,755,,,,
"",,,,,Total:-,,658,523,1181,1,1,2
123,"123-Govt.Girls H/S Sankhatra.(Combined) (P)","Sankhatra No.5",257021105,,,,492,413,905,,,
"","Sankhatra No.6",257021106,,,,333,247,580,,,,
"",,,,,Total:-,,825,660,1485,2,1,3
124,"124-Govt.Girls P/S Panj-Ghrian(Combined) (P)",Lal-Chak,257021107,,,,110,69,179,,,
"","Warring -Kalan",257021109,,,,155,98,253,,,,
"",,Vero -Kay,257021110,,,,323,180,503,,,
"",,,,,Total:-,,588,347,935,1,1,2
125,"125-Govt.Boys P/S Panj-Ghrian(Combined) (P)","Panj-Ghrian",257021108,,,,774,515,1289,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,774,515,1289,2,1,3
126,"126-Govt.Girls  Primary School PindiKahlawan. (Combined) (P)","AiemaMughlan(B.C)",257021201,,,,4,1,5,,,
"",Kot Bawa,257021203,,,,281,155,436,,,,
"",Maan,257021204,,,,92,68,160,,,,
""
""
"",,"PindiKahwalan",257021205,,,,421,261,682,,,
"",,Sahdray,257021206,,,,301,222,523,,,
"",,,,,Total:-,,1099,707,1806,2,2,4
127,127-Govt.H/S Dhamthal. (Combined) (P),Dhamthal,257021207,,,,400,255,655,,,
"",Alamiana,257021202,,,,186,137,323,,,,
"",Dhamthal,257021208,,,,241,172,413,,,,
"",,,,,Total:-,,827,564,1391,2,1,3
128,"128-Govt.Girls H/S Dhamthal.(Combined) (P)",Dhamthal,257021209,,,,469,312,781,,,
"",Dhamthal,257021210,,,,259,222,481,,,,
"",,,,,Total:-,,728,534,1262,1,1,2
129,129-Govt.H/S Dhamthal. (Male) (P),Dhamthal,257021211,,,,403,,403,,,
"",Dhamthal,257021212,,,,440,,440,,,,
"",,Dhamthal,257021213,,,,516,,516,,,
"",,Dhamthal,257021214,,,,335,,335,,,
"",,Dhamthal,257021215,,,,49,,49,,,
"",,Dhamthal,257021216,,,,50,,50,,,
"",,Dhamthal,257021217,,,,13,,13,,,
"",,,,,Total:-,,1806,,1806,4,0,4
130,130-Govt.H/S Dhamthal. (Female) (P),Dhamthal,257021211,,,,,318,318,,,
"",Dhamthal,257021212,,,,,297,297,,,,
"",,Dhamthal,257021213,,,,,353,353,,,
"",,Dhamthal,257021214,,,,,253,253,,,
"",,Dhamthal,257021215,,,,,43,43,,,
"",,Dhamthal,257021216,,,,,37,37,,,
"",,Dhamthal,257021217,,,,,76,76,,,
131,"131-Govt.Girls Elementry School Sarjal.(Combined) (P)",Atto Wali,257021301,,,,117,55,172,,,
"",Sarjal,257021305,,,,142,115,257,,,,
"",Sarjal,257021306,,,,593,385,978,,,,
"",,,,,Total:-,,852,555,1407,2,1,3
132,"132-Govt.Girls Elementry SchoolSangyal. (Combined) (P)","SammonWali",257021303,,,,289,165,454,,,
"",Puro-Wali,257021304,,,,85,62,147,,,,
"",Sangial,257021308,,,,433,329,762,,,,
"",Sangial,257021309,,,,284,191,475,,,,
"",,,,,Total:-,,1091,747,1838,2,2,4
133,133-Govt.P/S Sangial. (Combined) (P),Sangial,257021307,,,,571,426,997,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,571,426,997,1,1,2
134,134-Govt.Boys E/S Tapiala. (Male) (P),Tapiala,257021401,,,,459,,459,,,
"",Tapiala,257021402,,,,621,,621,,,,
"",,,,,Total:-,,1080,,1080,2,0,2
135,135-Govt.Boys E/S Tapiala. (Female) (P),Tapiala,257021401,,,,,294,294,,,
"",Tapiala,257021402,,,,,422,422,,,,
"",,,,,Total:-,,,716,716,0,2,2
136,"136-Govt.Girls P/S Tapiala No.4 (Male)(P)",Tapiala,257021404,,,,689,,689,,,
"",,Tapiala,257021403,,,,467,,467,,,
"",,,,,Total:-,,1156,,1156,2,0,2
137,"137-Govt.Girls P/S Tapiala No.4(Female) (P)",Tapiala,257021404,,,,,467,467,,,
"",,Tapiala,257021403,,,,,321,321,,,
"",,,,,Total:-,,,788,788,0,2,2
138,"138-Govt.Girls H/S Bolar. (Combined)(P)",Tapiala,257021405,,,,249,158,407,,,
"",Tapiala,257021406,,,,296,234,530,,,,
"",,,,,Total:-,,545,392,937,1,1,2
139,"139Govt.Girls P/S Hassan-Bhattian(Combined) (P)","RattanGarh.(B.C)",257021501,,,,0,0,0,,,
"",Bhattian,257021502,,,,162,92,254,,,,
"","BhulerLohan",257021504,,,,109,50,159,,,,
"",,Dhapi,257021505,,,,299,190,489,,,
"",,Arjani,257021604,,,,12,7,19,,,
"",,Nadali,257021603,,,,213,152,365,,,
"",,,,,Total:-,,795,491,1286,2,1,3
140,"JestiwalaUncha",257021503,,,,206,121,327,,,,
"",,"Jaestiwala Bala",257021602,,,,91,58,149,,,
"",,,,,Total:-,,585,400,985,1,1,2
141,"141-Govt.Boys P/S Lohan (Combined)(P)",Lohan,257021702,,,,410,327,737,,,
"","BahttiAulakh",257021703,,,,260,165,425,,,,
"",,,,,Total:-,,670,492,1162,1,1,2
142,142-Govt. Islamia H/S Nonar. (Male) (P),Luter,257021704,,,,451,,451,,,
"",Nonar,257021804,,,,495,,495,,,,
"",,Nonar,257021807,,,,454,,454,,,
"",,"DhapieAnsoo",257021701,,,,260,,260,,,
"",,,,,Total:-,,1660,,1660,4,0,4
143,"143-Govt. Islamia H/S Nonar. (Female)(P)",Luter,257021704,,,,,333,333,,,
"",Nonar,257021804,,,,,433,433,,,,
"",,Nonar,257021807,,,,,371,,,,
"",,"DhapieAnsoo",257021701,,,,,184,184,,,
"",,,,,Total:-,,,988,988,0,2,2
144,"144-Govt.Girls Primary School Baddo.(Combined) (P)",Baddo,257021705,,,,483,398,881,,Sensitive,
"","Tarkhanawali",257021706,,,,95,55,150,,,,
"",,,,,Total:-,,578,453,1031,2,1,3
145,"145-Govt.Islamia H/S Nonar No.1(Combined) (P)",Nonar,257021801,,,,398,327,725,,,
"",,,,,Total:-,,398,327,725,1,1,2
"",,Nonar,257021803,,,,334,275,609,,,
146,"146-Govt. Boys E/S Nonar. (Combined)(P)",Nonar,257021802,,,,564,429,993,,,
"",,,,,Total:-,,898,704,1602,2,2,4
147,147-Govt. Girls H/S Nonar (Male) (P),Nonar,257021805,,,,433,,433,,,
"",Nonar,257021806,,,,759,,759,,,,
"",,Nonar,257021807,,,,454,,454,,,
"",,"MehgaNagra BC",257021808,,,,0,,0,,,
"",,,,,Total:-,,1646,,1646,3,0,3
148,148-Govt. Girls H/S Nonar (Female) (P),Nonar,257021805,,,,,302,302,,,
"",Nonar,257021806,,,,,515,515,,,,
"",,Nonar,257021807,,,,,371,371,,,
"",,"MehgaNagra BC",257021808,,,,,0,0,,,
"",,,,,Total:-,,,1188,1188,0,3,3
149,Nagrey,257022001,,,,186,140,326,,,,
"",,,,,Total:-,,384,286,670,1,1,2
150,"150-Govt.Girls M/S Bal-Shahan.(Combined) (P)","KotRamzani",257022002,,,,407,314,721,,,
"","BalShahan",257022003,,,,553,388,941,,,,
"",,,,,Total:-,,960,702,1662,2,2,4
151,151-Govt.Boys E/S Depokey. (Male) (P),"HubbiPur",257022005,,,,309,,309,,,
"",Depokey,257022006,,,,651,,651,,,,
"",Depokey,257022007,,,,669,,669,,,,
"",,,,,Total:-,,1629,,1629,4,0,4
152,"152-Govt.Boys E/S Depokey. (Female)(P)","HubbiPur",257022005,,,,,219,219,,,
"",Depokey,257022006,,,,,473,473,,,,
"",Depokey,257022007,,,,,448,448,,,,
"",,,,,Total:-,,,1140,1140,0,3,3
"",,,,,,,,,,,,
153,153-Govt.Boys H/S Darman.(Male) (P),"DarmanNo.1",257030101,,,,478,,478,,,
"","DarmanNo.2",257030102,,,,390,,390,,,,
"",,"DarmanNo.3",257030103,,,,338,,338,,,
"",,"DarmanNo.4",257030104,,,,596,,596,,,
"",,,,,Total:-,,1802,,1802,4,,4
154,154-Govt.Girls H/S Darman.(Female) (P),"DarmanNo.1",257030101,,,,,396,396,,,
"","DarmanNo.2",257030103,,,,,251,251,,,,
"","DarmanNo.3",257030102,,,,,323,323,,,,
"","DarmanNo.4",257030104,,,,,498,498,,,,
"",,,,,Total:-,,0,1468,1468,,3,3
155,"155-Govt.P/S Nawan Pind (Combined)(P)","Nawanpind",257030105,,,,735,548,1283,,,
"",,,,,,,,0,,,,
"",,,,,Total:-,,735,548,1283,1,1,2
156,"Pandori-Ghotran.",257030201,,,,78,42,120,,,,
"","Khothi-Ghotran.",257030202,,,,129,81,210,,,,
"",,"GharghalBarahmana",257031703,,,,256,180,436,,,
"",,,,,Total:-,,871,522,1393,2,1,3
157,"157-Govt.Girls P/S Dingha-Narian-Pur(Combined) (P)","Dingha-Narian-pur",257030203,,,,422,309,731,,,
"","Fatha-purGhotran",257031706,,,,71,42,113,,,,
"",,Tarkwal.,257031705,,,,266,208,474,,,
"",,,,,Total:-,,759,559,1318,2,1,3
158,158-Govt.Boys P/S Ghumrola(Male) (P),"Ghumrola No.1",257030301,,,,494,,494,,,
"","Ghumrola No.2",257030302,,,,395,,395,,,,
"",,"Ghumrola No.3",257030303,,,,802,,802,,,
"",,,,,Total:-,,1691,,1691,3,,3
159,"159-Govt.Girls P/S Ghumrola (Female)(P)","Ghumrola No.1",257030301,,,,,343,343,,,
"","Ghumrola No.2",257030302,,,,,264,264,,,,
"",,"Ghumrola No.3",257030303,,,,,541,541,,,
"",,,,,Total:-,,,1148,1148,,2,2
160,"160-Govt.Boys P/S Jarpal (Combined)(P)",Lohaal.,257030304,,,,77,48,125,,,
"","Mangoian",257030904,,,,99,78,159,,,,
"",,"PindoriViran",257030905,,,,21,16,37,,,
"",,"ChackSuraj",257031002,,,,190,113,303,,,
"",,,,,Total:-,,387,255,642,1,1,2
161,161-Govt.P/S Bhattli (Combined) (P),Dander,257030401,,,,183,132,315,,,
"","ChakBura",257030403,,,,197,121,318,,,,
"","ChakBhego(BC)",257030501,,,,11,5,16,,,,
"",,"Bhatlikalan",257030505,,,,506,371,877,,,
"",,,,,Total:-,,897,629,1526,2,1,3
162,Makh Wal,257030402,,,,316,239,555,,,,
"",,"ChakNahala",257030502,,,,159,99,258,,,
"",,"Uddowal(BC)",257030503,,,,0,0,0,,,
"",,Jhang,257030504,,,,379,251,630,,,
"",,,,,Total:-,,965,655,1620,2,1,3
163,"163-Govt.Girls P/S Sadghal.(Combined) (P)",Danwal.,257031602,,,,366,312,678,,,
"",Sadgal,257031102,,,,477,380,857,,,,
"",,,,,Total:-,,843,692,1535,2,1,3
164,"164-Govt.Boys P/S Jatwal Kalan(Combined) (P)","JatwalKhurd",257030601,,,,224,140,364,,,
"","JatwalKalan",257030602,,,,462,305,767,,,,
"",,"JatwalManjla",257030603,,,,201,112,313,,,
"",,,,,Total:-,,887,557,1444,2,1,3
165,165-Govt.H/S Delra. (Male) (P),Dalra,257030604,,,,261,,261,,,
"",,Dalra,257030605,,,,68,,68,,,
"",,Dalra,257030606,,,,625,,625,,,
"",Dalra,257030607,,,,84,,84,,,,
"",,,,,Total:-,,1038,,1038,2,0,2
166,166-Govt.H/S Delra. (Female) (P),Dalra,257030604,,,,,176,176,,,
"",,Dalra,257030605,,,,,45,45,,,
"",,Dalra,257030606,,,,,457,457,,,
"",Dalra,257030607,,,,,79,79,,,,
"",,,,,Total:-,,,757,757,0,2,2
167,"167-Govt.Boys P/S Dhudham Kalan(Combined) (P)","DhudhamKalan",257030608,,,,447,270,717,,,
"","DhudhamKhurd",257030609,,,,293,186,479,,,,
"",,,,,Total:-,,740,456,1196,2,1,3
168,"168-Govt.Girls P/S Koilian (Combined)(P)",Sasswan,257030709,,,,263,145,408,,,
"","BaeriKalan",257030703,,,,230,159,389,,,,
"",,"BangorKalan",257030704,,,,259,166,425,,,
"",,Koulian,257030708,,,,357,284,641,,,
"",,,,,Total:-,,1109,754,1863,2,1,3
169,"169-Govt. Girls Primary School BadalaGujran.(Combined)","BadalaGujran.",257030702,,,,273,182,455,,,
"","Chamiana Klan",257030705,,,,96,77,173,,,,
"","Chamiana Khurd.",257030706,,,,189,118,307,,,,
"",Sapwal,257030701,,,,161,106,267,,,,
"",,Shoohal,257030707,,,,107,77,184,,,
170,170-Basic Health Unit Taara Pur (Male),"Pind-Bholian",257030801,,,,422,,422,,,
"","Baghor-Khurd",257030802,,,,249,,249,,,,
"",,Tara-pur,257030803,,,,311,,311,,,
"",,"Bhoia-Khurd",257030807,,,,130,,130,,,
"",,,,,Total:-,,1112,,1112,2,0,2
171,"171-Govt.Girls P/S Tara-Pur (Female)(P)","Pind-Bholian",257030801,,,,,232,232,,,
"","Baghor-Khurd",257030802,,,,,206,206,,,,
"",,Tara-pur,257030803,,,,,227,227,,,
"",,"Bhoia-Khurd",257030807,,,,,81,81,,,
"",,,,,Total:-,,,746,746,0,2,2
172,"172-Govt.Girls P/S Pind-Burhumnah.(Male) (P)","Fatha-Ghar.",257030804,,,,312,,312,,,
"","Bhagwan-pur",257030805,,,,406,,406,,,,
"",,"Pind-Barhamanan",257030806,,,,494,,494,,,
"",,,,,Total:-,,1212,,1212,2,0,2
173,"173-Govt.Girls P/S Pind-Burhumnah.(Female) (P)","Fatha-Ghar.",257030804,,,,,207,207,,,
"","Bhagwan-pur",257030805,,,,,261,261,,,,
"",,"Pind-Barhamanan",257030806,,,,,363,363,,,
"",,,,,Total:-,,,831,831,0,2,2
174,"174-Govt. Boys E/S Barri Minhasan.(Combined) (P)","BarriMinhasan",257030901,,,,897,665,1562,,,
"","BarriMinhasan",257030902,,,,132,100,232,,,,
"",,,,,Total:-,,1029,765,1794,2,2,4
175,"175-Govt.Girls P/S Hamral. (Combined)(P)",Hamral.,257030903,,,,851,630,1481,,,
"",,,,,Total:-,,851,630,1481,2,1,3
176,176-Govt.P/S Lagwal. (Combined) (P),"JhumianMinhasan",257030906,,,,245,170,415,,,
"",Lagwal.,184031001,,,,860,672,1532,,,,
177,"177-Govt.Girls P/S Chamrial.(Combined) (P)",Chamrial,184021201,,,,428,349,777,,,
"","Chani-Teto",184021204,,,,492,383,875,,,,
"",,Maghral,184021207,,,,468,344,812,,,
"",,"Gogalpur",184021106,,,,172,129,301,,,
"",,,,,Total:-,,1560,1205,2765,2,1,3
178,"178-Govt.Girls P/S Patal Kalan.(Combined) (P)","Patal-Kalan",184021206,,,,468,344,812,,,
"",Dadhwal,184021101,,,,292,253,545,,,,
"","Patal-Khurd",184021105,,,,33,18,51,,,,
"",,,,,Total:-,,793,615,1408,2,1,3
179,179-GPS SanyareKalan. (Combined) (P),"Saniari-Burjwali",184021205,,,,327,228,555,,,
"","Sanyare-Kalan",184021203,,,,75,36,111,,,,
"",,"Sanyare-Khurd",184021202,,,,121,86,207,,,
"",,,,,Total:-,,523,350,873,2,1,3
180,180-Govt.Girls P/S Jarpal. (Male) (P),Jarpal,257031003,,,,758,,758,,,
"",Jarpal,257031004,,,,475,,475,,,,
"",,,,,Total:-,,1233,,1233,3,0,3
181,181-Govt.Girls P/S Jarpal. (Female) (P),Jarpal,257031103,,,,,626,626,,,
"",Jarpal,257031104,,,,,359,359,,,,
"",,,,,Total:-,,,985,985,0,2,2
182,"182-Govt.Girls H/S Chak -Doula.(Combined) (P)","Chak-Doula",257031101,,,,435,305,740,,,
"","Lessor-Manjhla",257031905,,,,502,335,837,,,,
"",,"Lessor-Manjhla",257031906,,,,6,3,9,,,
"",,,,,Total:-,,943,643,1586,2,1,3
183,"183-Govt.Girls P/S Badwal. (Combined)(P)",Badwal,257031103,,,,649,398,1047,,,
"",Mahlwan,257031104,,,,342,256,598,,,,
"",,,,,Total:-,,991,654,1645,2,1,3
184,"184-Govt. Girls M/S Pargwal(Combined) (P)",Pargwal,257031201,,,,455,353,808,,,
"",Jajial,257031202,,,,275,169,444,,,,
"",,Jajial,257031203,,,,161,119,280,,,
"",,,,,Total:-,,891,641,1532,2,1,3
185,185Govt.H/S Bara Pind.(Male),Bara Pind,257031204,,,,1217,,1217,,,
"",,,,,Total:-,,1217,,1217,3,,3
186,Bara Pind,257031204,,,,,1020,1020,,,,
"",,,,,Total:-,,,1020,1020,,2,2
187,"187-Govt.Girls P/S Sadwal (Combined)(P)","Barkhanian",257031301,,,,376,301,677,,,
"",Sadwal.,257031304,,,,557,457,1014,,,,
"",,,,,Total:-,,933,758,1691,2,2,4
188,188-Govt. Boys H/S Luhara. (Male) (P),Oppian,257030106,,,,418,,418,,,
"",Nahar,257031302,,,,240,,240,,,,
"",,Khali,257031305,,,,255,,255,,,
"",,Luhara,257031306,,,,457,,457,,,
"",,,,,Total:-,,1370,,1370,3,0,3
189,"189-Govt. Boys H/S Luhara. (Female)(P)",Oppian,257030106,,,,,382,382,,,
"",Nahar,257031302,,,,,153,153,,,,
"",,Khali,257031305,,,,,183,183,,,
"",,Luhara,257031306,,,,,378,378,,,
"",,,,,Total:-,,,1096,1096,0,2,2
190,"190-Govt.Girls P/S Saincha.(Combined) (P)",Saincha,257031307,,,,524,327,851,,,
"","Checharwali",257031912,,,,172,145,317,,,,
"","Checharwali",257031913,,,,5,3,8,,,,
"",,,,,Total:-,,701,475,1176,2,1,3
191,191-Govt. Girls PS Talan (Combined),Talan,257031303,,,,471,356,827,,,
"",,,,,Total:-,,471,356,827,1,1,2
192,"192-Govt.Girls P/S Dungharay-Khurd.(Combined) (P)","Dungharay-Khurd",257031401,,,,249,178,427,,,
"","Dungharay-Kalan",257031402,,,,328,260,588,,,,
"",,,,,Total:-,,577,438,1015,1,1,2
193,"193-Govt. Boys P/S Pindi-Porbeian(Combined) (P)","Pindi-Porbeian",257031403,,,,965,704,1669,,,
"",,,,,,,,0,,,,
"",,,,,Total:-,,965,704,1669,2,1,3
194,"194-Govt.Boys P/S Parerra. (Combined)(P)",Parerra.,257031404,,,,483,351,834,,,
"",Parerra.,257031405,,,,100,87,187,,,,
"",,,,,Total:-,,583,438,1021,1,1,2
195,"195-Govt.Girls P/S Mohlan (Combined)(P)",Mohlan,257031406,,,,49,33,82,,,
"",Mohlan,257031407,,,,501,347,848,,,,
"",,Mohlan,257031408,,,,445,344,789,,,
"",,,,,Total:-,,995,724,1719,2,2,4
196,"196-Govt.Kashmir Public High Schoolbhara-Kalan. (Combined) (P)","Bhoya-kalan",257031501,,,,312,213,525,,,
"",Bhoi,257031502,,,,234,133,367,,,,
"",,"Bhara-Kalan",257031503,,,,404,255,659,,,
"",,,,,Total:-,,950,601,1551,2,1,3
""
""
"",,"Jangochak",257031505,,,,370,266,636,,,
"",Dandot,257031506,,,,357,253,610,,,,
"",,Gular BC,257031507,,,,0,0,0,,,
"",,,,,Total:-,,1001,695,1696,2,1,3
198,"198-Govt.Girls P/S Kokial-Khurd(Combined) (P)","Kokial-Khurd",257031601,,,,377,294,671,,,
"","Kokial-Kalan",257031603,,,,276,197,473,,,,
"",,"Kokial-Majala",257031604,,,,171,141,312,,,
"",,,,,Total:-,,824,632,1456,2,1,3
199,"199-Govt.Girls P/S Bharri. (Combined)(P)",Bharri.,257031701,,,,552,298,850,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,552,298,850,2,1,3
200,"200-Govt. Boys PS ThakarDawarah(Combined)","ThakarDawarah.",257031702,,,,413,239,652,,,
"","Jhumnian Gujran",257031704,,,,373,273,646,,,,
"",,,,,Total:-,,786,512,1298,2,1,3
201,"201-Govt.Boys P/S Bherr. (Combined)(P)",Bheer,257031801,,,,511,364,875,,,
"",Bheer,257031802,,,,156,78,234,,,,
"",,,,,Total:-,,511,364,875,1,1,2
202,202-Govt.P/S Nagwal. (Combined) (P),"BeryKhurd",257031803,,,,270,167,437,,,
"",Nagwal.,257031805,,,,503,360,863,,,,
"",,,,,Total:-,,773,527,1300,2,1,3
203,"203-Govt.Boys P/S Niki Gujran.(Combined) (P)",Tarangra.,257031804,,,,237,110,347,,,
"","NikiGujran",257031806,,,,371,213,584,,,,
"",,,,,Total:-,,608,323,931,1,1,2
204,"204-Govt.Girls P/S Karyal (Combined)(P)",Jaindar,257031901,,,,517,305,822,,,
"",Raghala,257031902,,,,216,155,371,,,,
"",,Karyal,257031903,,,,382,261,643,,,
"",,,,,Total:-,,1115,721,1836,2,2,4
205,"205-Govt.Boys H/S Lasser -Kalan.(Male) (P)","Lasser-Khurd",257031904,,,,239,,239,,,
"",,"Lasser-Kalan",257031907,,,,213,,213,,,
"",,"Lasser-Kalan",257031909,,,,233,,233,,,
"",,"Lasser-Kalan",257031910,,,,346,,346,,,
"",,"Lasser-Kalan",257031911,,,,197,,197,,,
"",,"Lasser-Kalan",257031908,,,,20,,20,,,
"",,,,,Total:-,,1248,,1248,3,0,3
206,"206-Govt.Boys H/S Lasser -Kalan.(Female) (P)","Lasser-Khurd",257031904,,,,,180,180,,,
"","Lasser-Kalan",257031907,,,,,166,166,,,,
"","Lasser-Kalan",257031909,,,,,180,,,,,
"","Lasser-Kalan",257031910,,,,,239,,,,,
"","Lasser-Kalan",257031911,,,,,199,,,,,
"","Lasser-Kalan",257031908,,,,,11,11,,,,
"",,,,,Total:-,,,975,975,0,2,2
207,"207-Govt.Girls M/S Chakra. (Combined)(P)",Ghor Gal,184021102,,,,236,164,400,,,
"",Chakra,184021103,,,,246,137,383,,,,
"",,"Ghadu-Pindi",184021104,,,,136,100,236,,,
"",,,,,Total:-,,618,401,1019,1,1,2
