"",Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
Siran Wali Chak No.123 RB,202010312,,,,182,127,309,,,,,,
Siran Wali Chak No.123 RB,202010314,,,,134,98,232,,,,,,
Siran Wali Chak No.123 RB,202010315,,,,103,89,192,,,,,,
"",35,"Govt. Girls/M/S SiranWali  (Combined)",Siran Wali Chak No.123 RB,202010313,,,,545,449,994,1,1,2
"",Total,,,,545,449,994,1,1,2,,,
"",36,"Govt. Girls P/S ChakNo. 29/RB",Deirh Chak No.29/RB,202011101,,,,431,272,703,2,1,3
"",,,Deirh Chak No.29/RB,202011102,,,,315,231,546,,,
"",Total,,,,746,503,1249,2,1,3,,,
"",37,"Govt. Boys P/S ChakNo. 31/RB  (Male)",Radyala Chak No.31/RB,202011103,,,,196,0,196,3,0,3
"",,,Radyala Chak No.31/RB,202011106,,,,196,0,196,,,
"",,,Radyala Chak No.31/RB,202011104,,,,482,0,482,,,
"",,,Radyala Chak No.31/RB,202011105,,,,356,0,356,,,
"",,,Radyala Chak No.31/RB,202011107,,,,169,0,169,,,
"",Total,,,,1399,0,1399,3,0,3,,,
"",38,"Govt. Boys P/S ChakNo. 31/RB  (Female)",Radyala Chak No.31/RB,202011103,,,,0,125,125,0,2,2
"",,,Radyala Chak No.31/RB,202011106,,,,0,157,157,,,
"",,,Radyala Chak No.31/RB,202011104,,,,0,312,312,,,
"",,,Radyala Chak No.31/RB,202011105,,,,0,117,117,,,
"",,,Radyala Chak No.31/RB,202011107,,,,0,248,248,,,
"",Total,,,,0,959,959,0,2,2,,,
"",39,"Govt. B/M/S ChakNo.113/RB Badho",Chak No.113/RB Badho mali,202011005,,,,374,279,653,1,1,2
"",,,Chak No.113/RB Badho mali,202011006,,,,177,125,302,,,
"",Total,,,,551,404,955,1,1,2,,,
"",40,"Govt. G/M/S Gill ChakNo.114/RB(Combined)",Gill Chak 114 RB,202010507,,,,342,235,577,1,1,2
"",Total,,,,342,235,577,1,1,2,,,
"",41,"Govt. G/P/S ChakNo.111/RB Mehmandwali (Charvind)",Mehmand wali ChakNo.111,202011001,,,,33,23,56,3,1,4
"",,,Mehmand wali ChakNo.111,202011002,,,,295,251,546,,,
